"","ZEB2","TWIST1","miR101","miR200a","GSC","TGFbeta","miR141","ZEB1","FOXC2","miR200b","miR200c","miR34a","TWIST2","SNAI2","SNAI1"
"ZEB2",-0.0831684509975694,-0.036018555035191,-0.0338090133720282,-0.00908466969415567,-0.000105123809366014,0.00011019814843335,0.000524101562731258,0.000636080301701353,0.00246495003403779,0.00601971885189874,0.00908466969415567,0.0215860821351225,0.0278647701513161,0.0329984969148066,0.0347895805645152
"GSC",-0.0607253267861456,-0.265662783378783,-0.209429358463964,-0.0176216851646795,0.00781665579833375,-0.00797503040791825,0.101125170513426,0.101281419745692,0.109994629477154,0.0198266501592378,0.0176216851646795,0.014196216768315,0.0899063979434878,0.162048860923841,0.156185701426755
"TWIST1",-0.037626422896098,0.192305128665299,0.184473411910316,0.0314171162235179,0.0141053419647281,-0.0136909477822877,0.0095472585353851,0.00800635577327217,-0.0403514626576652,-0.0398254105857787,-0.0314171162235179,-0.0330579257856828,-0.179294476436629,-0.204720501245981,-0.0941005605439528
"ZEB1",-0.0227648674884313,0.0534038945673412,-0.0291705456140589,0.00580083385149674,-0.00667793763672024,0.00629787493277245,0.00112214335472364,-0.0981364772485055,0.0895354432361422,0.0255060814910762,-0.00580083385149674,-0.00274637746126996,0.00961896947777877,0.123851025791904,-0.0652228834909739
"FOXC2",-0.0220087702886268,0.0547510479217829,-0.0285744822393685,0.00536848964299918,-0.00673328716901669,0.00667793763672024,0.00259265306734952,0.00112214335472364,0.0911780745309675,0.0252357563628332,-0.00536848964299918,-0.00426915950423017,0.010786274376762,0.123523888485855,-0.0641799307707133
"SNAI1",-0.016745177415955,-0.089158285120954,-0.159121565092085,-0.01006950193539,-0.00429495322344451,0.00489248774920353,0.0651121176887267,0.0636882098872205,-0.0587624621287861,0.0310764018043981,0.01006950193539,0.0538544892418971,0.107220738895062,0.126535233230304,-0.0109830116801719
"miR200a",-0.0062197078391523,-0.14157621065717,-0.181246379343069,-0.00187759882427916,0.0876094355710212,-0.08761301907258,0.0127803856205784,0.0113641385826637,0.0470649730113197,0.0234927150760917,0.00187759882427916,0.00279873210275308,0.124929253154986,0.239458958987959,0.124733783217033
"miR101",-0.00425041046139974,0.0719885519803206,0.160236131057237,0.0481626541180774,-0.0175619895473528,0.0181900794152252,-0.0922947228209132,-0.0929845143831564,0.054552064308248,0.0280591315177279,-0.0481626541180774,0.0072377073580323,-0.0593423134949617,-0.146095607139324,-0.0721673768309312
"miR200b",0.00184649326937177,0.127216670237406,0.170265186506605,0.00686676689569153,-0.087601435629834,0.087296837997334,-0.0177105335417498,-0.0164673833640247,-0.0460890904322881,-0.0473057731370218,-0.00686676689569153,0.00699773637364535,-0.114825736935995,-0.229174468262723,-0.112969488765351
"miR34a",0.00479908192406216,-0.0895505102511567,0.0027706888298312,0.0508673848437854,0.00622109827164868,-0.00653720644010218,-0.0234354958596105,-0.0224050301211808,-0.0722093089629081,-0.0395832376873733,-0.0508673848437854,0.0636157025688861,0.015032378664126,-0.123387949778041,0.123340131799263
"miR200c",0.020748932104704,-0.16823405060774,-0.147380099551871,-0.0172348962542154,0.0877359517508986,-0.0873835740976143,0.0142482102259571,0.0142796823823552,0.0136852001899375,0.0555294560715286,0.0172348962542154,0.100509295773703,0.125676975088409,0.142838723206942,0.152494377053899
"miR141",0.020748932104704,-0.16823405060774,-0.147380099551871,-0.0172348962542154,0.0877359517508986,-0.0873835740976143,0.0142482102259571,0.0142796823823552,0.0136852001899375,0.0555294560715286,0.0172348962542154,0.100509295773703,0.125676975088409,0.142838723206942,0.152494377053899
"TGFbeta",0.0309439700268531,0.23355970715659,0.228066883513087,0.0254061680264827,-0.000430844730994326,-0.0992223139448784,-0.0912563999192057,-0.0925117770814446,-0.0201922990033495,-0.128561385836056,-0.0254061680264827,-0.0877932263489143,-0.236744125845991,-0.262302303564643,-0.190549854594453
"TWIST2",0.0527337771249877,-0.203284545799869,-0.0550548377741727,-0.0595120655282148,0.0277663118780548,-0.0280849183848712,0.0645983367980366,0.0643995663603019,0.023597602624623,-0.0514305636424803,0.0595120655282148,0.029044006804012,-0.0404919106060241,-0.0210570259741268,0.123205245703056
"SNAI2",0.0839217567551788,-0.214500628912069,-0.279685654974677,-0.0591134772872241,-0.1826825625544,0.183052942429001,0.0350879822092744,0.0347065060741401,-0.0284559899163195,0.163939737662132,0.0591134772872241,0.0278026887788718,0.231389956211971,0.132175431036616,0.126990375853525
