"","miR200a","miR141","miR34a","TGFbeta","miR200c","TWIST2","miR101","SNAI2","FOXC2","TWIST1","SNAI1","GSC","ZEB2","ZEB1","miR200b"
"miR200c",0.285088768312783,0.332778897144084,0.280275227871414,0.00990245764576604,-0.0564397050161488,0.156105093939336,0.0168979137365904,-0.0714391560628824,-0.0339007834682041,-0.073871414732,0.0361626749036316,-0.00869720662148185,-0.231866420893662,-0.333986872558776,-0.206923754097916
"miR141",0.285088768312783,0.332778897144084,0.280275227871414,0.00990245764576604,-0.0564397050161488,0.156105093939336,0.0168979137365904,-0.0714391560628824,-0.0339007834682041,-0.073871414732,0.0361626749036316,-0.00869720662148185,-0.231866420893662,-0.333986872558776,-0.206923754097916
"TWIST2",0.0173050799711141,-0.121617862907057,-0.0120319415868549,-0.00133429780322645,0.137847401905434,-0.0918302628200216,-0.0861809169403041,0.0793779204936541,0.0404800189167125,0.0279327552302138,0.098691741671229,0.00152500898048598,-0.157684742111557,0.121431845439885,-0.0387511339374766
"TGFbeta",0.0809473980316824,0.0343211391414076,-0.0813214997867886,0.114863086966132,0.0429502171173688,-0.0744547772026348,0.0458963813570305,0.0231841246705096,-0.000142841719225124,0.0217400496467024,-0.116484800012151,-0.21446300953179,-0.127402664741572,-0.034728093447687,-0.130039489977229
"miR34a",0.142705788537866,0.0962821486918778,0.0350805185754735,0.0345850931635726,-0.0500329031145323,0.194014712961636,0.0487444794015238,-0.0687701441936683,-0.100270769835857,-0.070032747513559,-0.0162171894169623,-0.0342507829892581,-0.114190485565165,-0.0966185598967773,-0.0421951412478824
"SNAI2",0.0479507702717376,0.0610607372914891,0.0255862712747141,0.0234072583396215,-0.0144549137675666,0.00152514917509153,0.0041622981638429,-0.0820509842555965,0.0127985138137948,0.0586724618969261,-0.0311661145101423,-0.0230728044574759,-0.0346346159163596,-0.0613504448041241,-0.0443459565105713
"FOXC2",-0.306707930147473,-0.351099964768113,-0.287775961354112,-0.149088104324265,0.266540699397998,-0.231713690610902,-0.112162092567987,0.0870907590255301,0.118335859805958,0.120943702039733,0.141324554922363,0.147599201905491,0.0456064041894269,0.352623869895141,0.283398249842546
"ZEB1",-0.307883420224392,-0.352623869895141,-0.288618303797278,-0.149969798610528,0.267017030433598,-0.232373930938381,-0.112587513545151,0.0871365690272008,0.118652047050502,0.121329029717611,0.14174432281541,0.149088104324265,0.0460627871839035,0.253507108906033,0.284307022031349
"SNAI1",-0.00114742795341398,0.0946442842538801,0.0976534152956615,0.0197357911996423,-0.0951714613443606,0.025649801169311,-0.0835259845939223,0.0615859042250581,0.0843229124954266,-0.00424927194391119,-0.0947792125371485,-0.0197496689092651,0.0958046877531196,-0.0946384105569134,-0.020619777858498
"TWIST1",-0.0279497299981918,0.0625768494498791,-0.00726318990651616,0.00371550421316292,-0.0836718145756206,-0.0645223159327024,0.0313369778532299,0.0193239350155579,0.00696020401146091,-0.0224534276680173,-0.0161317028093549,-0.00385987379930344,0.113021497271663,-0.062440727297749,0.0118651961170219
"miR101",-0.00859469615677618,0.102564295455918,0.0298428097786879,0.0066627536399205,-0.111562963910993,0.0333758269238883,0.101903274694087,-0.0824734467802742,-0.103975839270128,-0.0237629711701711,-0.0214225167234026,-0.00677007431762419,0.122610750221315,-0.102458252363552,0.0242690482582162
"GSC",-0.159841067988407,-0.158913452849716,-0.0371731084886527,-0.0665395437436473,0.00611878974807448,-0.0200609541217913,-0.113928676998544,0.00813043267902274,-0.0618847506461282,0.0080268872947516,0.120223661678442,0.0659697737338672,0.162290940098652,0.159500615845181,0.146858414141627
"miR200a",0.00824675748833089,0.211232581965781,0.10036618881476,0.140399240605014,-0.203595158767638,0.0513124951325667,0.0608807697389348,0.0153483207685659,-0.0221832650930042,-0.0245812931208243,-0.137799461804375,-0.1403192090702,0.194889709521239,-0.211345511468151,-0.0313688012935033
"ZEB2",-0.430870077469867,-0.324119742938879,-0.227528600363215,-0.172463954644426,-0.122125918728703,-0.104099645672945,-0.0474820072735024,-0.00282270275207672,0.0272339582599352,0.0427929602649787,0.0999920802266151,0.17034288091428,0.246653730806976,0.326271227776958,0.404383004220934
"miR200b",-0.326088718346027,-0.356690500483563,-0.193678348237575,-0.24542098554992,0.04130965642699,-0.0899072357668258,-0.0786794697755115,-0.0155295020653576,0.0335869599615247,0.0421584304080447,0.17569701474402,0.243747490321949,0.291791984211104,0.358400179097307,0.29557886062387
