"","ZEB2","SNAI1","TWIST1","SNAI2","ZEB1","miR141","TWIST2","miR200c","miR200a","TGFbeta","GSC","miR34a","miR200b","miR101","FOXC2"
"ZEB1",-0.0859749157796146,0.0836022841424767,-0.0366490006091661,0.0892584532251554,0.104332809846622,0.204586452831589,0.192228924902403,-0.169102613437798,-0.169102613437798,0.0757847964447242,-0.0746190148848035,0.194998046083557,-0.177036092707389,0.00199497675362205,-0.0644793302058813
"ZEB2",-0.0810756939144717,-0.0755073719472369,-0.0604861727421731,-0.033825406086589,-0.0148409174477978,-0.0141944268614771,-0.0104950054556321,-0.00500882103735896,-0.00500882103735896,0.00102939029993676,0.00108914626067623,0.00887565035974288,0.0119218421026868,0.0214900832333551,0.0901872583172294
"miR101",-0.038326099558602,-0.00861134532217927,0.0491785152828203,-0.112421553902312,-0.193915950087458,-0.193622370979652,-0.117488888521423,0.119369077471772,0.119369077471772,-0.0805509301414547,0.0805245398108718,-0.127087599339165,0.135019085107404,-0.101093772886093,-0.0995219009208046
"miR200b",-0.0344090538399015,0.113267163498433,0.0644838919283756,0.0514669873322514,0.172039313608335,0.171764395065681,0.0609069584246843,-0.0683688801240439,-0.0683688801240439,-0.0550077402279197,0.0556014069861648,0.0780710584767799,-0.0955706999489918,-0.0315511164988634,-0.126769606026885
"miR200a",-0.0344090538399015,0.113267163498433,0.0644838919283756,0.0514669873322514,0.172039313608335,0.171764395065681,0.0609069584246843,-0.0683688801240439,-0.0683688801240439,-0.0550077402279197,0.0556014069861648,0.0780710584767799,-0.0955706999489918,-0.0315511164988634,-0.126769606026885
"miR34a",-0.0256141961044413,0.097424422828241,-0.0377063212916873,0.0808168546220132,0.136866638596831,0.136802942225637,0.197870805494656,-0.110873391508341,-0.110873391508341,0.0579632027885248,-0.0580645272878179,0.0231072620738052,-0.0964463610572765,-0.01175316781171,-0.0850388479529871
"SNAI2",-0.0250660614736997,0.029506798665222,-0.0614187766021035,-0.0425811467258142,-0.0380498353789561,-0.0377983089720326,0.0624757504397566,0.0317819221985306,0.0317819221985306,-0.0159357011229475,0.0175309862641281,-0.0293930303446839,0.0124063896985239,0.00887158311840041,0.000903809085797723
"GSC",-0.0202868642850715,0.0694149186860472,0.235592315771906,-0.112537894353946,-0.143135254134497,-0.142920042927792,-0.116201697825438,0.0908871876021153,0.0908871876021153,-0.0652105396809349,0.0653159124291445,-0.120860908955124,0.116030264210903,-0.142544587581058,-0.228366437205058
"SNAI1",-0.00555854135245698,-0.111157720043296,0.0284858864280475,-0.101647520117082,-0.0926053413288874,-0.0926569680338052,-0.0973897933349569,0.0586237657723316,0.0586237657723316,-0.0447871023011326,0.0445147026865365,-0.0917586522201351,0.0707413716655865,-0.0962274748726112,-0.0888337659214898
"TWIST2",-0.00402334812426247,0.0303715136063086,-0.0881077322983494,0.0913992877746816,0.132209508604783,0.132197635149432,0.1146176109626,-0.0645076814485911,-0.0645076814485911,0.0409538454546689,-0.0410902294122937,0.0517572156263976,-0.069188107509234,0.0186762660655868,0.0415868010566965
"miR200c",0.0323542974714082,0.060049282094028,0.0967461106499424,-0.00672440595177075,-0.232398963542085,-0.232350829655829,-0.110894224425604,0.102060600719916,0.102060600719916,-0.137878015247882,0.138681914097578,-0.215651833181327,0.0505757467599694,-0.033586196365982,-0.118428641195369
"miR141",0.0339778029900107,0.0840541503780669,0.121015661892306,0.00174289340478025,-0.223087587530718,-0.223073702755836,-0.106427576926861,0.0964773591579579,0.0964773591579579,-0.142371374744816,0.142360624240139,-0.21736195976739,0.073329964873427,-0.0412466087377143,-0.154436353838207
"TWIST1",0.0421351550791323,-0.0319839027227755,0.101733636710135,-0.13089052876865,-0.122749634616383,-0.122531061332105,-0.163266340546051,0.0355180350253712,0.0355180350253712,-0.0231517306967251,0.0235286957272031,-0.084160782860988,0.0607718071282619,-0.0652526955220523,-0.175944152685342
"TGFbeta",0.0449560833742722,-0.09207034850186,-0.104026851226203,0.016199647266438,0.117405646638845,0.117145534749943,0.0298135835264233,-0.0852710711891001,-0.0852710711891001,-0.037502634257049,-0.06312168012638,0.159947681059647,0.00787718353531716,0.0563537626556298,0.153324019883667
"FOXC2",0.0852774583156351,-0.083160175661284,0.0372314726803771,-0.0892827055789811,-0.204586452831589,-0.204213752839064,-0.191449841315978,0.169098562019513,0.169098562019513,-0.0746190148848035,0.0748625528269079,-0.194804807205984,0.176891242723996,-0.00173782814068404,0.063836159079175
