"","miR200c","miR200b","TGFbeta","miR200a","GSC","miR101","ZEB1","FOXC2","miR141","TWIST2","miR34a","SNAI1","TWIST1","SNAI2","ZEB2"
"miR200b",0.147621359373342,0.217562327002366,0.247244205799491,0.173488512841999,0.245310309458246,0.165138523494998,-0.0243827754399067,-0.0887448750070782,0.0248872555939351,-0.159780654131274,0.0241482029808628,-0.0774476269668231,-0.161439010662718,-0.252582076486685,-0.332328383043843
"miR200c",0.171495144733995,0.15630598438218,0.24574402673502,0.147342441499156,0.243518672266991,0.193496446165536,0.0229540397536976,-0.0307438308593,-0.0239815130949299,-0.0444895476715104,-0.144858645084141,-0.178693972944716,-0.176724370759908,-0.209190812544984,-0.330026292939172
"miR200a",0.171495144733995,0.15630598438218,0.24574402673502,0.147342441499156,0.243518672266991,0.193496446165536,0.0229540397536976,-0.0307438308593,-0.0239815130949299,-0.0444895476715104,-0.144858645084141,-0.178693972944716,-0.176724370759908,-0.209190812544984,-0.330026292939172
"GSC",0.0434869979193341,0.19441820965474,0.10498600883324,0.211149811908299,0.103961937154533,-0.102122241180564,-0.159344756833109,-0.217718937099869,0.159343774133535,-0.0930040733107868,0.151522344430048,0.144543557667935,-0.0184876166718294,-0.0359394845738959,-0.278921365791992
"miR101",0.078119126070705,0.150664128488866,0.101857129933189,0.189819358869346,0.101072457437192,-0.239551799734869,-0.110070518315205,-0.149548383505554,0.110450704964686,-0.0480090914984056,0.158296635665056,0.264123125497176,0.20847834253919,0.114558188019343,-0.276130265624476
"TWIST2",0.0485105200339456,0.0994955701375818,0.0625941494588992,0.0684846613150242,0.0620061704880605,0.124821830764546,-0.0176369447331347,0.0343983147295704,0.0180199736076191,-0.119811709097434,-0.0428579548237412,-0.0851294331875113,-0.0409805508578369,-0.156259001421024,-0.122876813982028
"SNAI1",-0.00299456778029876,0.00997177084076408,0.0156832575778481,0.0979222523117769,0.0159239367133064,-0.283371173925856,-0.100697249728423,-0.125474803178886,0.100750422143069,0.00736563177465474,0.22977331991827,0.181673359428107,0.254228234517947,0.185255260976078,-0.0943606668725689
"TGFbeta",0.0194820541697333,0.188324723153062,0.145466027813654,0.0568546301744341,0.244457768150493,0.169798433034583,-0.0333161999881961,-0.0807801947191337,0.0333064732468741,-0.174516502436052,-0.0750443747202017,-0.0884212795652653,-0.155364175575967,-0.249717541120609,-0.0870322893323227
"miR34a",-0.0967190137580699,0.0865792889804875,0.0164580478649351,0.108699371346393,0.0167207634828629,-0.123029941598245,-0.106476842800114,-0.19079865629865,0.107041617291369,-0.220984320796568,0.173713308620302,0.282334566152616,0.0761590956829304,-0.0209126917583549,-0.0135455168603594
"ZEB1",0.0190084042508678,-0.0256881540016974,-0.00125456743147471,-0.0213882698490076,-0.00118162610445443,0.0340100136084705,-0.0663259066788975,0.120178235362055,-0.0326605239226775,0.116824440220443,-0.0640424300554413,-0.141180547435453,-0.0173020142123592,0.0730135056564806,0.00255937665054621
"FOXC2",0.0198852469227203,-0.0266873421037013,-0.00118162610445443,-0.0224271692522916,-0.00151925825146278,0.0337931555616149,0.0326605239226775,0.120509846374625,-0.0344279121393775,0.116230223925711,-0.0654174850800252,-0.14081133982084,-0.017334871611248,0.072660499173018,0.00257803474830872
"SNAI2",-0.0249103992562269,-0.273622572943966,-0.247949361630026,-0.101724873732749,-0.247111943853503,-0.117585708927438,0.0761757757792102,0.144788321535939,-0.0760756341072127,0.23976094617944,-0.107959461728054,-0.160398292320103,0.0589152323124873,0.0932102158561157,0.130740626609369
"TWIST1",-0.0477300838671666,-0.168589031146799,-0.0944868496366152,-0.129853119240802,-0.0933038210835193,-0.23254735992955,0.0864433905555653,0.0535641594607096,-0.0866049221760931,0.184780109849582,0.0328411589874549,0.189501122068805,0.234163189483595,0.275187166727023,0.187101346275299
"miR141",-0.171495144733995,-0.15630598438218,-0.24574402673502,-0.147342441499156,-0.243518672266991,-0.193496446165536,-0.0229540397536976,0.0307438308593,0.0239815130949299,0.0444895476715104,0.144858645084141,0.178693972944716,0.176724370759908,0.209190812544984,0.330026292939172
"ZEB2",-0.40308309209978,-0.383776452712109,-0.362933241310073,-0.361739820281713,-0.358960033820349,-0.212117763986729,-0.0462737576536066,0.045189556651536,0.046004510996794,0.0907372056364531,0.09778304229805,0.176086832443545,0.204348657700631,0.250369921781275,0.455394302464024
