"","ZEB1","ZEB2","miR34a","TWIST2","SNAI2","miR101","GSC","TGFbeta","SNAI1","TWIST1","FOXC2","miR200b","miR200a","miR200c","miR141"
"GSC",0.231532609333919,-0.12103584855744,0.0885865296417975,0.0594884624478754,0.0341121234080868,0.121975979810605,0.0865084741793657,0.0867375179374501,0.108244121458299,-0.200803817482603,-0.0837463646172818,-0.0463751658652322,-0.0663907722425424,-0.184649659695325,-0.231720304952553
"ZEB2",-0.0893663684757256,-0.0877202344438505,-0.0820355249131698,-0.0607647714037377,-0.0358020276424564,-0.0268214699932573,-0.0265502271317035,-0.0264208314854865,-0.0180420405401921,0.007530478569988,0.0194146872622457,0.0252475816620391,0.030794014935777,0.0443498637030853,0.0893569124933236
"TGFbeta",0.184143280988583,-0.0862991665431811,-0.00426242298638094,0.0623742142619377,0.040985040336035,0.0788418586309146,0.250688978507968,0.151216499963734,0.115008205724424,-0.0945387828426577,-0.0689687158856097,0.0366706745465274,-0.0536487510001668,-0.141922071726736,-0.184521996368444
"SNAI1",0.152901768897115,-0.0657133306480935,0.0177451300408674,-0.0235358476135927,-0.0470573471214721,0.0394264675712914,0.0430736105487581,0.0430073940485579,-0.0767562869881716,-0.0268301844158574,-0.0330963245347642,-0.0497823054347413,-0.0453941223663128,-0.119016048161606,-0.152809953739267
"miR200b",0.251415934299044,-0.0134271538202858,0.132920169307676,0.106263930054261,0.0883393193898425,0.0921312625702544,0.184690386028961,0.184949592641716,0.0965067108617182,-0.0666988287723275,-0.0732260261244109,-0.047968637311399,-0.120777054546917,-0.133923282936461,-0.2513585438962
"FOXC2",-0.14750882589394,-0.0130342806462708,-0.157037917776876,-0.181126229929601,-0.100183260049669,-0.0236076408378019,-0.0864488819319042,-0.0858787817492507,0.0508810568211735,-0.0679107043428742,-0.0489477317281347,0.1663539461046,0.173967020367142,0.162937894490486,0.146995162007395
"miR200c",-0.201995186783073,0.00662788673621846,-0.0967953274562345,-0.0842300874771422,-0.0765354680286415,-0.083119517540892,-0.165465976525649,-0.165350109975247,-0.0900937993733841,0.0630428446616626,0.0649127322519839,0.0637947285616098,0.0980283680128981,0.104811376872661,0.201744335183547
"ZEB1",0.0478311429677222,0.012931513028436,0.157256523920231,0.180473912486052,0.100071699222071,0.0235424649220803,0.0858787817492507,0.0855959741479966,-0.0510315618360476,0.0673013489452997,0.0486192054691696,-0.166667633966725,-0.174219944622983,-0.16324175086192,-0.14750882589394
"SNAI2",0.0759029393623496,0.0212335692984296,0.0433898100885365,0.0299998602802661,-0.0808527293446767,0.0106473530753118,0.0187949804884488,0.0185973875299433,0.000747090971011969,0.0660223273172059,-0.0317771104219682,-0.0308509238114021,-0.0480811770037334,-0.026766443797878,-0.0758275819168665
"miR200a",0.0975104772568049,0.0220996622668655,0.130595741398457,0.0585040078524071,-0.022231130138891,-0.073643012228436,-0.0892567787729985,-0.0900081195998318,-0.124206254282961,0.118493994500526,0.0689366149411265,-0.0893228726902304,-0.0559125314559985,-0.0348324178049018,-0.0971226292117812
"miR141",0.0975104772568049,0.0220996622668655,0.130595741398457,0.0585040078524071,-0.022231130138891,-0.073643012228436,-0.0892567787729985,-0.0900081195998318,-0.124206254282961,0.118493994500526,0.0689366149411265,-0.0893228726902304,-0.0559125314559985,-0.0348324178049018,-0.0971226292117812
"TWIST2",0.0991390230563736,0.06876919603668,0.0303667925869671,-0.0832298751235618,-0.0917053050280177,-0.0279026850396887,0.00102177298366368,0.000670343781651311,0.0208800529556992,0.0214489401129459,-0.0225946225244538,-0.0892140221207776,-0.0820102155580238,-0.013421611439388,-0.0989217827992033
"miR34a",-0.127196148643794,0.0889254815391027,-0.0461535583129859,0.145904240553217,0.0385198799189878,-0.00921674894385215,-0.0431587624902544,-0.0430004050392633,-0.030086235759852,0.0734315083066227,0.0341648563458291,0.0692745535859137,0.0812365235496805,0.151512515373738,0.127078664225813
"TWIST1",-0.158969072313255,0.0891647253209761,-0.0637994904463603,-0.105608668248009,-0.0491821380069862,-0.0344177109155126,-0.0593138168091846,-0.0594408085747711,-0.019673601959416,0.0265150725542756,-0.0599251754328068,0.0171954838282175,0.0391547862283322,0.129900096967523,0.159044004316999
"miR101",0.0450011717582827,0.0981951045311128,0.0315920826081439,0.055372657177843,0.0736241109504193,-0.030772216131528,0.00395175935609171,0.00351719857916038,-0.033427674928128,0.0482388014691646,0.0406983905597117,-0.0566915248786531,-0.0684327320571962,0.0301620899233028,-0.044618257312213
