"","ZEB2","SNAI1","miR101","TWIST2","miR200b","ZEB1","TGFbeta","GSC","miR200a","miR141","miR200c","FOXC2","SNAI2","miR34a","TWIST1"
"ZEB2",-0.0821816281993051,-0.0335220893741588,-0.029864550452009,-0.0288563513542033,-0.0137958891399351,-0.00971092402122512,-0.000488625475690287,0.000632803458191075,0.00759189649395908,0.00897086897745387,0.0142252826500582,0.0155215134452148,0.0277735832925596,0.0297473243893955,0.03551238208066
"TWIST1",-0.0286953970016997,-0.0165531811769723,-0.0272924806783409,0.0740293050840849,-0.0036798477621513,0.0846285664621302,0.0311532355501949,0.032024800088747,0.0179578007029254,-0.0852531726801901,-0.0629707030490163,0.191390075131763,-0.0283980558093784,-0.00992517947442044,0.0278550640985616
"SNAI1",-0.0256879762747758,-0.0577681852507515,0.104015231897854,0.0754944948807785,0.0117750694262985,0.0763222994639265,0.0217563301143803,0.022504536916044,0.0146323283310022,-0.0768568058878962,-0.0569509561912125,-0.137344557666903,-0.0626537904785982,-0.105343662423765,-0.050786077100819
"SNAI2",-0.0249035635006324,-0.0226091821373238,-0.0179867590707083,-0.00455834481859159,-0.00542921812584789,0.0279618037799193,0.0131959293954613,0.0129127983596807,0.00169567131463835,-0.0279145797807499,-0.0266351185235271,0.0346267927834861,-0.085894247016608,-0.00679032727655307,0.093492527883215
"FOXC2",-0.0160726389232273,0.0467353110225678,0.0469473731633707,0.087751271389279,-0.0214729862611609,0.0287138436656324,0.0220868777793201,0.0242731843050299,0.0136554207978406,-0.0295884605535341,-0.0234533000384126,-0.0973955054176335,-0.0443156364452211,-0.0287241633953062,-0.0439302096355067
"miR34a",-0.0157643914495904,-0.124408253274408,-0.0884176723331005,-0.214172800549975,0.00849262949860461,-0.0702281354226356,-0.0500797648603338,-0.0503449074123763,-0.0891664981135898,0.0702507830212824,0.0750259408054054,0.187716238512549,0.0603189095949823,0.0905660822872731,0.15004009002973
"ZEB1",-0.0153864355499617,0.047902900708271,0.0454412170018766,0.088324359993531,-0.0208723662663275,-0.0708600762212809,0.0232437016324137,0.0220868777793201,0.0126952346641091,-0.0287138436656324,-0.0234654542932699,-0.0975019294170166,-0.0446449295160542,-0.027431178936487,-0.0417138287286425
"miR200b",-0.00505197187232514,0.105657652380342,0.0960759390701624,0.0277854363245499,0.0816145391045026,-0.0206294148568669,-0.13468192793289,-0.135012804576821,-0.0136818176912676,0.0205109314445446,0.0074926095117315,-0.0384004736888934,-0.0874520663845775,0.0100026559702137,-0.123306151111057
"miR200a",-0.00375601844145649,-0.122132244963882,-0.111160052833054,-0.106900958852097,0.0117317548197011,-0.0127185728636884,0.0941824301493154,0.0934167553162469,-0.00801241951182078,0.0130036735745888,0.00499648731524332,0.0693942990510417,0.0997184930557487,0.114909401698641,0.140602197361901
"miR200c",0.0192976190447185,0.094950118634405,0.0863418249660333,0.0174157576352834,0.0401703815656048,-0.0310008916876746,-0.132912687349385,-0.134034323337297,-0.00720483147057185,0.031473899685305,0.0250940829970523,-0.031876237201291,-0.0796068345247834,0.0243585183631041,-0.108654051392851
"miR141",0.0192976190447185,0.094950118634405,0.0863418249660333,0.0174157576352834,0.0401703815656048,-0.0310008916876746,-0.132912687349385,-0.134034323337297,-0.00720483147057185,0.031473899685305,0.0250940829970523,-0.031876237201291,-0.0796068345247834,0.0243585183631041,-0.108654051392851
"TGFbeta",0.0513213779699805,-0.133215849497281,-0.109355268065752,-0.125197965924492,-0.117643972196874,0.00930687978285724,0.110958147869914,0.211235620929216,0.0341971193351164,-0.00962158692950198,0.0234042986295501,0.0886025608704373,0.0856700406718468,0.105732923177458,0.166263903260746
"GSC",0.057673056613508,-0.118338685607419,-0.109008925017114,-0.0121241914622299,-0.0739615340396207,0.0696676262242042,0.049262307479775,0.0499077944343764,0.0650639110014838,-0.0699177232657871,-0.000843950541982487,0.0421422020114024,0.00178230145608383,0.0230324148032156,0.220982895694931
"miR101",0.0859998679160374,-0.0393959216510239,-0.103817993492444,-0.0206758368328119,-0.081739246961014,0.0192125910989514,0.0339596504655392,0.03499591077976,0.054979771548996,-0.0197728123232547,0.0329340950830834,0.1110653492842,0.0688426065345688,0.0283523111326253,0.0442983222031527
"TWIST2",0.0881882522064785,0.105349346647061,0.0198769553237559,-0.0815328879463888,-0.0219634221288539,-0.0852840514936045,-0.0247670667411237,-0.0254172956511273,-0.00096166020569338,0.0856763152778066,0.0867486604769087,-0.126912310794533,0.0708208310474517,-0.00741063651627006,-0.18054085098157
