"","ZEB2","miR141","TWIST2","miR200b","SNAI2","miR200a","TGFbeta","FOXC2","TWIST1","SNAI1","miR101","GSC","miR200c","ZEB1","miR34a"
"SNAI1",-0.122053847503072,-0.146779136189907,0.103032301085238,-0.0523007179632126,0.122656180330765,-0.138608618089404,-0.03858944974439,0.0830622414991452,-0.152033914649148,0.0746879964482156,-0.198318520980632,0.0384494831301943,0.138608618089404,0.146914231220141,-0.0664500619555383
"miR101",-0.113331989374705,0.0709888485563335,0.136305714961438,0.00789730260776746,0.144267408191169,-0.0221283933856329,0.0125883747733367,0.113122666459937,-0.175176644263152,0.236608075881459,-0.239304733411625,-0.0124652198972833,0.0221283933856329,-0.0709816880902895,-0.122127474633847
"ZEB2",-0.0908262087432697,-0.0853120458718125,-0.0595471508331823,-0.0313419250973464,-0.0289954784150073,-0.0286492962613671,-0.0201438768955211,-0.0132934328851569,-0.00435989773948307,-0.00371115079792022,0.0163190639948591,0.0201616370822567,0.0286492962613671,0.0856698801532325,0.0890103656943626
"TWIST2",-0.084228422037929,0.0371133208917082,-0.00978611415301339,-0.0330064494357684,-0.0210065750858897,-0.0242736558875687,-0.00785954347114828,0.125653013563378,-0.082121936491013,0.218611808818463,-0.092761342475304,0.00797442290433429,0.0242736558875687,-0.0369796345796034,-0.103794337326892
"GSC",-0.0466781994803355,0.171690062811195,-0.00590229842791945,0.0454082703370234,-0.0347235512739541,0.0644258501841317,0.0399146939871326,0.00475217983271172,0.0817509159072935,-0.162977107634487,0.150882246382416,-0.0398673708966193,-0.0644258501841317,-0.172036955760817,-0.0283094334998229
"miR200b",-0.0229851877397958,-0.166255576557167,-0.0598523730236384,-0.119907121653404,-0.048472403553012,-0.0934505486127869,0.0416944491694715,0.00528180769443095,-0.0407379222197022,0.100431807167464,-0.026769064214056,-0.0418007597157166,0.0934505486127869,0.166376836924466,0.0776089306446103
"TGFbeta",-0.0204461135171422,-0.135846396552856,0.00467902748095443,-0.116543545524088,0.0204877441430062,-0.0794712508690209,-0.123216909893537,0.033577897969438,-0.0753438960322294,0.195212682508229,-0.108412281805233,0.0233346746221941,0.0794712508690209,0.136166751484785,-0.0785668822684374
"ZEB1",-0.0188914474764701,-0.10913574920798,-0.183804484982173,-0.17011847951108,-0.0882738844143646,-0.154109123915391,-0.0756672604359911,-0.127160907821417,0.0221320693249271,-0.188988691123534,0.13517147751623,0.0752385701806965,0.154109123915391,0.00894777268750025,0.176375785897134
"FOXC2",-0.0187655793566437,-0.108857025144802,-0.183616976729169,-0.169897975396234,-0.0882194513535559,-0.153790219418895,-0.0752385701806965,-0.127011297271559,0.0219886915843213,-0.188543055181055,0.135184512699375,0.0745522359802205,0.153790219418895,0.10913574920798,0.176134796872207
"SNAI2",-0.0117280977789813,-0.0406900389443558,-0.0041593386885322,-0.0207294621186606,-0.0980076851469933,-0.02563595606167,-0.0123723583656966,0.028993912859118,0.0541680916986673,0.0236888295474967,-0.0115508213026577,0.012480991723836,0.02563595606167,0.0408169743747473,0.013581651332867
"miR200c",-0.00759083495262325,0.149095256730564,0.105027664484889,0.0230753539942149,0.00877705822336336,0.0689955704364224,0.128241139369011,0.0688657054731927,-0.0605125668948463,0.238108618767991,-0.123096837633816,-0.12775497765753,-0.0689955704364224,-0.149215591446203,-0.199689415724362
"TWIST1",-0.00731296576764118,-0.196132881357335,-0.0742245781262386,-0.0780765556259141,0.00111014206990568,-0.101644097999095,-0.0549619367910436,0.155547103468076,-0.158526003634692,0.138949725936297,-0.0707423840599174,0.0547627602323868,0.101644097999095,0.196471242135487,0.0663969763352381
"miR200a",-0.00451383846379034,-0.2141823853169,-0.0815203012171615,-0.101679537132986,-0.0572028453325534,-0.109243569595561,0.0334621279299681,-0.000747360718019648,-0.0419643813545549,0.0961216445107777,-0.0200412836697781,-0.0334035974045073,0.109243569595561,0.214545240767137,0.11647003164171
"miR141",0.0108805143233822,0.10116844797083,0.0833597362913663,0.0413029385146336,4.66164438219889e-05,0.0532025494536485,0.120008818129507,0.062836537060742,-0.061739026029699,0.233798456111304,-0.116369057089538,-0.119357815346321,-0.0532025494536485,-0.101047187603531,-0.160828314727263
"miR34a",0.117795711903961,0.1456482689495,-0.197939052887662,0.0555070301563704,-0.090402963564236,0.174906068114162,0.047408622377378,-0.14185690344716,0.0354270148843556,-0.192141996890608,0.128733786953826,-0.0473910271050457,-0.174906068114162,-0.145867195736419,0.0100276357939731
