"","miR200b","miR200c","miR200a","miR141","TGFbeta","TWIST2","SNAI2","FOXC2","SNAI1","miR101","TWIST1","ZEB2","GSC","miR34a","ZEB1"
"TWIST1",0.016477206531487,0.0638842975602191,0.0638842975602191,-0.0594063375302865,0.0209051363991941,-0.118606716501304,-0.0806542573932637,0.0970654751921292,-0.00872107420105268,0.0614651212142055,0.114239266667022,-0.199902460355763,-0.0209211774643209,0.0465114834081562,0.059415930901008
"miR200a",0.158063960028186,0.119822596408475,0.119822596408475,0.0439540682485294,0.127497401955676,0.10603301313076,0.146434911073547,0.0401976857804026,-0.0280861984660972,-0.0598707414541509,-0.0985244730886531,-0.193035693940514,-0.127477095446843,-0.0435192557624946,-0.0439892430115626
"TGFbeta",0.177945706810877,0.0625120026295596,0.0625120026295596,0.0225456218729723,-0.0940421695462099,0.1540408191865,0.207544347526628,-0.00100580855056263,-0.035264294239739,-0.0856936937579905,-0.0868959710790944,-0.0999800213096823,-0.00604171765776502,0.0494813491575475,-0.0225208343708936
"TWIST2",0.0546268408387133,0.120333252253024,0.120333252253024,0.140198439150387,0.0564978679732581,-0.0631394848222789,-0.0758199487599894,-0.00872233779636138,-0.00651588592999505,0.0477993239607115,-0.0493643816207879,-0.0957587264514762,-0.0564769293573572,-0.0630390900745468,-0.140209433090527
"SNAI2",0.250140586074003,0.0652895597994679,0.0652895597994679,0.0778349899133404,-0.173694540537951,0.209429580421667,0.104755674171252,-0.0881110045371531,-0.0750045418915045,-0.164113583635639,-0.0755170730723409,-0.0505942449254547,0.173659469926268,-0.0190006389418933,-0.077858769373915
"FOXC2",0.0174637000565036,0.0134027522411956,0.0134027522411956,-0.00792872746108797,-0.000555161975715765,-0.0133951718857253,0.090283607606152,-0.0900375045707782,-0.0693877037583135,-0.00819245864865048,0.0873978083238914,-0.0481609905801767,0.000444462911122861,0.0112383750707533,0.00798959823350603
"ZEB1",0.0175264376289286,0.0134125913998897,0.0134125913998897,-0.00798959823350603,-0.000542365251677119,-0.0134215814988245,0.0901957601911834,-0.0894837912986258,-0.0695534944387608,-0.0085823291263307,0.0870453380449022,-0.048142924802978,0.000555161975715765,0.0111242223747352,-0.0920429843633771
"miR34a",0.127235067713675,0.0868048028742511,0.0868048028742511,0.0812330782542324,0.0011264606456179,0.0544312438472912,0.187401528155833,-0.0599950680136595,-0.0515265584546052,-0.0691556666403324,0.0130335438104409,0.00329440016038161,-0.00117803299555753,-0.0125292184535078,-0.081221754454909
"GSC",0.00744637548543341,0.0122265302559885,0.0122265302559885,0.0974455774416895,0.0176532865656873,-0.00719800591051121,-0.0114106966910571,-0.0651586395922316,-0.101842190161699,0.107113765105959,0.200608374324973,0.0679088928522004,-0.0176425599985042,0.00262849369411684,-0.0974509822893465
"ZEB2",-0.238453017976931,-0.229225684243154,-0.229225684243154,-0.103321094123265,-0.086197290898197,-0.0663799399224104,-0.0361803981386583,-0.0145825400972901,0.0109070575685365,0.0125521122802025,0.041457698930055,0.070149189118199,0.0861922165591297,0.0954300728944029,0.103317610340275
"SNAI1",-0.10399810824256,-0.10335464845021,-0.10335464845021,-0.111761491266438,-0.0271543647096586,-0.033428243454136,-0.106416303436896,0.0410423844776316,-0.065805020249452,-0.0144560263977706,-0.0082523417667212,0.0926304673171691,0.0271365219401436,-0.00727782746289154,0.111776948363719
"miR141",-0.0502494678639584,-0.0922834092562727,-0.0922834092562727,-0.0278678489289742,0.0517451084578405,0.0488120185908095,0.193118089368166,0.00285056147097184,-0.0718053971459933,-0.0605857442701861,-0.0116714885610837,0.153531558077429,-0.0518084169853797,0.116989588475022,0.0279141315119126
"miR200c",-0.031707454782502,-0.102692312921919,-0.102692312921919,-0.0122742969089512,0.0606388569631408,0.0815399134077252,0.134765846530818,0.034442682046217,-0.024518796405615,-0.0554527462206496,-0.081767416040362,0.191788366953984,-0.0606066054491114,-0.00155684608937742,0.0122678173473399
"miR101",-0.116435786485539,-0.114563079222175,-0.114563079222175,-0.0214179145206302,-0.0245632947511208,-0.021256490446569,-0.12496583591394,0.0515904286147171,0.0432951206179263,-0.00983438661249714,-0.0270025491612567,0.206579032993911,0.0246407063874972,0.00618329136390915,0.0213971150716452
"miR200b",-0.13952194694673,-0.130231500074122,-0.130231500074122,-0.0283605162285064,-0.118603653450376,-0.073305118313844,-0.204787153910895,-0.00860556520515748,0.0753727992064755,0.0650037395036874,0.0284285456093748,0.231292502817069,0.118678906983111,-0.0750271788019053,0.0283429288469899
