"","ZEB2","miR34a","TWIST1","SNAI1","miR200b","miR141","miR200c","FOXC2","SNAI2","GSC","TGFbeta","miR101","miR200a","ZEB1","TWIST2"
"TWIST1",-0.0874196939372728,-0.0353636620203764,-0.112179917934064,-0.0155119833319983,0.0450258621310488,-0.0427365190315632,0.027802879716913,-0.0230798156469774,-0.0449725920981826,-0.0207493008125842,-0.020995263811194,0.0483224250464756,-0.027802879716913,0.0414408954235742,0.0880565231457213
"ZEB2",-0.0785170823303973,-0.060741475213208,-0.0399077652772643,-0.0299233685316192,-0.0271517173450179,-0.019418955376636,-0.0168036629347454,-0.0108037382930065,-0.000689155820036298,0.00214244747444129,0.00359624561723319,0.015975963203832,0.0168036629347454,0.0246948958736225,0.0358716855367513
"TGFbeta",-0.0556155660701447,0.0127285640981437,-0.0499265285866034,0.00398608639845986,0.150250238580794,0.122725536537434,0.0929858080817383,0.00839218834186486,-0.0620911709452857,-0.00321085691637872,-0.103844850592574,0.0315495565657663,-0.0929858080817383,-0.125759966064055,0.0629661435516115
"GSC",-0.0351909726008977,0.0722890380820689,0.0408598551926567,0.116884264985879,0.0471829273243418,0.0507139860279174,0.0452846263336572,0.155951566656725,0.0406944609216399,-0.00360085818461004,-0.00257300065866121,-0.124951353400522,-0.0452846263336572,-0.0465881218664795,-0.0521615420744363
"TWIST2",-0.0324647061025631,0.0742909384387072,0.0525422410514043,0.108856551212873,-0.00530395506693008,0.0542716481976681,0.0419041827146486,0.0558373694588309,0.0852975323760889,0.00948326305083076,0.01013462377791,-0.0983824051869042,-0.0419041827146486,-0.0514835849781147,-0.116847930667018
"SNAI2",-0.0192926668100783,-0.0395731225103807,0.037841930874514,-0.0213548846534106,-0.0107895902930099,-0.048386661198985,-0.0138698051174151,0.0098242340304174,-0.0958241677600892,-0.00326247899407176,-0.00274155210346641,0.0080204935808972,0.0138698051174151,0.0500957680625411,0.0158979916396238
"miR200c",-0.0162860133394243,0.0737165431121454,-0.0310113033179058,-0.00471747803675818,0.108082409232559,0.0636471045399117,0.0436780671847959,0.0238833266679045,-0.113483236546706,0.0827052618321816,0.0845077631162696,0.0601629605740894,-0.0436780671847959,-0.0571342194688216,0.0227244220784335
"miR141",-0.0162860133394243,0.0737165431121454,-0.0310113033179058,-0.00471747803675818,0.108082409232559,0.0636471045399117,0.0436780671847959,0.0238833266679045,-0.113483236546706,0.0827052618321816,0.0845077631162696,0.0601629605740894,-0.0436780671847959,-0.0571342194688216,0.0227244220784335
"FOXC2",0.00383052528735974,-0.0360334954084001,-0.0862137142505313,-0.0758733502291411,-0.0317607273290468,-0.0222347379470336,-0.0170431107844671,-0.0973608979239912,0.094872221844982,0.00347051783264903,0.00135063074569492,-0.00899387971106725,0.0170431107844671,0.0147924850877092,0.0146175929087427
"miR200b",0.00722696414539357,0.072222367788888,0.0998285404077283,0.0546052630748207,-0.0389311074148599,-0.0238577423184849,-0.0164145381603292,0.0138449541380287,0.0510855958481953,-0.0874089171441815,-0.0873814436322306,-0.0527918679187987,0.0164145381603292,0.0237957236573475,-0.0592977168610231
"ZEB1",0.00758613382269906,-0.0300535355483678,-0.082653167025488,-0.0777346739677797,-0.0256373557380958,-0.0147924850877092,-0.0105047004452476,-0.0965727433778356,0.0979404140745278,0.00135063074569492,0.00275827038994599,-0.00789062921039771,0.0105047004452476,-0.0800354036101399,0.0208027242965678
"miR101",0.0142545034957732,0.0497001192607012,-0.0124212120260376,-0.0119937566330934,0.0615163956327531,0.126402220416501,0.0582044245368055,-0.0964066000285768,-0.0615753420575573,-0.00264843746321611,-0.00269769941363748,0.0877916268974449,-0.0582044245368055,-0.127203851638861,-0.0128277961152599
"miR200a",0.0170948693125927,-0.105525317012747,-0.11713276892864,-0.0630796079330109,-0.0224717182551233,-0.00728650549584412,-0.0124762234922427,-0.0185087843246512,-0.0519613320460898,0.0947200249532822,0.0938062320557823,0.056905408628197,0.0124762234922427,0.00402636035366402,0.0710117052083058
"SNAI1",0.039106241365278,-0.0235898668729724,0.00873237241334426,-0.0882818583341137,-0.0882798214665286,-0.15031954206518,-0.107424400531404,0.106615312365642,0.0435664374940767,0.012948352771441,0.0123865037847121,-0.0816144385986921,0.107424400531404,0.147757991903808,-0.0166962498460786
"miR34a",0.0904722176000987,-0.0666950441772205,0.00203295195560372,0.00527019589717589,-0.0485425012326789,-0.146527264161717,-0.163096085319385,0.0797383473949409,-0.08139674167893,-0.00815503005849994,-0.00797361673341818,0.0249495396137364,0.163096085319385,0.147680404392817,0.0157972457411598
