"","ZEB2","TWIST2","miR200b","miR200c","TGFbeta","ZEB1","miR101","miR141","miR34a","GSC","FOXC2","TWIST1","miR200a","SNAI2","SNAI1"
"ZEB2",-0.0874576932044717,-0.0101623186602684,-0.0077382399481417,-0.00621664226622576,-0.00365060478325514,-0.00323973349347206,0.00102658772395883,0.00316956015038413,0.00341268630322592,0.00359986139258178,0.00362988245544354,0.00441153063395938,0.00621664226622576,0.0288021138771336,0.030837120810814
"TWIST2",-0.0792943490140666,-0.169480809613843,-0.0675695291830653,0.0132603386289392,-0.0316242588240913,-0.0529827915332519,-0.189983617323069,0.052946731409592,0.0691523192373761,0.0316067156594176,-0.122354696284623,-0.148699875093726,-0.0132603386289392,0.259176708048967,-0.0971633917304171
"SNAI2",-0.0336105134312785,-0.187032243304752,-0.16958782595697,0.0286720994099922,-0.186367267554573,0.0229326796985655,-0.163213424615603,-0.0228432555299256,-0.0272153264723864,0.186404048927801,0.0543025255370943,0.140131043566605,-0.0286720994099922,0.0594356558171693,0.0331466180799107
"GSC",-0.0202707261339501,-0.0149536147944307,0.00627404511281702,0.00961287390059667,-0.000624734365036368,-0.0222829094409671,0.0674779098605522,0.022691712463751,-0.0252641169216206,0.000943376507825906,-0.115636044916859,-0.0688092853632953,-0.00961287390059667,0.00606995999263215,0.0453044327923916
"FOXC2",-0.0157755180051792,-0.00893096778248351,-0.0172893153304775,-0.00331228856861805,-0.00793785764403346,-0.0131690868932392,-0.0124155248887474,0.0135695525012528,0.00399888964107069,0.00826995483781218,0.0877817489043735,0.00489032178133049,0.00331228856861805,0.121543070401679,0.097232168758353
"miR200b",-0.0120972250938218,0.065479021242017,-0.0121947710946236,-0.00194979374147777,0.100669646219634,-0.0160865200018805,-0.0153874883840226,0.0162725759852928,0.107377209381905,-0.10052988965884,0.00971404262236177,-0.0191053518253736,0.00194979374147777,-0.0361940419331416,-0.066154529346223
"miR141",-0.0104112245821352,-0.0566935467659505,-0.0699579331947677,-0.000229965906483375,-0.120629192364959,-0.0114825620996921,0.00623768617993646,0.0117297110925831,0.00249944294384383,0.12080717294238,0.0213198487491397,0.02559931109458,0.000229965906483375,0.129430050393257,0.14177568722177
"TWIST1",-0.00398891833996608,0.158279521380213,0.0411335030845001,-0.0288167895171912,0.00519107439278094,-0.0852980549645068,0.151196129407384,0.0855472233229774,0.00779396052841328,-0.0049812037907063,0.201988620053273,-0.00163229629775487,0.0288167895171912,-0.207063996473029,0.0275316233461739
"miR200a",-0.0034107895553782,-0.053355562081459,-0.0359373494980513,-0.000636109219452511,-0.115520356893285,-0.00436105207452489,0.00579045862562433,0.00452211546315049,-0.00129503378710363,0.115667280457196,0.0198921823987098,0.0238045958864909,0.000636109219452511,0.120867712184448,0.131890355111718
"TGFbeta",-0.00226234428066739,0.109140244120604,0.088509614997921,-0.00192366979655142,0.0953258183474796,-0.00515294320983318,-0.0268930259058628,0.00518588862398841,0.106145766236775,-0.195264516159959,-0.0160269635264353,-0.0394523820946744,0.00192366979655142,-0.0572069995808749,-0.110724692208835
"miR34a",-0.00174004645814557,-0.0408852532751296,-0.0210928451196328,0.0839270496669078,0.00788000961591368,0.0723915112258345,-0.0518878239364805,-0.0723183783552041,-0.0479060366829666,-0.00785149314006471,0.0584920565320059,-0.00868002370062975,-0.0839270496669078,0.129193442165939,0.0123597565559744
"miR200c",0.0050967900670648,-0.0688170059265085,-0.0218258126020928,0.0023559370544469,-0.105778481691308,0.00896500997671326,0.0158347159383347,-0.00906498035586018,-0.103582732650957,0.105669782144024,-0.00828637627193186,0.0209000670334628,-0.0023559370544469,0.0447563801419504,0.0760398614562746
"ZEB1",0.015893685957675,0.00877515106519841,0.0172219647012565,0.00323183897694313,0.00808374029807403,-0.0866263946524792,0.0126418630687988,-0.0131690868932392,-0.00386683063979487,-0.00793785764403346,-0.0875180024711198,-0.00454083853860392,-0.00323183897694313,-0.121581335226604,-0.097502607456955
"SNAI1",0.0679048828118525,0.0511425091720368,0.0381906093837089,-0.0192412643266048,0.0187510520947568,0.0482556810152064,0.151835584246014,-0.0485085591267201,-0.0853336526705687,-0.0189473225594222,0.11485588927275,0.00512843044157223,0.0192412643266048,-0.169885091875521,-0.0696225397431204
"miR101",0.0970700958111891,0.027407798510964,0.0282422632733234,-0.00527507929550331,0.0218908744704483,0.0884603782353462,0.145902078928818,-0.0882970514146272,-0.0607633111806525,-0.0218011473464665,0.103349875274977,0.0116412595242089,0.00527507929550331,-0.174609511360925,0.0157190381191835
