"","miR34a","miR141","ZEB2","SNAI1","miR200c","miR200a","miR101","SNAI2","GSC","TGFbeta","miR200b","TWIST1","TWIST2","FOXC2","ZEB1"
"GSC",0.291143712281799,0.338737781793383,-0.141702025502047,0.181909716160467,0.251360108148642,0.251360108148642,0.10437897705222,0.0635144387347425,0.0219587340694232,-0.0223417356153108,-0.0815127626642061,-0.0934761762877151,-0.163733394037677,-0.210948905028851,-0.345648125197749
"TWIST2",-0.0437352570329616,-0.168280239504308,-0.0971256448917511,0.102970796049115,-0.035188425392833,-0.035188425392833,0.0187733761248263,0.071733687131338,0.0210878732513094,-0.0210624073671056,0.114195857714207,-0.0211983272105518,-0.0670317234731481,-0.0448215080034207,0.169254742358335
"SNAI1",0.486088931086955,0.450769395464822,-0.0798157055554388,0.253552883585942,0.290833131370777,0.290833131370777,0.11920338500092,0.205428670418173,0.0310754390984461,-0.0316111186898863,-0.097712290209024,-0.387436022968709,-0.314171449864164,-0.378794557143788,-0.460202861935287
"ZEB2",-0.0886351824196414,-0.0857445662750535,-0.0774744122410892,-0.0598230489481865,-0.0535574755901243,-0.0535574755901243,-0.027032293855043,-0.0048870303074569,-0.00244932983225568,0.00264976622541547,0.0283390657144399,0.028641882031879,0.0437739431484009,0.0498603349272673,0.0883449614355813
"miR200a",0.462845187280117,0.504177125719039,-0.0631726204844829,0.282902245577439,0.292213311101745,0.292213311101745,0.113344006216238,0.0496112857870622,0.102928963979258,-0.103548909748934,-0.186150700970675,-0.15523312700221,-0.232751433254717,-0.244367458341442,-0.51563206499629
"miR141",0.462845187280117,0.504177125719039,-0.0631726204844829,0.282902245577439,0.292213311101745,0.292213311101745,0.113344006216238,0.0496112857870622,0.102928963979258,-0.103548909748934,-0.186150700970675,-0.15523312700221,-0.232751433254717,-0.244367458341442,-0.51563206499629
"miR34a",0.34674043299316,0.429231636902896,-0.0159569622842959,0.195501140088766,0.293121325831847,0.293121325831847,0.0262105108348819,0.140138502024358,0.0215790461448165,-0.0220796013059953,-0.127114563070965,-0.232866939227806,-0.359403029384944,-0.247034753063437,-0.437612192052158
"miR200c",0.137852638282793,0.263676870281529,-0.00317796498625748,-0.1346716587656,0.135346694589338,0.135346694589338,-0.100680177750643,0.0662995882066355,-0.0905018124015023,0.0904480598781199,-0.0980864930222623,-0.0208663373481827,-0.0947591122510772,0.119579211234511,-0.265354151087216
"miR200b",-0.174210411317804,-0.303506258899173,0.0146548610789115,0.113350822432342,-0.161768201349235,-0.161768201349235,0.0921020008562155,-0.0691999139239051,0.0858353884048872,-0.0857075768492892,0.0786316144023936,0.0323063351911507,0.11091437004057,-0.0996017460750726,0.306700682773581
"TWIST1",-0.40676413799697,-0.447233011971819,0.016702314545729,-0.315578602284514,-0.242251143304328,-0.242251143304328,-0.0441229458898096,-0.187251129758654,-0.0161574514463502,0.016709531437795,0.134301248426197,0.327548328039992,0.321337899322367,0.42964816497504,0.456809010913955
"SNAI2",0.00245177734585497,-0.0193990276884039,0.020830694466503,0.0353305880883626,-0.0200382380272087,-0.0200382380272087,0.00671265252908099,-0.0821244100108335,-0.00108120370722766,0.00106324071099989,0.00418022090430261,-0.084683007626487,-0.0105619202689868,-0.0558404124927519,0.0190530532831416
"miR101",-0.0816080185117977,0.051446467252045,0.075867967530213,-0.250780439507486,-0.0156931217795021,-0.0156931217795021,-0.108667528185059,-0.131176025565925,-0.0194900254020063,0.0196378112532704,-0.0947374741570584,0.251491846065019,0.083947853494105,0.266504213892952,-0.0490927197709946
"FOXC2",-0.535721269182346,-0.60418592236035,0.0803943019014583,-0.194401186957901,-0.460094263608572,-0.460094263608572,-0.0149175220608552,-0.156556247621635,-0.013416085785955,0.014196514191335,0.337347937642154,0.209083888078572,0.36858173985222,0.196422138141197,0.61933633724272
"ZEB1",-0.547905763814185,-0.61933633724272,0.0818931690883798,-0.198411910440211,-0.469237157131511,-0.469237157131511,-0.0157553288320404,-0.159185741717534,-0.014196514191335,0.0148568251517292,0.342486882912848,0.215320819794923,0.377423678317822,0.201997830282787,0.530557282338538
"TGFbeta",-0.388355474430187,-0.337925472830962,0.112823560839612,-0.286527580389355,-0.23691213884396,-0.23691213884396,-0.108585543624485,-0.063027629991514,-0.0302536479972614,-0.0692801327344932,0.150951760948357,0.155734587471638,0.146550564673104,0.246666958775965,0.346716878156824
