"","miR200a","GSC","miR200c","FOXC2","SNAI2","TWIST2","miR101","miR141","ZEB1","TWIST1","miR34a","ZEB2","SNAI1","TGFbeta","miR200b"
"miR200c",0.119816317084573,0.213437319847262,0.127047190219262,0.203693220434381,0.152063903486265,0.0799871157052067,0.0333937098715521,-0.00638667758637662,0.00625986330912543,-0.0914611576385666,-0.0251693592596003,-0.250321718179325,-0.220273771648873,-0.213892424545233,-0.162710018743221
"miR141",0.119816317084573,0.213437319847262,0.127047190219262,0.203693220434381,0.152063903486265,0.0799871157052067,0.0333937098715521,-0.00638667758637662,0.00625986330912543,-0.0914611576385666,-0.0251693592596003,-0.250321718179325,-0.220273771648873,-0.213892424545233,-0.162710018743221
"miR200b",0.0945425364460635,-0.0405026134533506,0.079668472459152,-0.0974823202689612,-0.060763839904324,0.019237722416638,-0.0253935929654142,0.0140421538554475,-0.0139394065213242,0.0136441829894328,0.0897194782437249,-0.172723230071354,0.110433546132036,0.0406638710234977,-0.0551856053187474
"GSC",0.0923300339758954,0.0674383765527563,0.0658927643923181,0.2113490783726,0.0294560876264377,-0.0271882724785436,0.126045650769699,0.0359270412252395,-0.0359299893239615,-0.0656063658335236,-0.0855644117240469,-0.167935415931227,-0.18165715267369,-0.0675778219261355,-0.0577951458799197
"miR34a",0.126695175201079,0.0507868485972237,-0.0299654946202434,0.117214419641701,0.0724169100966464,0.156869126091823,-0.00251636401882845,0.0639163008061872,-0.063938948404834,-0.0845973864415535,-0.0640092616142795,-0.119342206360157,-0.0589381517412403,-0.0508141516060152,-0.0336219806090861
"TWIST2",0.0994450284858162,0.031122041151183,0.0094765521409415,-0.0997506929698675,-0.0875914931931066,-0.0829413761791242,-0.0349578171159359,0.0878029814577148,-0.0876218013242044,0.07891160611546,0.036001744292267,-0.106368708861739,0.170542964285931,-0.0308407846078656,0.0226604631706024
"miR101",0.0474937362091806,0.0286023442520794,0.0302354522500364,-0.141913027995868,-0.0746907676308206,0.0213028428155808,-0.076660073071277,0.0152066893435218,-0.0151592938778017,0.152214624753955,0.0347596224148001,-0.0747810471680956,0.126510371171367,-0.0285442855247971,-0.0270779548036608
"FOXC2",0.00492857734307574,0.00735052189261579,0.0131564964731703,0.0990049213627267,0.0816412039607344,0.0886048229014465,-0.00105972303691635,-0.00726535075288602,0.00707633098590361,-0.0817199667443272,-0.00230540176086746,-0.0206472462414132,-0.0767173748647638,-0.00764940936701663,-0.0136465481747133
"ZEB1",0.0049905061654442,0.00764940936701663,0.0130135392850861,0.0986979883789987,0.0817139610222115,0.0888160998062398,-0.00113437908583384,-0.00707633098590361,-0.0929908392907477,-0.0816691871278627,-0.00238523403847488,-0.0205397400590673,-0.0768843413656398,-0.0078170464519229,-0.013529376532096
"SNAI2",0.00550760191403003,-0.0059078097769664,-0.0278686079049623,0.0228307793569885,-0.0825836219513409,-0.000632577350643383,-0.0119491519755612,0.0325398639002645,-0.0325468972618429,-0.0566598281144326,-0.0194430933237919,0.0224270777374448,0.00445628470045779,0.00592919429628518,0.0150138148483734
"TWIST1",-0.0230268886209957,-0.0331722607291246,-0.0558093881607855,0.047270078797445,-0.0247344799372815,-0.0989749835405138,0.0528139357483557,0.0429304498953681,-0.0429727125826009,-0.0730583075189831,-0.066233010968869,0.075760231271961,-0.145685812131126,0.0331294845554533,0.0414527730694644
"ZEB2",-0.2159556398752,-0.213196186732456,-0.199002998866862,-0.165847789106428,-0.122582723787683,-0.0274594390662757,-0.0258910086642697,-0.0223464904949353,0.0220563411401816,0.0351675840954321,0.0773842778114364,0.11809255675047,0.174557271116143,0.213099774290177,0.218868406953828
"TGFbeta",-0.0585700914459846,-0.256234904074938,-0.0880137270922652,-0.178853466801206,-0.117223843753028,-0.0671135576436655,-0.0400453623066169,0.0260314299119297,-0.0258610550558697,0.0791532253690651,0.132932888695026,0.153070208149939,0.197978651170225,0.156681764757651,0.165406697746155
"miR200a",-0.0945425364460635,0.0405026134533506,-0.079668472459152,0.0974823202689612,0.060763839904324,-0.019237722416638,0.0253935929654142,-0.0140421538554475,0.0139394065213242,-0.0136441829894328,-0.0897194782437249,0.172723230071354,-0.110433546132036,-0.0406638710234977,0.0551856053187474
"SNAI1",-0.0142601763956242,-0.0804623541436237,-0.165263871658916,-0.181917221961316,-0.107075184188386,-0.0218927258208302,-0.0748518812428972,0.140807765175902,-0.140923075121617,0.167126315240844,0.0604319808059012,0.199626349964494,0.0563707681147572,0.0803089063257944,0.146960273264891
