"","miR200a","miR200b","miR141","GSC","SNAI1","FOXC2","miR101","SNAI2","TWIST1","TWIST2","TGFbeta","ZEB2","miR34a","ZEB1","miR200c"
"miR200b",0.334025505726519,0.305559015583906,0.352376841675471,0.0216065656332272,0.0134338940007752,0.0106743979440553,-0.0345113368683058,0.0760474710609466,0.033534919787455,-0.0716657429328911,-0.0243407773226093,-0.313763054351387,-0.240292680089718,-0.356714445348457,-0.334025505726519
"TWIST1",0.247410756396212,0.137051182797653,0.210294615106616,0.10428925710153,-0.182128798175028,0.0424527713769844,0.000135359483856095,-0.15139222535105,0.190213738307315,-0.155818989859274,-0.106013671602653,-0.301791443696159,-0.0594223976558135,-0.212932273494463,-0.247410756396212
"miR200a",0.366332241383944,0.286682464049993,0.436031261648122,0.259511108867132,0.274208484266349,0.166999156274626,0.117663162601685,0.0282591282824978,-0.166039089682116,-0.153523990980043,-0.262995466882827,-0.286923093097115,-0.419913186886882,-0.441716614136274,-0.366332241383944
"miR200c",-0.0339433890692741,-0.0106136843261225,-0.272188597407578,-0.152216671353398,-0.208003528926949,-0.122414421476474,-0.0923348715587472,-0.0185802671161535,0.12716992898616,0.103422560097701,0.153065961222839,-0.209985794298549,0.283060939004786,0.273724253509474,0.0339433890692741
"GSC",0.17644828060352,0.159206517328845,0.157570911189106,0.0701745044544168,-0.0694300210411458,0.0568569773559427,-0.0790205840524762,-0.0128196101263022,-0.0197153579021373,-0.0271611148681183,-0.0712742930779458,-0.203456572673844,-0.049984557137408,-0.159318642381464,-0.17644828060352
"miR141",-0.00163665341184883,-0.0294902358600354,-0.188534177434926,0.0856878718805059,0.0527710613386247,0.033910336854096,0.0598396279112432,-0.0663686098946023,-0.0724040804834114,0.0215643120505492,-0.0855887283373785,-0.183145833044277,0.103440432207622,0.188722084721656,0.00163665341184883
"FOXC2",0.39232607456209,0.370745877690434,0.444696401467832,0.176134845270309,0.284230885887821,0.206325971507532,0.0694048344524314,0.131353659216604,-0.107104299813536,-0.184028841579213,-0.180286060192543,-0.129146266946013,-0.450411728082501,-0.451472279555422,-0.39232607456209
"TGFbeta",-0.071911141995736,0.0104284807836335,-0.16705849172569,-0.224752770099368,-0.181253567405001,-0.102860860622246,-0.0746008810313837,-0.0265232506694976,0.124007329335048,0.0978587688595122,0.125643265033871,-0.0349937357108489,0.220986524776172,0.168551075869847,0.071911141995736
"SNAI2",0.03656950617096,0.0514332405201735,0.0405088076793879,0.00667742271921865,0.0183346749306571,-0.0227391094353777,-0.0390058093292254,-0.00381385648801999,-0.0871395777496301,0.0845936666421844,-0.00712649762491292,-0.0321676834592583,-0.0315944969322824,-0.0412051104756515,-0.03656950617096
"miR34a",-0.190360132396134,-0.174027164861418,-0.260683890623212,-0.0619572484995245,-0.318115608396086,-0.195920773625825,-0.0700308446697385,-0.152273644605359,0.152585234674642,0.0753790215839801,0.0633970271631332,0.000128204816971545,0.283175934369647,0.263151535225771,0.190360132396134
"miR101",0.00384762613447224,-0.025240441714172,0.0627999750000456,0.019500117188298,-0.241443198768381,-0.102164653584779,-0.0967390512442902,-0.145423365729344,0.233809461643423,-0.0309537973968161,-0.0193945558659665,0.0456281501264053,0.0715082955546075,-0.0625575420782686,-0.00384762613447224
"TWIST2",-0.0504339209842669,-0.0128841089759959,0.027797114711818,-0.0177489202345293,-0.113922486512248,-0.0835429913192096,-0.0885521814786615,0.0704697436653876,-0.0214018665059549,0.103118613256287,0.0182904947052634,0.124133100943548,0.0512741486307465,-0.0269681716252473,0.0504339209842669
"ZEB1",-0.396701027536699,-0.374664208132919,-0.451472279555422,-0.180286060192543,-0.288842453609198,-0.210285252759942,-0.0715722299043375,-0.133393551643941,0.11124731910979,0.187084433814787,0.183332960186145,0.130354304736065,0.457207917023865,0.356375208480246,0.396701027536699
"SNAI1",0.0188077305066828,0.0747675693413949,0.228471632263601,0.0137705284423953,0.258596495462372,0.164383363108966,0.119172656214356,0.209180204824473,-0.295637298474167,-0.022970509275688,-0.0144116786269688,0.234601382795913,-0.335253210854328,-0.229633387695224,-0.0188077305066828
"ZEB2",-0.466711432602989,-0.433232863256686,-0.371954185179977,-0.181362544663441,-0.169928542197141,-0.109364059240503,-0.0696751154621006,-0.0226764343774548,0.0970953929157384,0.133300867090518,0.185711253244148,0.268853856153073,0.338800778758306,0.378796832655976,0.466711432602989
