"","miR200c","miR200b","miR200a","miR141","miR34a","TGFbeta","GSC","TWIST1","FOXC2","SNAI1","miR101","TWIST2","SNAI2","ZEB1","ZEB2"
"miR101",0.229092915180682,0.189185347712199,0.133974510541008,0.0864268821986559,0.121799048905607,0.0546369773484078,0.0543994643731619,-0.189397376039335,-0.0677608311335717,0.165378765217762,0.177679539013075,-0.0493914893847914,0.0891594953742458,-0.0865765700364339,-0.382449977364099
"miR200b",0.233952714034065,0.180894688784439,0.133943234392793,0.0946234484821216,0.155784179120686,-0.0392674456375363,-0.0394597602211932,-0.0602990818924416,0.063015296756212,0.033745786342557,0.0676559933357754,-0.0212999042590744,0.100167770007952,-0.0946956493115055,-0.381529590714553
"miR200c",0.178073508494018,0.22790161404847,0.108829918137107,0.0662163305516184,0.0468898553960947,0.116738228947458,0.116550692365879,0.0650962894351612,-0.0139507657771534,-0.137040346082158,-0.203125006761726,-0.17812924876077,-0.268390306208388,-0.0660700775895331,-0.294207968326952
"miR200a",0.178073508494018,0.22790161404847,0.108829918137107,0.0662163305516184,0.0468898553960947,0.116738228947458,0.116550692365879,0.0650962894351612,-0.0139507657771534,-0.137040346082158,-0.203125006761726,-0.17812924876077,-0.268390306208388,-0.0660700775895331,-0.294207968326952
"miR141",0.178073508494018,0.22790161404847,0.108829918137107,0.0662163305516184,0.0468898553960947,0.116738228947458,0.116550692365879,0.0650962894351612,-0.0139507657771534,-0.137040346082158,-0.203125006761726,-0.17812924876077,-0.268390306208388,-0.0660700775895331,-0.294207968326952
"SNAI1",0.110245332552477,0.0322090856246083,0.141836490372328,-0.0408310606868023,0.137184228969828,0.0502967712132226,0.0501187400240614,-0.183386247589464,-0.0882352336266406,0.0970221868352953,0.230563612398289,0.0244895559186928,0.16203230230615,0.0402634760746518,-0.281608638565034
"FOXC2",0.0715627195033401,0.0865068415676027,0.00320407376883206,0.0577563347550843,0.0398114117949279,0.00310407829101211,0.00305979866517495,-0.0111513979106648,0.105978080499882,-0.103555766755081,-0.129247747692806,-0.147519859042604,-0.152754148316748,-0.0571017069745181,-0.0885324035534635
"miR34a",0.159083929576739,0.197158537287806,-0.116052952162836,0.165155536025525,0.0339705239426287,-0.0343748594596292,-0.0345453515811943,-0.0591510531401401,0.135453847785616,-0.124875353185022,-0.210269837594233,-0.318283845727412,-0.273759370507045,-0.165562249151224,-0.0487214203832755
"ZEB1",-0.0715285718349313,-0.0866572272191508,-0.00387950307447684,-0.0571017069745181,-0.0393764377963753,-0.003379207857843,-0.00310407829101211,0.0111245145843012,-0.105865486993289,0.104026094926562,0.129668428603373,0.148824493929703,0.153276382335794,-0.0418095330188651,0.0896012460110015
"TWIST1",-0.131236839303236,-0.0663958261540077,0.0249907544912531,-0.147846960656639,-0.00441616987449041,-0.0227097047186455,-0.0227016841860821,-0.209978797371068,-0.187471223349795,0.222547966021523,0.0687264995394565,-0.0703979738368769,-0.0529931128129154,0.147759583198986,0.107150568407632
"SNAI2",-0.102840085347347,-0.312666203242495,-0.0200715739785386,-0.0799225476639871,-0.0451942695844513,0.195734649187789,0.195993829561933,0.167121798961819,-0.0801432415579541,0.0229384855383076,0.280889346728179,0.341040810458846,0.23906236856154,0.080724685805907,0.129210253531056
"GSC",-0.178352892470091,-0.179647400311001,0.0211323852240327,-0.187388307016776,-0.0148545512343805,-0.016021595105036,-0.0159313657457906,-0.117021030756818,-0.237983537250683,0.25050274469208,0.222475687807955,0.0575406551169211,0.0926976293557768,0.187534729253302,0.166330583043124
"TGFbeta",-0.100645136043789,0.0722853934621167,-0.0583882125594395,-0.0377307112133395,-0.112143537396485,-0.13634095240971,-0.0362844898685726,0.0182998847840981,-0.0449413730895713,-0.0649259574589841,-0.152479018301306,-0.155524070180551,-0.239398778113635,0.037983292721863,0.167483963190706
"TWIST2",-0.242309424018841,-0.207728549241647,-0.0869804636139571,-0.147480710570341,-0.12611833946281,-0.0304644768013001,-0.0302375474776174,0.222207785207705,-0.0652155691128515,-0.0574038804556749,0.023871454581612,0.159140544104868,0.113239500143246,0.147782384287788,0.34414247606558
"ZEB2",-0.469205283570393,-0.466212378819289,-0.294170064440107,-0.185479844542106,-0.139033449402374,-0.107806928535135,-0.107005182962496,-0.0362506469322638,-0.00927260622302266,0.0867439071586193,0.11812141979456,0.149572023626435,0.151491160539732,0.187969754013516,0.453237531610841
