"","miR200c","miR200a","miR200b","miR141","SNAI1","FOXC2","miR34a","SNAI2","ZEB2","TWIST1","miR101","TWIST2","TGFbeta","GSC","ZEB1"
"TWIST1",-0.0650307343060675,-0.0650307343060675,0.112762349026842,-0.224794613657037,-0.0118091545453081,-0.200823009026465,-0.113513136855552,0.0642093959883048,-0.11958617155978,0.0879062218525453,0.0367304811387695,-0.048550183375626,-0.00891640173869048,-0.00888298285300981,0.224808874072974
"miR34a",-0.0203507842437201,-0.0203507842437201,0.0698389982429855,-0.0370541456460624,0.0779445872756833,0.0822306280177675,-0.0524617748521563,-0.0224837037516146,-0.107326074834713,-0.00822377425673423,-0.0411196340029236,-0.0237122446727341,-0.0178737448229764,-0.017837947544783,0.0370069631488816
"SNAI1",0.126341910754869,0.126341910754869,-0.059083081627958,0.165982983856697,-0.073778626493274,0.0995416051251389,0.0319419774355151,0.0565850247234551,-0.0698841817278964,-0.0117408513627766,-0.0333871466920793,-0.0177111273691671,-0.00109186994221012,-0.00115253535856123,-0.165944650255441
"ZEB1",-0.183897831958624,-0.183897831958624,0.223315664682189,-0.213851106574696,-0.104042356146112,-0.101199876591632,-0.192754380563161,0.0777567510120335,-0.0592656506344315,-0.000206231929287173,0.0898430705797686,0.108016523101841,-0.00563872013964965,-0.00564255915686125,0.113863137072007
"SNAI2",0.0192557074830546,0.0192557074830546,0.00804246840607961,-0.0195942156481869,0.0311654730823423,0.00195163097271347,-0.0198998311431174,-0.0190085785190358,-0.0571194925914675,0.0522145332370253,0.0209835356883811,-0.0788227849479403,-0.000484134394913418,-0.000370368752137537,0.0195697663436524
"GSC",0.0779557639529962,0.0779557639529962,-0.00716210450488427,0.106464897055104,-0.00523253696040116,-0.0447174339734134,0.0725172847750953,-0.0631573934322137,-0.0399677086780846,-0.0933853859110478,0.0223317420400719,-0.00673706603081531,-0.013025959760946,-0.0130240668373254,-0.106439838215967
"ZEB2",-0.166020217883557,-0.166020217883557,-0.112706300009211,-0.0630739816805117,-0.0458218457254911,-0.0412469505303213,-0.0390753871174869,-0.0334648386772018,-0.00986655601580525,-0.00452664496976386,0.00630631780116961,0.0358666867902454,0.0472150056815106,0.0473748473621317,0.0630834376629136
"TGFbeta",-0.0214926025477084,-0.0214926025477084,0.107980916004978,-0.0235579805734748,-0.0947111476671948,-0.086033824309452,0.0837950552314277,-0.114112200447857,0.0188727617349652,-0.0309401612967492,-0.00890198931326586,0.0841561536968981,-0.0993576348144239,0.000608487660893924,0.0236022215581975
"FOXC2",0.183920404146216,0.183920404146216,-0.223388550979565,0.213931199696299,0.104059993452542,0.101192164707618,0.192823767496034,-0.0778036388960964,0.0592866780144496,0.000188309711711452,-0.0897660444975522,-0.108093110979829,0.00564255915686125,0.00555399990518692,-0.213851106574696
"miR101",-0.0800957967246428,-0.0800957967246428,-0.00944454875838676,-0.0886175082761363,-0.014414886396063,0.0686491697427387,-0.0543399338407803,0.0717831306170394,0.0694534022099625,-0.00534218641411837,-0.00696740598054117,0.0319338817394801,0.0157640195110418,0.0157992066184856,0.0885571557766221
"miR200c",-0.191495602753179,-0.191495602753179,0.067991113450242,-0.229913269851288,-0.139987938463866,-0.12349751677306,-0.110564034855468,-0.0874891488230975,0.147903532693866,-0.0201873244712095,0.0259575045429555,0.0964834738344631,0.107152597784092,0.10715857028669,0.229879946391572
"TWIST2",-0.156565569096116,-0.156565569096116,0.0321176774169951,-0.138081524382129,-0.0481937851921926,0.020200020613585,-0.0502412336014563,-0.117725865967276,0.17172528277579,-0.0804014369652376,-0.0291547480219616,0.125795472645123,0.00574791449711812,0.00578130310085199,0.138069650926778
"miR200b",0.00984004258944339,0.00984004258944339,-0.191569071427534,0.20082464405349,0.124289612384775,0.107138683963492,0.0946120593903593,0.0769212698376751,0.179846937521782,0.0184202782078204,-0.0237685029953541,-0.0836263694791489,-0.0633912499717864,-0.0633757214650315,-0.200781138425528
"miR200a",0.00984004258944339,0.00984004258944339,-0.191569071427534,0.20082464405349,0.124289612384775,0.107138683963492,0.0946120593903593,0.0769212698376751,0.179846937521782,0.0184202782078204,-0.0237685029953541,-0.0836263694791489,-0.0633912499717864,-0.0633757214650315,-0.200781138425528
"miR141",0.00984004258944339,0.00984004258944339,-0.191569071427534,0.20082464405349,0.124289612384775,0.107138683963492,0.0946120593903593,0.0769212698376751,0.179846937521782,0.0184202782078204,-0.0237685029953541,-0.0836263694791489,-0.0633912499717864,-0.0633757214650315,-0.200781138425528
