"","SNAI1","FOXC2","SNAI2","ZEB2","miR34a","GSC","miR200c","miR200a","miR141","ZEB1","TWIST1","TGFbeta","miR200b","TWIST2","miR101"
"TWIST2",0.123320851661026,-0.0177834903332954,-0.00165187189069916,-0.149943166957078,0.0597164072715328,0.0531023206717518,0.0688151544313905,0.0688151544313905,-0.00965865252938736,0.00949550245770687,-0.213777504632674,-0.0531436319950157,-0.0553865133130052,0.0225692434340491,-0.0697470857838529
"SNAI1",0.236056108284456,0.187286756986215,0.23207908584553,-0.108334941605141,0.276784669431144,0.10283987022858,0.132642857594566,0.132642857594566,0.149647564651065,-0.149864273154941,-0.196543103669303,-0.10299807611828,-0.046135686527579,-0.246054121563199,-0.333493501488282
"ZEB2",-0.158336617526181,-0.123939677665086,-0.106301565334129,-0.0700854255219822,-0.0450676392933903,-0.0275549539923485,-0.0238994890126676,-0.0238994890126676,-0.00971702677346663,0.00936416932488976,0.0215516824752632,0.0292954522924449,0.0474675325307246,0.0701511524867145,0.13238631860125
"miR200c",0.195114513266733,0.155677571777556,0.11554401260618,-0.0238707631623131,0.041564533233206,0.132570082263829,0.0229167893066583,0.0229167893066583,0.0201526291895148,-0.0206274884904627,-0.034531751769199,-0.132181869594957,-0.0763195542349054,-0.0650686004472772,-0.154090604024484
"miR200a",0.195114513266733,0.155677571777556,0.11554401260618,-0.0238707631623131,0.041564533233206,0.132570082263829,0.0229167893066583,0.0229167893066583,0.0201526291895148,-0.0206274884904627,-0.034531751769199,-0.132181869594957,-0.0763195542349054,-0.0650686004472772,-0.154090604024484
"miR101",-0.292319323811404,-0.157269007149019,-0.197634159543353,-0.0166952100312086,-0.175525577895505,-0.0381824971305724,-0.0560129724001702,-0.0560129724001702,-0.124997713581745,0.124922358200995,0.19510696018532,0.0389478167174757,-0.0411140980102839,0.189340564767162,0.295081474724209
"ZEB1",-0.132670185192693,-0.130589051689278,-0.12466246782877,-0.00215674055533195,-0.0312050728418722,-0.00898204950718215,-0.00941154151466217,-0.00941154151466217,-0.0204532133305367,-0.0794169575526522,0.000544904522951936,0.00895901540391259,0.0106298179123312,0.124369525748658,0.128518516610218
"FOXC2",0.132456185874669,0.130272864444734,0.124498090763951,0.00211675891726943,0.0310580919195483,0.00873297661184812,0.00938549668282497,0.00938549668282497,0.0204393305227922,-0.0204532133305367,-0.000550878595477177,-0.00898204950718215,-0.0105292532741794,-0.124023559817059,-0.128064655233465
"TGFbeta",-0.319340217426776,-0.219089990184703,-0.2046001983602,0.00248545532268397,-0.229795449854224,-0.226899692885245,-0.0370449860418757,-0.0370449860418757,-0.0640025227447173,0.0642431811509751,0.0623127561677772,0.127249760640295,0.0978659718457493,0.248434140248504,0.260746121755188
"TWIST1",0.216108612683544,0.18769569430017,0.00777436708531824,0.0078279472244449,0.106562032557533,-0.00652185315785168,-0.00180920287179555,-0.00180920287179555,0.00297662937620658,-0.0029188098715875,-0.187343613709999,0.00611280599712021,0.0216952844172078,0.00726157220669293,-0.112656368085816
"miR34a",0.139235804780259,0.134927298777874,0.155594449409925,0.0149071529608634,0.0819604728925411,0.0138465481268146,-0.0382743096797369,-0.0382743096797369,0.0147057303172562,-0.0147684830385067,0.0295738361498513,-0.0140170402483797,-0.0682487636719042,-0.262101925989344,-0.150135562365421
"miR200b",-0.288926918297729,-0.221996292216383,-0.202959044706336,0.0219529128473963,-0.163995137125037,-0.145124879052509,-0.0267198156593259,-0.0267198156593259,-0.0276127188805558,0.0280996116530677,0.0353135056826066,0.144951676477166,0.0545124769034679,0.18608059538744,0.244069163201032
"miR141",0.230972275957837,0.171854287179599,0.165594863219005,0.0226446584732992,0.149315342536152,0.112631953888074,0.00504166237748123,0.00504166237748123,0.0302200431386613,-0.0301265523211258,-0.0265088277761249,-0.113239954652555,0.0121984434021538,-0.159135569428577,-0.198161333282316
"SNAI2",0.060182568988936,0.070172294406026,-0.0010055817836026,0.0277814579981653,0.0485494482241357,0.00788675204748674,0.00840117105785987,0.00840117105785987,0.0423070467967921,-0.0424071884687896,0.0658074296155284,-0.00784825991271295,0.00814075003083498,-0.121969371666062,-0.0765364863109445
"GSC",0.250300235161515,0.235109833506598,0.0640923827664447,0.0732924164211488,0.102692843956554,-0.0351769522187111,-0.0426820275978444,-0.0426820275978444,-0.0200597903936313,0.0200494720481043,-0.113812252378353,0.0348141418581091,0.0162518857912998,-0.081624326794807,-0.207580542683446
