"","ZEB2","SNAI1","miR101","miR200a","TWIST2","miR200c","ZEB1","miR34a","TGFbeta","GSC","miR141","SNAI2","miR200b","FOXC2","TWIST1"
"SNAI1",-0.117601491506475,0.257380221805562,0.336705143634415,-0.010214112330439,-0.237166916009762,0.1256788241948,-0.132461383348394,-0.274381380421102,0.071062469553075,-0.0707964140343064,0.132295064981653,0.218943475918134,-0.0539404800143034,-0.324583547044168,-0.216073443336062
"ZEB2",-0.0828049383140989,-0.0491160316465557,-0.0171768701790753,-0.0124142610568674,-0.00934073765202855,-0.0084829041190476,-0.00641143529134936,-0.00221228965020992,-0.000307293305979696,0.000528027055408833,0.00624172529139913,0.0144668534849653,0.0154030908674003,0.0167602130613365,0.0187220794579665
"GSC",-0.0737911808644199,-0.132386717708312,-0.1311829499182,0.0135677475439647,0.0333981075070731,0.063651418191105,-0.0558934463768412,0.0360484530857235,0.0251760831733666,-0.025266312532612,0.0559121176687472,-0.030812074985663,-0.00466834415869681,-0.0352653598706052,0.0144304123465425
"TGFbeta",-0.0231493666369476,0.22203632813512,0.0706493343400924,0.00414164788246226,0.033184647224873,0.0160732450665873,-0.0107226820020648,-0.163313715402563,-0.0930394959865234,-0.00692501327333331,0.0106690280418691,-0.0802511366272942,0.0928453505565699,-0.0917111002051079,-0.0962565549875791
"miR200c",-0.0203463590103284,0.157883432166948,0.00633687764046892,0.00477867802872944,0.0165413757422238,0.0145815540095266,-0.00943400743232976,-0.123050444325952,0.0958798378396777,-0.095766360290315,0.00934051661479421,-0.144242206242059,0.0361764301973964,-0.0343014942028024,-0.0308268976131038
"miR34a",-0.00639007976179998,0.187453076149886,0.18620943129928,-0.090980275618813,-0.101280057742374,0.096674692291335,-0.0917248440232351,-0.124551985454198,0.0666555332851728,-0.066443783283656,0.0916026413555368,0.181405111997302,-0.0272156628645845,-0.197229783905546,-0.081321454305751
"miR200b",-0.00322087499726494,-0.191029706684449,-0.075154836950598,0.00159959345594423,-0.0189862095472422,0.0021610041221002,-0.000831267659702317,0.0153297033581506,-0.0844148351330073,0.0842846345763701,0.000837747221313692,0.0411597016064466,-0.0253210180681145,0.0753320805638737,0.0861669365712844
"miR200a",-0.0028548644810003,-0.141035070871893,-8.11211339590887e-05,0.0112099377573697,-0.0128945314462815,-0.0077794909704092,0.0183598790166716,0.126497407247618,-0.0921437318263354,0.0922906553902471,-0.0184894702488991,0.140434828851053,-0.0839956773278836,0.0273080281413353,0.0234840092248837
"ZEB1",0.000397818079606898,0.0761674040903949,0.109249823371363,0.00753618240819551,-0.0159869697372362,-0.00793244793744245,-0.0882617142334233,0.010453773509204,0.00108103456329563,-0.00108103456329563,-0.0117437997445108,0.13823251403413,-0.0272636245289274,-0.109453601664878,-0.0799556882365244
"FOXC2",0.000434245794286082,0.0759898552056606,0.109059035690796,0.00762357728836034,-0.0157888976389924,-0.00801521262528068,0.0117437997445108,0.0106186607367856,0.00108103456329563,-0.000760007275976204,-0.0119007822628521,0.138183470385283,-0.0272931480924215,-0.109245380796519,-0.0799168567651104
"miR101",0.00109405335091769,0.277993520815213,0.260905996989637,-0.0663197175718236,-0.158455081970493,0.0655244924000865,-0.128901047309678,-0.177290376633187,0.0452962306179528,-0.0452434499567871,0.128902070233398,0.146305515474893,0.0454241839825261,-0.259234603192975,-0.187877013273508
"miR141",0.00322087499726494,0.191029706684449,0.075154836950598,-0.00159959345594423,0.0189862095472422,-0.0021610041221002,0.000831267659702317,-0.0153297033581506,0.0844148351330073,-0.0842846345763701,-0.000837747221313692,-0.0411597016064466,0.0253210180681145,-0.0753320805638737,-0.0861669365712844
"SNAI2",0.0195080257446587,0.259971853994023,0.423615882929165,-0.0544879532051484,-0.414466693177546,0.0346318389613864,-0.0876658304420835,-0.148325900712033,0.236537041834537,-0.236163240436845,0.0874189929428789,0.292318636252351,-0.205588980152716,-0.132865821162768,0.0396478115452381
"TWIST2",0.0744578068333308,-0.167574755790592,-0.161312650421239,0.0354738196917608,0.189395999513039,-0.109118610520407,0.143883828653203,0.14674319347964,-0.0633044268753772,0.0630865520883003,-0.143758057977999,-0.151442581019278,0.0241840814720072,0.0604941741349678,-0.0314411286938723
"TWIST1",0.111849041903547,-0.342081339054407,-0.330320177435128,-0.0371032760051948,0.280177877277226,-0.0734450957858065,0.0157240885581838,0.150023075736536,-0.0527714655456802,0.0522594882170522,-0.0154438065649406,-0.320531341061915,0.106474262245465,0.400268053095987,0.131640882429169
