"","ZEB2","ZEB1","SNAI1","TWIST1","SNAI2","TWIST2","miR200b","TGFbeta","FOXC2","GSC","miR200a","miR101","miR200c","miR141","miR34a"
"miR101",-0.127633026428095,-0.117517947494847,0.019100903787224,0.0180118364963004,-0.0558798046101137,-0.0111552007671071,-0.131879092801557,0.0126815151345195,-0.0258739519798719,-0.0125812318783046,0.121949378090762,-0.0311849554058677,-0.00270129338881113,0.117499193893303,0.0407480793991027
"ZEB2",-0.0775599123761414,-0.0606220187013467,-0.0429675335447627,-0.0403733682100505,-0.0290038895980947,-0.0167808571038655,-0.00879853345748488,-0.00787712820232598,-0.00400500811597875,0.00717686941103355,0.0141941139452796,0.0360074019901806,0.042203995229086,0.0600252964434572,0.0673715425579161
"TWIST2",-0.0763174152853513,-0.15624808802739,0.07930519660319,0.158895159635855,0.075015478678513,-0.101590119915529,-0.0560972186520238,0.0183339027585347,0.0411021440706113,-0.0184759458015381,0.116850006821532,-0.0748085388557535,0.0412162740846434,0.156022052618108,0.0411935804470077
"FOXC2",-0.0655372190907252,-0.37526931800545,-0.140992372188652,-0.138074198195371,-0.128819442275782,-0.15065403130985,-0.322243375847463,0.00283301708096868,0.100222630969984,-0.00323706866673278,0.327471352822443,0.134191416591615,0.27124536699559,0.373948315453149,0.356829075566609
"TGFbeta",-0.0504170308074755,0.00705475460237573,0.115956078659495,0.0977645240742542,0.045320200222834,-0.0270449978567997,0.063989918220972,0.0988079763474228,0.0425257902259476,-0.198433710360458,0.0242685658783328,-0.0800112234652869,-0.0320205358408045,-0.00686304366857719,-0.108919498212703
"miR200a",-0.0468393942863282,-0.264067643950244,0.0630190076557267,0.0425481043176478,0.0119809777068143,-0.0693741271717122,-0.127036222799911,0.11815169103381,0.0580378946622847,-0.118929310872075,0.157859465943614,-0.0374149302582216,0.109790563150104,0.263346561308064,0.154027330203168
"miR141",-0.0468393942863282,-0.264067643950244,0.0630190076557267,0.0425481043176478,0.0119809777068143,-0.0693741271717122,-0.127036222799911,0.11815169103381,0.0580378946622847,-0.118929310872075,0.157859465943614,-0.0374149302582216,0.109790563150104,0.263346561308064,0.154027330203168
"SNAI1",-0.0234751855172571,0.165906801179222,-0.0375216900256556,0.0621519455115595,-0.0200572554357481,0.0727800359665473,0.0396290040466355,0.00104273208861794,-0.0447760414979006,-0.00150941963793337,-0.0674684179512729,-0.0692567925589669,-0.108522769805409,-0.165904946327549,-0.166453952777148
"miR200c",-0.0100013066116609,-0.300093001146163,-0.16439390742702,-0.156337272777381,-0.103735756403199,-0.0760119568118386,-0.148035719749547,-0.115184697063212,-0.017682311735512,0.115613522749751,0.156381817271145,0.133644863296198,0.14992165616193,0.299669052686448,0.289143348150064
"miR200b",-0.00544666263928004,-0.294384621797375,0.0477224673521633,0.0260693387689974,0.00184840831794113,-0.0753575458631217,-0.0886612253979602,0.107846318315902,0.0564853978328514,-0.108038632899559,0.152588726112859,-0.0250162876249235,0.14721410346973,0.293681126536711,0.182337341007548
"TWIST1",0.0199794480279549,-0.178388457203012,-0.0195390693249037,-0.0061721724137184,0.0237985027893525,-0.100577730824788,-0.0460114647440764,-0.00127589335282106,0.0904638645917143,0.00168494051355253,0.0757823732119369,-0.00194678379766419,0.113505907936124,0.178257520656677,0.0869266225681302
"miR34a",0.0426437615605743,-0.193375233494345,-0.128580941991112,-0.107247714319296,-0.111214653361515,-0.0578253561611893,-0.130740295480492,-0.0219074055974755,0.0648662675342681,0.021516062471463,0.138688033675731,0.116912707648898,0.167493690831235,0.192893500198128,0.16954272181004
"SNAI2",0.0594170993064828,0.0201575356440489,-0.0519973438496939,-0.0993688402791129,-0.0871916280721668,-0.00956533190584403,0.0373593008104385,-0.00510161366433407,0.0124896954465811,0.00528552053047554,-0.0391090865760288,0.0205991215081811,0.019130431526521,-0.0201150005525985,0.00693578135344246
"ZEB1",0.0667624341771299,0.275717454030273,0.141273393271112,0.13835796664032,0.129219875584504,0.151203351262313,0.322506320084832,-0.0032335545433783,-0.100325970215762,0.00283301708096868,-0.327762476164979,-0.134458045337749,-0.27238613063006,-0.37526931800545,-0.357869879559715
"GSC",0.0986340837357031,0.194426188356543,-0.0892691592005825,-0.187453423675412,-0.00289281572666942,0.031487566510278,0.142117831855684,-0.0142108533594518,-0.139121207395843,0.0142379852646794,-0.152688911869738,0.0967516457390334,-0.053718950984199,-0.194102880196697,-0.0684337347396793
