"","ZEB2","ZEB1","miR141","miR200c","SNAI1","TGFbeta","miR101","TWIST1","GSC","FOXC2","miR200a","miR200b","SNAI2","TWIST2","miR34a"
"ZEB2",-0.0883215287224596,-0.0446801561746912,-0.0446587557934658,-0.0266257037214821,-0.0165541350753465,-0.0114946906314487,0.00619359056865721,0.00759099416611793,0.0114363357321743,0.0126612568522167,0.0137221270716273,0.0193848544779516,0.0289930085147169,0.0315238185199067,0.0347749874762072
"TWIST1",-0.0875063615793592,-0.0656872355683551,-0.0655480020527477,0.015280850987441,-0.0113478924978174,-0.0139780792666449,-0.0303090553191092,-0.0101395685691334,0.0139887733100628,-0.106750724120709,0.0739383050146841,0.0202781626950675,-0.0784366447986616,-0.053961946779699,0.0472943616487463
"TWIST2",-0.0590392465574751,-0.0800004317774393,-0.079862787646884,-0.010577591799777,0.00178640171582391,-0.0201878711067409,-0.0123936101579801,-0.124405827586669,0.020220127893399,0.0782489826291603,0.0705456002358419,0.0287746981026527,-0.0535755223956436,-0.0466144104831953,0.0508207680897128
"SNAI1",-0.0575900694228652,0.0933560325390607,0.0933313011834115,0.0794587872522681,-0.101327737741972,-0.000423169174081603,0.103923079294502,-0.0263972829993802,0.000475111458669812,-0.00589555586822944,-0.0129410780403698,-0.0924147638257685,0.116501052758873,0.0800018782043273,-0.00127137355358798
"SNAI2",-0.0221004203343185,-0.0445855985211607,-0.0446200954850929,-0.011245800833617,-0.00656608989548793,-0.212851281572085,0.187451082511063,-0.144983893359242,0.212857269237495,0.0362190590646984,0.0333920933463516,-0.187196782350859,0.0824309028619388,0.199916909802041,0.0250482336338865
"miR101",-0.017124362427082,-0.213032049369033,-0.213069215597547,-0.0995681913824214,0.00726878899285481,-0.0547853174432832,-0.103256934445894,-0.0102221121277513,0.0547941142201442,8.30687043942954e-06,0.114822307070882,0.101417072618278,-0.115121139197623,-0.00108713023318866,0.110477595505684
"GSC",-0.0149316401335646,0.182091457415042,0.182083104468663,0.110024805494764,-0.0523587565821028,0.049711384949684,-0.0946497106986346,0.00754439181326289,-0.0496817291462957,-0.0668426732094661,-0.0832859848666292,-0.103735203336512,-0.0301683493980119,-0.0867991458099276,-0.146354721965517
"miR34a",-0.00845305472961867,-0.221491521438524,-0.221570316208816,-0.16827412475919,-0.0214988856722135,-0.0914350777462644,0.0128011453249227,-0.100011452658937,0.0914029208692432,0.0796607835106193,0.175693878519918,0.0551840391278346,0.0715561302125921,0.219188723064501,0.10766111383476
"FOXC2",-0.00525276676902557,-0.276822897502421,-0.276740668564242,-0.241937969248294,-0.0693108768426121,-0.124327822537236,-0.00216010194526559,-0.0548398521093211,0.124372102163073,0.0773121520653928,0.246880878159889,0.232512281514858,0.0695514287529026,0.206308824497247,0.253974338333803
"miR200c",-0.00453427994800807,-0.255155260021596,-0.25502474313771,-0.127672009921246,-0.0553617967283459,0.0166743566843482,0.0286260055246957,0.0141899353586233,-0.0166110481568089,0.0386388246288965,0.130998725322748,0.0581052343383858,0.113258711529081,0.130970683172835,0.152215343086468
"miR200b",-0.00453427994800807,-0.255155260021596,-0.25502474313771,-0.127672009921246,-0.0553617967283459,0.0166743566843482,0.0286260055246957,0.0141899353586233,-0.0166110481568089,0.0386388246288965,0.130998725322748,0.0581052343383858,0.113258711529081,0.130970683172835,0.152215343086468
"miR200a",0.00453427994800807,0.255155260021596,0.25502474313771,0.127672009921246,0.0553617967283459,-0.0166743566843482,-0.0286260055246957,-0.0141899353586233,0.0166110481568089,-0.0386388246288965,-0.130998725322748,-0.0581052343383858,-0.113258711529081,-0.130970683172835,-0.152215343086468
"ZEB1",0.0053798195299798,0.176797833966357,0.276822897502421,0.242017261291887,0.0691991739018852,0.124248482848197,0.00202382503057494,0.0552998556937646,-0.124327822537236,-0.0767769473148722,-0.246890717318583,-0.232622072266602,-0.0694086093359292,-0.205910039339449,-0.254192944477158
"miR141",0.00671093944971782,0.19366374411552,0.193638751520733,0.0931590217227169,-0.0157761373597033,0.142503837381406,0.0331987125346979,0.0641148646388078,-0.14249069787569,0.0222405563808241,-0.100276483919979,-0.0915049201090634,0.080892182298216,-0.0425103806043382,-0.177955477364297
"TGFbeta",0.0503514876728413,-0.131883116508011,-0.132039685666711,-0.0964819833557256,-0.0114709736222198,-0.126328920884521,0.0439015957055689,-0.00293761045168826,0.0263402133927488,0.0281358714586686,0.0394582578516924,-0.0331081647144129,0.0940170705213826,0.102292492666743,0.019562315349965
