"","ZEB2","SNAI1","SNAI2","miR34a","FOXC2","miR200a","GSC","TWIST2","TGFbeta","miR200b","miR200c","ZEB1","miR141","miR101","TWIST1"
"miR34a",-0.109113607600868,0.0860731767431194,0.0533544560043605,-0.117126224103007,0.0973686698005163,-0.172442056439207,-0.00364567291261641,0.0130394001666403,0.00339145156409047,-0.125276615999654,0.084304545867954,0.143999183109626,0.143461774466736,-0.0660486337792705,-0.0292138931953397
"ZEB2",-0.0867368054368926,-0.0360685190758519,-0.0197708632993465,-0.0159545730242626,-0.0148397091110014,-0.00246314270636309,-0.001253493469419,0.000347592314911207,0.00129155101242402,0.00597792043097651,0.0193419078728875,0.0265867924506433,0.0266778684916723,0.0281582776531153,0.0317178217337607
"SNAI1",-0.0623410862862548,-0.0779004024377593,-0.0724426371716218,-0.0899981892012735,0.110067688321694,-0.0636422971007436,0.0181322774296574,0.016770779509201,-0.0179772435878712,-0.0170319910862831,-0.00708228796394825,0.0638873232879644,0.0636888541588791,-0.0247405144087286,-0.0232248654993302
"ZEB1",-0.0193591107074567,-0.0942559383229122,-0.0804183424879133,-0.0976651707864628,-0.0980236854518098,-0.136909384034791,0.00375698399906046,0.065873127388383,-0.0036111013450199,-0.144894056018934,0.124143103395857,-0.0158954670666242,0.0825520975095765,0.0871805376127613,0.00542778268729733
"FOXC2",-0.0193031364141691,-0.0947556620051115,-0.0805158908444121,-0.0961483575119218,-0.0984416695653287,-0.13646083415315,0.00331972269391849,0.0661293006354449,-0.00375698399906046,-0.144262989849247,0.122796296202853,0.0825520975095765,0.0808957717548323,0.0884544305109565,0.00561895300810503
"TWIST1",-0.0187696463469434,-0.0252027149367377,-0.0291900650610525,0.0121354298273198,-0.226007105696271,-0.0432065784256973,0.0085386620979886,-0.075661248754033,-0.00841701735411094,-0.0181815028411775,0.00685711929751807,0.0578661593835323,0.0577103319293795,0.0276835437342407,0.101675980029371
"TGFbeta",-0.00711644460941713,-0.120558427081676,-0.0204430419598311,0.0839799498630461,-0.0785324722939092,-0.0264127656797528,-0.00988877956472451,-0.0736905480921857,-0.0900370125240669,0.0526691363585687,0.0201280934428383,0.039942050117614,0.0408315762998053,0.0703880156272169,0.13996433953673
"miR200c",-0.00496772370593801,-0.0726954132039905,-0.0137570281027592,0.148879159603402,-0.027993023796414,0.0623572785491569,-0.0878946678907988,-0.0666538480772931,0.0881897095191419,0.0601993156515635,-0.0664094615355533,-0.134085590991811,-0.133398757461005,0.0426344194747057,0.113586384746438
"SNAI2",-0.00345139703057073,0.00721406187229172,-0.0824308446036719,0.0424236623870008,0.0330790257342033,0.0373222700789631,-0.000900906446391055,-0.00722105162107639,0.00111560702035155,0.021663563615184,-0.0401603252690761,-0.0795100202208164,-0.0799397251210599,-0.013106173475296,-0.0598862203076379
"miR200a",0.000234602341007068,-0.145521580061963,-0.0695914809230619,-0.0633967011964303,-0.072458550258506,-0.0830334511331548,-0.0900988361372947,0.00295607336300421,0.089908910554677,-0.0213364461251568,0.0831613533539959,0.168476994309718,0.167904941584599,0.107555315184956,0.131188595937203
"miR200b",0.00496772370593801,0.0726954132039905,0.0137570281027592,-0.148879159603402,0.027993023796414,-0.0623572785491569,0.0878946678907988,0.0666538480772931,-0.0881897095191419,-0.0601993156515635,0.0664094615355533,0.134085590991811,0.133398757461005,-0.0426344194747057,-0.113586384746438
"miR141",0.0207879472397976,0.133048581501983,0.0633629103593063,0.0556365446356264,0.0663258043197777,0.0854962711976272,0.0841031520701413,-0.0030549687040745,-0.0840207315342884,0.0597134592376574,-0.0647757813759437,-0.153378230672826,-0.152629378480883,-0.0985686116609005,-0.118440753692412
"GSC",0.0882178921833295,0.127729615946774,0.0068763850623782,0.00382637304546003,0.0600743156666037,0.105628952418507,-0.0132346051970031,0.000821393434083687,0.0133008575237217,0.103166669161775,-0.0159723683072254,-0.118841223150084,-0.118694309563772,-0.116911460132221,-0.215006138944359
"miR101",0.0934715318864408,-0.0497574201359054,0.0551069456806253,-0.00784293386839099,-0.131115921298612,0.00795311311711046,-0.0183040686705398,0.00509934429629344,0.0183304590011227,-0.00824000837709246,0.0860859621678494,0.08055695566483,0.0802333707945537,0.0477230317920669,0.0284663639962047
"TWIST2",0.135635591801632,-0.0168748648196377,-0.0298189154555972,0.0810985555697385,0.0294537582151117,0.134810938391523,-0.0151421840134107,-0.0902965111890292,0.0154053314835166,0.0907256816444985,0.000670404448909668,-0.141141495950048,-0.140353010563193,0.0235106139497415,-0.0273854667833874
