"","ZEB2","miR34a","miR101","TWIST2","miR200b","miR200c","GSC","TGFbeta","SNAI2","ZEB1","miR141","FOXC2","miR200a","TWIST1","SNAI1"
"GSC",-0.134270663909187,0.0332889813877373,0.153608192936156,0.065826963932979,0.00954579862142923,0.0877645249662261,-0.00409787748457705,-0.00413636693152786,0.100503592941695,0.0528263077080349,0.0528169720620819,0.12338259547838,-0.0877645249662261,-0.179419976303,-0.107472170693075
"TGFbeta",-0.129082226373671,0.123939828527979,0.144471547731913,0.0416227987685332,0.0719751001221122,0.102487007662188,0.179513029346931,0.0795065764850871,0.0504696664973661,0.0819444843125042,0.0819592313074118,-0.00202101220396616,-0.102487007662188,-0.186806357111513,-0.237434293461711
"miR101",-0.120475919969497,0.0344055755788906,0.230952529426205,0.0681272659135718,-0.0226202444721565,0.11298936589327,-0.0228410028737465,-0.0228585964274685,0.137125876623943,0.106962881898844,0.106967996517447,-0.108418322312229,-0.11298936589327,-0.190123893817318,-0.223904277934324
"ZEB2",-0.0817643930729505,-0.0287579637876368,-0.0260377630350163,-0.0169584925932998,-0.0126478479779484,-0.00933027011065465,-0.0040880536478253,-0.00403223591808459,0.000131472845724869,0.0026186568353646,0.0026271174511979,0.00417315153278482,0.00933027011065465,0.0373733090871101,0.052243388468918
"miR200b",-0.0296845949639101,0.123431373841255,0.121787625302791,0.0822877070641837,0.0256665580925925,0.0167718788499216,0.111207061699558,0.111155698177215,0.0213905783723013,0.00552393607555752,0.00549338957081818,-0.0207965075117883,-0.0167718788499216,-0.160040985812502,-0.222146397495945
"miR34a",-0.0154899111410885,0.0894672616632404,0.156363216533393,0.276037631146454,-0.0295582246318973,-0.0691624547171887,0.00314474935539575,0.00314899649009666,0.162437579266845,-0.0593553420486815,-0.0593520392738788,-0.13960872032762,0.0691624547171887,0.0308527320887645,-0.144467990060029
"FOXC2",-0.00945709365132883,0.0383877367519078,0.119211000042495,0.121978819153322,0.00399423253986424,-0.00200388978189956,0.00289345651457122,0.00295434100009732,0.103265862208907,-0.00917944575517636,-0.00917624203031225,-0.102812654285043,0.00200388978189956,-0.0278732474423318,-0.13765911923816
"TWIST1",-0.00878429089427918,-0.00188552446389254,0.103869107124423,-0.0505399459856009,-0.0476057659287683,0.0655037023211295,-0.0354597757833311,-0.035482500625594,0.00324149858702317,0.136152510735789,0.136164696909409,-0.192382385980922,-0.0655037023211295,-0.177856644264662,-0.202480047165958
"SNAI2",-0.0044697697269441,-0.0187025739432232,0.0264506906423565,0.0728969460577352,-0.0221347120819542,0.0149016767744778,-0.011025317332336,-0.0110244619515633,-0.03358205775529,0.0254259146211492,0.0254309384508481,-0.0330402577990852,-0.0149016767744778,0.0955741449571414,0.0109332532997618
"ZEB1",0.00946508997894133,-0.0384153423058468,-0.119240625458732,-0.121915436081884,-0.0039877742603499,0.00202067422908354,-0.00295434100009732,-0.0029044337763466,-0.103291192445125,-0.0908275720349216,0.00917944575517636,0.102878976487557,-0.00202067422908354,0.0278135067170794,0.137630899547871
"miR200c",0.0306348655941025,0.00318119456929127,-0.0473174508687925,0.0305318634003427,-0.0291086099881047,-0.0221323374253184,-0.107385624701664,-0.107322316174125,0.04778295888989,-0.015269076792996,-0.0152422328948918,-0.0201947501650123,0.0221323374253184,0.150627670215416,0.14206540922362
"miR200a",0.0306348655941025,0.00318119456929127,-0.0473174508687925,0.0305318634003427,-0.0291086099881047,-0.0221323374253184,-0.107385624701664,-0.107322316174125,0.04778295888989,-0.015269076792996,-0.0152422328948918,-0.0201947501650123,0.0221323374253184,0.150627670215416,0.14206540922362
"miR141",0.0306348655941025,0.00318119456929127,-0.0473174508687925,0.0305318634003427,-0.0291086099881047,-0.0221323374253184,-0.107385624701664,-0.107322316174125,0.04778295888989,-0.015269076792996,-0.0152422328948918,-0.0201947501650123,0.0221323374253184,0.150627670215416,0.14206540922362
"TWIST2",0.131933659923636,-0.0244033856710962,-0.0525019978259868,0.0434384455937845,-0.0264368351731315,-0.0968306930691303,-0.00205065775125203,-0.00202745550119968,0.017243154644748,-0.0620321254282269,-0.0620338844586493,-0.0358213320628258,0.0968306930691303,0.212942574408942,0.103507962886094
"SNAI1",0.156822594515344,-0.120642148601398,-0.274955634473855,-0.16080885108558,0.040387607711406,-0.126278656139413,0.0281771893581515,0.0281910670677743,-0.182372179226608,-0.105867056124384,-0.105867056124384,0.13662696303035,0.126278656139413,0.187738983981565,0.166203301658884
