"","miR200c","miR200a","miR200b","TGFbeta","GSC","SNAI1","miR34a","SNAI2","TWIST2","TWIST1","FOXC2","miR101","miR141","ZEB1","ZEB2"
"miR200c",0.190801973546098,0.190801973546098,0.101847257621277,0.180046768836528,0.18125679786289,0.175764110375737,0.051268728614901,0.112984336197186,-0.0242628511525669,-0.0284891901584319,-0.0188739976080347,-0.030998830209657,-0.0895531330449575,-0.0892458166942466,-0.294970083437798
"miR200b",0.132403618510479,0.132403618510479,0.0165377646308197,-0.0244707815494884,-0.0234662066124983,-0.000981751588481887,0.112917275860311,-0.0988454644784224,0.105741577668816,-0.00109804578402227,-0.0388404721881818,-0.0479351199575395,-0.0531762283458094,-0.0529170458813545,-0.210148585231204
"SNAI1",0.119859088335296,0.119859088335296,0.0990511531529272,0.0313945223278989,0.032107836602511,0.0480898455870058,-0.104905542490907,0.157370126841593,-0.139944739086768,-0.211661287553593,-0.0367230941873933,-0.0473092493613544,-0.0609068290611227,-0.0605748106115314,-0.205526318539414
"TGFbeta",0.130495921308531,0.130495921308531,0.122600995722643,-0.0285739443229218,0.0703242295171763,0.0744827400641426,-0.0346298844751124,0.114206513591907,-0.121223543938174,-0.0153648355631142,0.0277822040835763,0.0192561685862033,-0.105291032988632,-0.105624566086223,-0.163754553045585
"miR101",0.0827392932255683,0.0827392932255683,-0.0156721441841705,0.061621458911854,0.0639455673585191,-0.108640493278774,0.0890690379067897,-0.131955279684858,0.121590699260471,0.202476061358986,0.0383186233261938,0.0402743700292074,-0.0637439198615337,-0.0630357156723201,-0.094548906633868
"SNAI2",0.0537770260729693,0.0537770260729693,0.0322050767413505,0.0213009423008598,0.0178990929676291,-0.109502704938615,0.0586471162395188,-0.0709364006059617,-0.0337287190902397,0.00459655006412764,0.0720110416677913,0.0667235252801918,-0.0132499138531208,-0.0148364392720244,-0.0922718939473524
"GSC",0.108891647799099,0.108891647799099,-0.052862214930041,0.0989519752461943,0.100641094090249,-0.000895403529164975,0.106172014643249,-0.0875570144946486,0.0954649456984381,0.19347972525862,0.0171319623110697,0.00894674368455136,-0.14351190974363,-0.142932608344757,-0.0625632568502483
"FOXC2",0.0400304670210518,0.0400304670210518,-0.0112124413583638,0.0300401919243617,0.0321545440580862,0.181260739824175,0.0062734442022976,-0.0287291664914205,0.0688259766603293,-0.0254973835330684,-0.110358285992707,-0.100942987503327,-0.0494385301675112,-0.0488629276002597,-0.0230311651098691
"miR34a",0.125023110709268,0.125023110709268,-0.086945368646415,0.11280873230285,0.111612860517779,0.268425846279133,-0.0422541252043978,-0.0247995235558156,0.13952024316881,-0.085155497604643,-0.16613880454369,-0.129273510265386,-0.133900159343775,-0.134473898509494,-0.00979036090052683
"ZEB1",-0.0399106607946006,-0.0399106607946006,0.010305514392279,-0.0319712175817934,-0.0300401919243617,-0.181397134993905,-0.0056668681116917,0.0300565786574791,-0.0683109892048955,0.0245863374729692,0.109684267329948,0.0999700888341011,0.0488629276002597,-0.0504428124507696,0.0230978011733067
"TWIST1",-0.0325676189634348,-0.0325676189634348,-0.0454847660206486,0.00711843742744757,0.00568677236488741,0.22397766620843,-0.0704348001764386,0.0147181639568144,0.0158058365480159,-0.140160575182448,-0.208404496030918,-0.069950958641614,-0.0471671824383795,-0.0478089011555643,0.104748780745343
"TWIST2",-0.0172468611827923,-0.0172468611827923,-0.0923945013640173,0.0394764449478318,0.0382840756585563,0.245790264503563,-0.0524719817263257,-0.0262202410057627,0.0347100661193255,-0.0763615928420633,-0.141834838547349,-0.119480476090731,-0.10625322568795,-0.106735639781302,0.139110336690828
"miR200a",-0.0918292986767554,-0.0918292986767554,-0.0648961091468562,0.0719690361254157,0.0727896579823862,0.131998654518435,0.00214769334991252,0.0927016850015184,-0.0337159265502714,-0.021626675691125,-0.0100877486351682,-0.019863541990432,-0.00775838055131936,-0.0075186367716985,0.190174451878254
"ZEB2",-0.348602882403926,-0.348602882403926,-0.209002569391177,-0.167024110568846,-0.164192629369273,-0.112187725990268,-0.111463682802785,-0.0515604885399511,-0.0271445316547598,0.0155378160403522,0.0196932281449272,0.028615527978047,0.15945691811858,0.160679725948133,0.242904330365666
"miR141",-0.190801973546098,-0.190801973546098,-0.101847257621277,-0.180046768836528,-0.18125679786289,-0.175764110375737,-0.051268728614901,-0.112984336197186,0.0242628511525669,0.0284891901584319,0.0188739976080347,0.030998830209657,0.0895531330449575,0.0892458166942466,0.294970083437798
