"","miR200b","miR200a","GSC","TGFbeta","ZEB1","miR141","TWIST2","miR101","TWIST1","SNAI1","SNAI2","FOXC2","miR34a","miR200c","ZEB2"
"miR200b",0.245930264530632,0.160755694557364,-0.0854602147747184,-0.0828406751352186,0.0587922626106037,0.0627512747551534,-0.046833537436186,-0.131948353985186,-0.00617556178419654,0.11865988589217,0.143375972231876,0.114847749066164,-0.0511167934999302,-0.226118030394176,-0.400796014769301
"miR141",0.245930264530632,0.160755694557364,-0.0854602147747184,-0.0828406751352186,0.0587922626106037,0.0627512747551534,-0.046833537436186,-0.131948353985186,-0.00617556178419654,0.11865988589217,0.143375972231876,0.114847749066164,-0.0511167934999302,-0.226118030394176,-0.400796014769301
"SNAI2",0.344755603828588,0.0946345685915011,-0.19687613094948,-0.197694730349002,0.0270098552414339,0.0244219131025551,-0.340833932539989,-0.272495999640454,0.223126668499416,-0.0621018739368955,0.303860791629128,0.0397943708514695,-0.0437634358993115,-0.12087648845325,-0.225078844573302
"miR200a",0.00445962989909178,0.108080989350423,0.152998766231572,0.15114609592566,-0.025517460352787,-0.0288090776513652,0.0659672458735774,0.143555177156865,-0.00391918522739564,-0.129089308500147,-0.156264595448563,-0.133800604682608,0.0216602611158195,-0.0787529810599737,-0.18655793200176
"SNAI1",0.05154857628372,0.0391876536671318,0.0110164994779758,0.0118281472379152,0.084487737668666,0.0857447088195396,0.0273965811407991,-0.00399642922238749,-0.0128297597288042,-0.0970762348470339,-0.0912972722554605,0.0141568540497367,0.00154547480452202,-0.120535833602908,-0.171493054359235
"ZEB1",0.0928093428510974,0.0188747227265783,-0.00845256764124582,-0.0117502834260049,-0.0409138997271857,0.0519670534892179,0.0095671487798989,-0.118494228427994,-0.0811250855916041,0.111889309776955,0.126083034166498,0.11133798315927,-0.0405681509846452,-0.0823358644005808,-0.120466120754782
"FOXC2",0.0979538237899467,0.0147613756184228,-0.013815937320772,-0.00845256764124582,0.0519670534892179,0.0613315412670075,0.00425881654696611,-0.119099771935881,-0.0836222479071546,0.112173858320701,0.12480843823766,0.111095830001253,-0.0472673474391967,-0.0883730564204444,-0.116524523562382
"miR34a",-0.127868883311734,0.0627717373714576,0.0502156640028757,0.0482856446480761,-0.0971236932878571,-0.100747780896318,0.00125816684923756,0.090468937007426,0.0469720213660969,-0.0747132879510886,-0.109121050430525,-0.046431718859942,0.0121071730517425,0.135512146078682,0.081168366880286
"miR101",-0.00647500635320059,-0.11143364264122,-0.0443897703559222,-0.0434995365375933,0.114884638291107,0.116613720353458,0.02668443354224,-0.0260926665457504,-0.0110607604461439,0.0164780750804566,-0.0626689908119037,0.026752768602228,-0.0400776925091842,-0.00691690508570238,0.105614996047766
"TWIST2",-0.116426136015832,-0.0411020207713418,0.0148188294796556,0.0122795978702683,-0.0395633375883364,-0.0441834309928518,0.112871364756582,0.0647910181973727,-0.173847673097447,0.0100397774895706,-0.150346882629068,-0.0902102688126654,0.0368631879053456,0.09004636478613,0.136730463690916
"GSC",-0.00315092698977492,-0.108372590783947,-0.0514459636638975,-0.0503739379201362,0.0648411131046103,0.0667146298424408,-0.046412901037737,-0.00257672700851206,-0.0100291776379045,-0.0517068243885944,0.156838365526235,-0.121827942509953,-0.0692153524250373,0.0460096370906348,0.164451553689185
"TWIST1",-0.152466234891051,-0.0819852673506939,0.00983875701195921,0.00718930775519522,-0.0358758258769622,-0.0404425296207103,0.16030096614327,0.129168186274074,-0.116207588924685,0.00304535175864147,-0.258488746058028,0.0912824205354822,0.0330432403203765,0.107466913440648,0.198445236068027
"TGFbeta",-0.177464933152333,-0.0906919559339052,0.179903507555173,0.0795679587392735,-0.0111713131268466,-0.0116504335784184,0.132879074260517,0.093223348883189,-0.0645968564647496,-0.0726054958342091,-0.114208898242333,-0.0992950292274191,-0.080075972715732,0.103634322798823,0.207277227184535
"miR200c",-0.130553032340312,-0.1124280251802,-0.128658736462068,-0.131435950170156,-0.0491661172853786,-0.053991539382535,-0.0925820559957032,-0.0605936918378309,0.0698614644140026,0.0532116894005563,0.0680765242867834,0.0840456850292702,0.134292457477096,0.168242466989268,0.285212031504832
"ZEB2",-0.368517486646271,-0.335443554102292,-0.0975713450122496,-0.0969801845109049,-0.0683685888636382,-0.0662380067235005,-0.0519772474548974,-0.0354166098538314,0.0237380017086133,0.0319609268610596,0.0384562572558657,0.0466524050728395,0.0686950952597958,0.398274632749562,0.420619838341055
