"","ZEB2","miR141","miR34a","miR200a","TWIST2","TGFbeta","GSC","miR200c","FOXC2","TWIST1","SNAI1","miR101","SNAI2","miR200b","ZEB1"
"TWIST1",-0.127110575897442,0.212648653430401,0.223936705521902,0.179201048491542,-0.0312799155136479,0.0281672680158012,-0.0282167279666086,-0.0550351977525281,-0.217648707210786,-0.150497826939341,0.249672215667807,0.0350062413179418,-0.144272435097097,-0.0844032533449683,-0.212640097180838
"SNAI1",-0.105822970732663,0.124485645551718,0.219898275608816,0.117643736390752,0.0381325119885687,0.00627935273088643,-0.00630036754831525,-0.0125300116503287,-0.0867551904817239,-0.225382751360186,0.120659866006647,0.105958770519912,-0.106826131474846,-0.0442830272238432,-0.124496465519815
"GSC",-0.0917757089918787,0.147152249819866,0.138243657954297,0.123461113779219,0.0630859741385675,0.028829302711866,-0.028857696566174,-0.0307707593238235,-0.0694248687417026,-0.23325452892195,0.122988070434791,0.106314551966192,-0.0084735483346916,-0.117496858392597,-0.147154215219014
"ZEB2",-0.080808386504078,-0.0345921162331198,-0.0285142960490236,-0.0263193374036623,-0.00522822923030301,-0.0032775287651952,0.00337394120747459,0.00349403443586698,0.0050743613147319,0.00778324064215142,0.0127235778854707,0.0167432347961107,0.0205354607950952,0.0253109827881514,0.0346214795468941
"miR101",-0.0258361141836027,0.0965148042383955,-0.0265978652476041,0.0595031124217042,0.0138626206436133,0.0295497061130939,-0.0295743370883045,-0.0365291384055183,0.0680269279220863,0.174592820200145,-0.165678328630088,-0.0904335501958729,0.0852608781659811,-0.086369506254582,-0.0965096896197926
"miR141",-0.0138708493423386,0.189101453856396,0.211196571050345,0.100514853845925,0.09445693127096,0.160860454181123,-0.161009766746074,-0.0880200960621686,-0.0174536579714578,-0.0718546785109619,0.168936605102949,0.0925964094400439,0.0169550382713826,-0.091787885896972,-0.189131074709476
"TGFbeta",-0.0104644163483055,0.00188116330859418,0.101775482433764,0.00562159296551784,0.0817929355432404,0.0888470832466012,-0.188811592506458,0.00337404233220762,0.00685094111620777,-0.0300759451769721,0.103744928705276,0.0619809281636952,0.0207839672439335,-0.0761069129583085,-0.00187331916236674
"SNAI2",-0.0100387397574653,0.0205687141951882,0.0128264889280738,0.0148481655874766,0.0991183716900048,0.0115783278704491,-0.0116168200052229,-0.00557648880750871,0.0343582821459162,-0.0800031033089873,0.00193536586949639,0.0449458807120494,-0.0109422718341277,-0.0339174166763043,-0.0205898142799235
"miR200c",-0.0041642618093522,0.186645480539455,0.109227709814826,0.0948123954799362,0.0233418498948307,-0.0600407669174216,0.0599774583898824,-0.0910280378151688,-0.0225929009213319,-0.034533179511732,-0.0338397302566838,-0.0511694629571153,-0.0675884478105057,-0.0332984503437667,-0.1866713987859
"miR200a",0.0138708493423386,-0.189101453856396,-0.211196571050345,-0.100514853845925,-0.09445693127096,-0.160860454181123,0.161009766746074,0.0880200960621686,0.0174536579714578,0.0718546785109619,-0.168936605102949,-0.0925964094400439,-0.0169550382713826,0.091787885896972,0.189131074709476
"miR34a",0.015976096599464,-0.136859116899233,0.00701933881965447,-0.128966069548849,0.0113344580144309,-0.065152828404194,0.0651692102094689,0.114872923196157,-0.0784239377135878,-0.123756642513665,0.167106700894859,0.0371243908063227,-0.080820332218497,0.110482507727427,0.136859116899233
"miR200b",0.0383320437166108,-0.207995410297197,-0.224288474361274,-0.1224935248813,-0.096321235853282,-0.158651999026799,0.158727252559534,0.0858476942690592,0.0195990883776153,0.075131670053973,-0.165891585121149,-0.087803285526258,-0.0105535732576693,0.143551277764055,0.207981525522316
"ZEB1",0.0528415363898211,-0.193356048168244,-0.237857414070683,-0.217527776902813,-0.12163958595826,-0.0910769547090985,0.0910603189678482,0.174911549093323,0.102652563606759,0.133700731452557,-0.182399437606566,-0.0452261596650368,0.0881081002814328,0.211500896771459,0.0933540430853587
"FOXC2",0.0528430171912308,-0.193342165360499,-0.23789695716146,-0.217537616061507,-0.121673918455289,-0.0910603189678482,0.0912208326115079,0.174886661809568,0.102703462041247,0.133781381431648,-0.182471162652717,-0.0453197759803461,0.0881151065169825,0.211514735941847,0.193356048168244
"TWIST2",0.0891034757305568,-0.145239580539919,-0.0409574474740826,-0.116609745439375,0.0870133886316999,-0.015164362127024,0.0151966189136821,0.029750478687898,0.0630873395842782,-0.202087742185548,0.056499677724872,0.0785619768761165,0.102789851613164,0.0507979580733536,0.145227267326962
