"","SNAI2","GSC","miR200c","miR200a","TWIST2","SNAI1","FOXC2","miR34a","miR101","miR141","ZEB1","ZEB2","TWIST1","TGFbeta","miR200b"
"miR200a",0.247018777713855,0.180618914808124,0.100390192737696,0.100390192737696,0.163734741007475,0.0871739862012044,0.0322726011738704,0.0415376216446693,-0.08287286183673,-0.0482735140042729,-0.0457214923810501,-0.254380021632386,-0.161231469785504,-0.18093545744582,-0.088757702671385
"GSC",0.175550371967405,0.0800985091201694,0.0748622817683311,0.0748622817683311,0.0818961296136126,0.138145033389291,0.0637737302601211,-0.0203825849874393,0.0276209392263237,-0.0796905511915703,-0.0797799768528043,-0.246880006979694,-0.26234693550084,-0.0803023138966466,-0.105426211821894
"miR101",0.135411664537795,0.0848724475681309,0.121115630724436,0.121115630724436,0.00618489809766589,0.0951604122986094,0.169645976380297,-0.0344916524730907,0.0314704048225744,0.0109850761346222,0.00761931611934656,-0.233089972561802,-0.0710162225567554,-0.0848407791714315,-0.0564107174413612
"SNAI1",0.140280447464429,0.0440172519443991,0.0468076162653186,0.0468076162653186,0.0371651847650283,-0.0464932907786303,0.145001886867466,-0.0376142016740312,0.00496515903694779,-0.0729086584872774,-0.0696218613214908,-0.17053255860851,-0.0514150743129431,-0.0443546785412278,-0.0349659216051227
"miR200b",-0.176283114620084,-0.0205589906187888,0.0902880830260766,0.0902880830260766,-0.120045203735226,-0.0463890030175279,-0.0170819654174836,-0.0336595970117083,0.0655558510988704,0.01999671957152,0.0180880258511409,-0.157899454119132,0.0990153393870965,0.0206390221536025,-0.0803759767834743
"TWIST2",-0.0873116692295462,0.0630821301521917,0.046971843990528,0.046971843990528,-0.0745974085962243,-0.0157716957838014,0.0192241766500918,0.0293171752777048,0.0261636464406358,-0.0339822956564947,-0.0312149010444049,-0.131337051979424,-0.0401977690117685,-0.0632920822197386,-0.0951863019238296
"SNAI2",0.0416405464440914,-0.184021926022592,0.00901047286935334,0.00901047286935334,0.189568518228286,-0.127193359784085,-0.0582558453695729,0.0535326034125193,-0.230632021620672,-0.00896045061990529,-0.0105804682368014,-0.025937208411945,-0.0358948807324576,0.184019359880274,0.170298096373756
"ZEB1",-0.0810581018530723,0.00131551994017295,0.0188113678054576,0.0188113678054576,-0.115855480023037,0.110381595912578,0.105920100390117,-0.0491679202982114,0.0935700712274658,0.0282352302534514,-0.069916584597195,-0.00220407959627101,-0.000672771510173155,-0.00146908062863671,0.0171279275967284
"FOXC2",0.0800723784053577,-0.00145389377091408,-0.0203422251434443,-0.0203422251434443,0.114949630293736,-0.1084285581805,-0.107269680092439,0.0520515815407598,-0.0958133077449389,-0.0311217863560133,-0.0282352302534514,0.00221148360331963,0.00194524895804937,0.00131551994017295,-0.0180643781263073
"miR34a",0.0480619742257965,-0.0174297092242377,-0.0974261869038584,-0.0974261869038584,0.215856074765321,-0.149337969004361,-0.136549682171633,0.112130166395933,-0.0950805291948235,-0.0895754134057315,-0.0877711547135359,0.0100124687237203,-0.00498361740151909,0.0172980480485095,-0.0104661555128998
"ZEB2",-0.208253585545493,-0.198592820086475,-0.188119216248759,-0.188119216248759,-0.118975813631037,-0.117735941978425,-0.0361003040287227,-0.0107078650157959,0.0444642801348212,0.0530387923539649,0.0542496557846948,0.128719763350047,0.155331159919334,0.198361937658911,0.198422241424182
"miR200c",0.126487839076173,0.0222707976536229,-0.065992105038329,-0.065992105038329,0.00587721824018225,0.122006242303988,0.063528696294607,-0.124506998498022,-0.00140344755121362,0.0260077347683161,0.025414392055046,0.156012852304209,-0.100971442970072,-0.0222313791364758,0.132166693922884
"TGFbeta",-0.250940895051061,-0.0484765040611674,-0.0437967287258641,-0.0437967287258641,-0.176514637983355,-0.106540808302179,-0.0732544241204846,0.0607584213735753,0.0706372245166856,0.0867067420260969,0.0886599344367285,0.182382523439092,0.165702189742666,-0.0513912122710259,-0.0564086180914825
"TWIST1",-0.216892275981643,-0.0543033214887818,-0.0983666219354862,-0.0983666219354862,-0.13745618714834,-0.0304248644686346,-0.228698731574424,0.0150133031417734,0.091715161221459,-0.0075876092721021,-0.00523878912706071,0.230874846151783,0.137423243547001,0.0542993112225002,0.0115541061147466
"miR141",-0.247018777713855,-0.180618914808124,-0.100390192737696,-0.100390192737696,-0.163734741007475,-0.0871739862012044,-0.0322726011738704,-0.0415376216446693,0.08287286183673,0.0482735140042729,0.0457214923810501,0.254380021632386,0.161231469785504,0.18093545744582,0.088757702671385
