"","ZEB2","FOXC2","SNAI2","miR141","miR200a","GSC","TGFbeta","miR200c","miR200b","ZEB1","SNAI1","TWIST1","miR101","TWIST2","miR34a"
"miR101",-0.109863037683898,-0.104126122192638,0.0510617167204268,0.0884753239459983,0.0110199171000051,0.00779408218989072,-0.00841161592552999,-0.0110199171000051,-0.00332942364988507,-0.0882042491600451,0.018544448839558,0.0193357009797637,0.0331050202272085,-0.00821433276753167,-0.0198882988675718
"SNAI1",-0.0912028507918816,-0.0810545394932499,0.0628327750696029,0.0507431100909607,0.0263119836596164,-0.00521011965269296,0.00572676695665049,-0.0263119836596164,-0.00395624465261306,-0.0512170246935896,-0.0961544623994343,-0.000202114944151613,0.0196478001208901,0.00509393164777657,0.0287679421897632
"ZEB2",-0.0822391272626761,-0.0507761399462187,-0.0244876763743459,-0.014936411749706,-0.00619799480255156,-0.000188819156353291,0.0018176819969683,0.00619799480255156,0.00801210949980973,0.0144422122483847,0.0172974424664056,0.0191098024192067,0.0218688715059827,0.0400901683349218,0.0592523809970367
"FOXC2",-0.0176964429106173,-0.129967200870999,-0.0974102481823143,-0.000130922452813053,0.00869424754160914,-0.0110535257487701,0.0106107294903985,-0.00869424754160914,0.0207561823583292,-0.000369926534275936,0.0975560844545277,0.0938938817273507,0.0957105895989822,0.00748717974519759,0.0237954242404432
"miR200b",-0.0148659639992054,0.0671138545090643,0.019118093712701,0.0136554928143131,0.000122698617372624,-0.0859910329680641,0.0859205574374073,-0.000122698617372624,-0.0250674694870868,-0.0137258423403794,-0.0059561488908968,-0.00848176225377847,-0.0127600018576703,-0.0469832675080702,-0.0904296883386466
"TWIST1",-0.0120996008035801,0.029378928045312,-0.0564663902604941,-0.0932439805185156,0.0623148157812352,-0.066685574131919,0.0677910708702357,-0.0623148157812352,0.0625591951425124,0.0930985242759537,-0.0195622827956014,-0.115845379382543,0.00286410543664746,0.0750739313050876,0.0137332793147562
"miR141",-0.00865766768027799,-0.0489943346553516,-0.0112583706235704,0.0102902341430392,-0.000455176133394061,0.0805433153551657,-0.0799783166093912,0.000455176133394061,0.0534390785349928,-0.00982833396531412,0.00290330530130623,0.00167063977650093,0.00828274150490249,0.0318153511359963,0.0630624414381978
"TGFbeta",0.00418506659687915,0.0727659846582678,0.0319545500368066,0.0154258277859227,-0.0107002599485085,0.00131041697166004,-0.100537686765814,0.0107002599485085,-0.0831074328139466,-0.0158076808242743,-0.00293056437272478,-0.0035740305018438,-0.0163015087551474,-0.0774700646203161,-0.0595855588314451
"miR200a",0.00865766768027799,0.0489943346553516,0.0112583706235704,-0.0102902341430392,0.000455176133394061,-0.0805433153551657,0.0799783166093912,-0.000455176133394061,-0.0534390785349928,0.00982833396531412,-0.00290330530130623,-0.00167063977650093,-0.00828274150490249,-0.0318153511359963,-0.0630624414381978
"SNAI2",0.0106529844751152,-0.0148921163554115,-0.0946112108589016,-0.0469807843515778,0.0186415010357168,-0.0205479913981967,0.0211390595121676,-0.0186415010357168,0.0144484298503803,0.04665959417283,-0.0139996088803811,0.0574164823091267,-0.00926554493177725,0.00718898225982628,0.0243829545631278
"miR200c",0.0148659639992054,-0.0671138545090643,-0.019118093712701,-0.0136554928143131,-0.000122698617372624,0.0859910329680641,-0.0859205574374073,0.000122698617372624,0.0250674694870868,0.0137258423403794,0.0059561488908968,0.00848176225377847,0.0127600018576703,0.0469832675080702,0.0904296883386466
"ZEB1",0.0176920005063881,0.131171797153871,0.0965948301525755,-0.000369926534275936,-0.00849920068985053,0.0106107294903985,-0.0116229503618554,0.00849920068985053,-0.0208484434942483,-0.0992927182703037,-0.0969846357261775,-0.0956054535058321,-0.0971764551943938,-0.00873899540609816,-0.023967772428549
"GSC",0.0882213972810181,-0.0513185865862358,-0.0524418860427922,-0.126969566719523,0.0204170925340537,-0.0377371467980811,0.0384810657809501,-0.0204170925340537,0.0287158652814634,0.126348009238968,-0.106961646120601,-0.0241889180091113,-0.0788484855117854,0.0312141469876473,0.0142413955956329
"miR34a",0.110386356957511,0.134820004961354,0.0813833577811937,-0.0656830664672576,0.0348039015223616,-0.0118112809460177,0.0120691426957159,-0.0348039015223616,-0.0325574706489714,0.0657425164137055,-0.0918036823884049,-0.0641393507491005,-0.0832329094676287,0.0045324858859058,-0.0176203082331883
"TWIST2",0.130258125050009,0.0223090964729581,0.0628505397272425,0.0526510257097522,-0.0909254357002262,0.0820198998428469,-0.0820657384344138,0.0909254357002262,-0.0803283003949072,-0.0527482121405915,0.00233681325954765,-0.0865819452718262,-0.0372888881978221,-0.0929833246964354,-0.0287414841622018
