"","ZEB2","miR200a","miR101","SNAI2","SNAI1","miR34a","FOXC2","TWIST1","TWIST2","GSC","TGFbeta","miR141","ZEB1","miR200c","miR200b"
"TWIST1",-0.111344823750168,0.106402211646092,0.0490947871122826,0.0932767438757713,-0.0267635501065136,0.0330504098087285,0.0493718750870644,0.0127546905353407,0.0799272394681464,-0.00207355755278636,-0.00133834206781149,-0.102636882637494,-0.101854115442673,-0.106402211646092,-0.0419547805762756
"ZEB2",-0.0596825433649164,-0.0266891834901725,-0.0230914963490631,-0.0223584123504965,-0.0211831040290828,-0.0142182638423423,-0.0050579938108838,-0.00432298788602159,-0.00160360521904677,0.00430134490499315,0.00632854336239408,0.0147547724348674,0.0167758642524566,0.0266891834901725,0.0328140023291199
"FOXC2",-0.0543418841292198,0.044055203977224,-0.0810814456543507,-0.0874741687748706,-0.0695324836773396,0.0375164200028327,0.0817130885146187,-0.0183224747243178,-0.113784958971321,-0.00958531441927127,-0.0066628591140186,-0.029206306287188,-0.0262556756873439,-0.044055203977224,-0.054398894239228
"miR200a",-0.0464364626755274,0.0336598744579663,-0.118333557236872,-0.125268612395101,-0.10853858712149,0.116241874366574,0.00234518670788181,-0.0343647517259605,-0.121955629288694,0.0775937867249263,0.0793938990079751,-0.0170396194565912,-0.0152271935087239,-0.0336598744579663,-0.101651612112785
"miR34a",-0.0462186367493524,0.0974749713953406,-0.0531201183282179,-0.0832377455412901,-0.00837748387767718,0.0385592792685742,0.0351116926388658,-0.0964888980237346,-0.210681970420979,-0.0223453876374929,-0.0215875774601447,-0.0600818852601109,-0.0593632958280466,-0.0974749713953406,-0.0924691985538159
"SNAI1",-0.0159704575149147,-0.0407593395406395,0.0151515241667131,-0.0921221944080001,-0.0758519385197906,-0.116857812678117,-0.0963566741402347,-0.011019618259717,0.0114710434611819,-0.0163916911347399,-0.0161644932029151,0.114042352554536,0.114249477658099,0.0407593395406395,-0.00247105092377661
"miR200b",0.00212233773429017,0.000381669069001838,-0.125106328052262,-0.133065239951629,-0.115991421421033,0.106332140548673,6.21179767146277e-05,-0.036246409403778,-0.122511353282975,0.0881926999479685,0.0887051406708802,-0.0026547039164364,-0.00212985942591507,-0.000381669069001838,-0.0381705399019283
"TWIST2",0.0283561942286469,0.0495050321856552,-0.0510294826307268,-0.0811302488799833,-0.00706640966390472,0.0808240726061965,0.0439270637125149,0.0968304868837122,-0.122132302242296,-0.00556471284066287,-0.00546001976115837,-0.131377885505607,-0.131301367682231,-0.0495050321856552,-0.0605096260121638
"miR141",0.0464364626755274,-0.0336598744579663,0.118333557236872,0.125268612395101,0.10853858712149,-0.116241874366574,-0.00234518670788181,0.0343647517259605,0.121955629288694,-0.0775937867249263,-0.0793938990079751,0.0170396194565912,0.0152271935087239,0.0336598744579663,0.101651612112785
"miR200c",0.055320164479236,-0.0521928897531256,-0.0729750956996967,-0.0768397406360358,-0.0716985426624099,-0.0398038799795616,-0.0241067299458012,-0.0205321888082374,-0.00939772888141943,0.0989725501480087,0.0969622057735089,0.0416133816467407,0.0395806506040867,0.0521928897531256,0.0515374835814725
"ZEB1",0.0609039074962661,-0.0379832855149108,0.079103652866362,0.0887530762332778,0.0708611607617753,-0.034849126615482,-0.0812241550681778,0.0187197505472463,0.114384457188672,0.0066628591140186,0.00862587658154691,0.0262556756873439,-0.0717432515933125,0.0379832855149108,0.0491639973871779
"TGFbeta",0.0633866652432789,-0.0516198009186122,-0.0904410567650801,-0.102459563451842,-0.0781992750129235,0.0712939761832698,-0.0297507086477048,-0.0531573115339792,-0.122196575746195,0.00812047589757775,-0.0915859188885099,0.0314179172100828,0.0316560654895477,0.0516198009186122,-0.065381628063975
"miR101",0.0752530148318569,0.0229024005307383,-0.024457116405456,0.0771809491299469,-0.0254866003977622,0.0884248595609366,0.100029227310336,-0.00270739040264209,-0.0447602902661851,0.0163357626193117,0.01694449957809,-0.119732817893542,-0.119119404635768,-0.0229024005307383,-0.00364022878603785
"SNAI2",0.0869716255420747,0.0300849554345197,0.145024198671419,0.101058502498577,-0.112391163479911,0.134616545837364,0.116860431046737,0.174766492721067,0.144716581960586,0.212408257606629,0.212058406870574,-0.148770393010881,-0.149081535530232,-0.0300849554345197,0.178052479290167
"GSC",0.169501134706049,-0.141177820867194,-0.0849073375795615,0.00855379013324228,-0.0777043174489924,-0.0189056365254047,-0.0908371333671498,-0.0132779393273207,0.0126775858949446,0.0228112045214299,0.0224370366191048,0.11865762505154,0.118272406818532,0.141177820867194,0.134592937785852
