"","ZEB2","TWIST2","miR200b","miR200c","miR141","ZEB1","GSC","TGFbeta","SNAI1","miR200a","miR34a","FOXC2","miR101","TWIST1","SNAI2"
"ZEB2",-0.0807420378686104,-0.0199173656346336,-0.0141868212532589,-0.0137071930391633,-0.00673345269884421,-0.00673195964899128,-5.77738188209644e-05,0.000117290879002144,0.00607420833485364,0.00904084691379789,0.0112169020997202,0.01623621815031,0.016253543829891,0.0185337319196781,0.0262264973019636
"ZEB1",-0.0328953697790091,0.0098173412899965,0.0286164586130846,0.0163752924420459,0.00926957883283329,-0.0903755214965016,0.00300636185669736,0.0033953822674722,0.0889507271985167,-0.00605291615143307,-0.0195567512311201,0.0940670223176354,0.093645214985883,-0.0702243892485174,0.0982734441543871
"miR200c",-0.0295710675930539,-0.0356010279904768,0.0934265189664677,0.0169801341426431,0.00421981976497743,0.00401617640004852,-0.0830705324129465,-0.0832007329695838,0.0603848974775125,-0.0127745691137053,-0.0952909712203367,0.0829829893574106,0.10907587678845,0.0319448988345216,0.156727457569341
"TWIST2",-0.0174880507619506,0.212227487971607,-0.0786775577206499,0.00250269640397783,-0.00964117551244402,-0.00974144024652259,-0.0245411866674898,-0.0245643889175422,0.0476580468911424,-0.0131118997829765,-0.0272036751832885,-0.0724446607794043,-0.114030989677986,-0.23079534451973,-0.269292522501138
"TWIST1",0.0026874751329213,-0.119317412506565,0.023970730451034,-0.0201729395238637,-0.0657175478655416,-0.0656700995725134,0.0307495092532557,0.0310957289089075,-0.0329536326604422,-0.0383625600389348,0.00707859084401384,0.0933957502267141,0.0639719187385562,0.0196201883352357,0.127006618974129
"miR200a",0.00272330812424002,-0.0642378052315369,0.0309992174232997,-0.00394158189624166,-0.00421411326572662,-0.00404657031548966,-0.0814265094671626,-0.0807062256538391,0.00500796027511806,-0.000907388221380312,0.022934441388518,0.0486403303217825,0.0488011294705561,0.0854411502548276,0.0914477064235733
"miR141",0.00272330812424002,-0.0642378052315369,0.0309992174232997,-0.00394158189624166,-0.00421411326572662,-0.00404657031548966,-0.0814265094671626,-0.0807062256538391,0.00500796027511806,-0.000907388221380312,0.022934441388518,0.0486403303217825,0.0488011294705561,0.0854411502548276,0.0914477064235733
"SNAI2",0.00290297428841107,-0.393627195952907,0.255031463146972,-0.00130908910151686,0.000192064064077451,-1.05637337770392e-05,0.219087851220695,0.218914208923827,-0.116345176081387,0.00155770512615418,0.0450723251385427,-0.0177345365387656,0.260111037240345,0.244701125556617,0.328305970561675
"miR200b",0.00481953115765088,0.0436495803732621,-0.0459254007792045,-0.000161867257323797,0.00473453361863252,0.00487430701910645,0.0865556426820061,0.0868889083269766,-0.0614950285884441,0.00495837578501744,0.0879311411077977,-0.0894839869482068,-0.114101490256098,-0.0392765327688966,-0.165598774256365
"TGFbeta",0.00542547497503463,0.131710735761637,-0.113538769873754,0.00474996564779823,0.0125001406297206,0.012627215798605,-0.010278016856383,-0.110073138492829,0.00127239408320925,0.00932203464323485,0.0414623649373617,-0.0734552943592647,-0.0848443209042525,-0.108311993785287,-0.170320146734089
"miR34a",0.00583426136977583,-0.0560327449552289,-0.0827495330832514,-0.0904394886177748,-0.0803323232335527,-0.0802813661365974,0.0185176747715704,0.0185656067203379,-0.0866954408402258,-0.085089609763792,0.0843192872285566,-0.0455327679222697,-0.0727576452573023,0.0759228072871395,-0.0650280021886301
"miR101",0.00698782449663526,-0.0651086589021557,0.0263067121429437,-8.93486855192282e-05,0.00572358810252941,0.00571642763648536,0.00344323393111978,0.00316349642694131,-0.001342302033838,0.00631441205945884,0.0313212769244186,-0.00388725571588111,0.0169719618821524,0.0236257481239776,0.133685202156892
"FOXC2",0.0330064298847383,-0.0099573122394221,-0.0288535697323967,-0.0166976695827864,-0.00969781005633581,-0.00926957883283329,-0.0039915835315742,-0.00300636185669736,-0.0891659023369695,0.00591111651143052,0.0196052474745264,-0.0937940216235658,-0.0931960936757286,0.0698569837882151,-0.0983106310969198
"SNAI1",0.0798075019612811,0.112875197720359,-0.0348368787463064,0.00322429708307727,0.0905111511532721,0.0904205725632067,-0.0460955633464966,-0.0463632048892222,-0.0620164063392418,0.0859120736168457,-0.103947250288487,0.0321265028537983,0.00684135352023138,-0.0570727743125546,-0.11928131070623
"GSC",0.098370357763885,0.0982350477285649,-0.0058384482058133,0.0196914123720279,0.134056185312216,0.133781520781283,-0.059200133055044,-0.0596563276475922,0.0574544438722516,0.118932310590464,-0.102768348874723,-0.140568342369127,0.0300764838195739,-0.165075700408329,-0.0937858353485891
