"","ZEB2","miR34a","SNAI1","miR101","miR200b","TWIST2","miR200c","GSC","TGFbeta","FOXC2","miR200a","miR141","ZEB1","TWIST1","SNAI2"
"SNAI1",-0.0937391534822579,0.105389843917732,-0.0863031851736181,0.00188138162314609,0.0229875308976316,0.0080635655545128,0.00460238478253354,0.00202694764900651,0.00194169886132357,-0.103659686674972,-0.00460238478253354,-0.0890208026259431,-0.0879551903394056,-0.0107070361004725,-0.117416303193003
"TWIST2",-0.0935951018662538,-0.0629431681209027,0.0214879122338972,-0.105011646686111,0.0586046330007999,-0.129673034651573,0.104457970646913,-0.0358789312948317,-0.0359043971790355,-0.0524952007458626,-0.104457970646913,0.119341613801067,0.119997732148634,-0.0404530394229888,0.191161215436618
"ZEB2",-0.0819362343515513,-0.0297682428942965,-0.0184984619851703,-0.0144128752276707,-0.013548015425639,-0.0102097504945428,-0.00661297115196812,0.000833812230492456,0.000851572417228133,0.00425303309958588,0.00661297115196812,0.0109228001374625,0.0126174117205433,0.0239943761422663,0.0500002050666276
"SNAI2",-0.0473973824972827,0.0829399808995517,0.0971581774023272,-0.189350697234677,0.217043335402659,-0.168149077623725,-0.0129727634653635,-0.196413683436113,-0.196489812324887,-0.034688250004207,0.0129727634653635,-0.0726194530994856,-0.0724831398536562,0.0450296345317641,-0.011028600165587
"miR141",-0.0389850766389052,-0.0014053395742549,0.128822769737927,0.00167025240678521,-0.0248582666990055,0.0800394201791348,0.0227497243145433,-0.093065580971793,-0.0929807714349008,-0.064121676751338,-0.0227497243145433,0.00786418467613946,0.00786325902448069,-0.156263927778875,-0.132430915715855
"miR200b",-0.0230108664825157,0.128789801564998,0.0671960151289326,0.0729818836907363,0.0149367386149138,0.0543194424248998,-0.00658055800940615,-0.0879656270101111,-0.0880384915418072,-0.0181291499671435,0.00658055800940615,-0.0356505719891002,-0.0330161673682471,-0.0862594839263899,-0.20912618313556
"FOXC2",-0.0215490993459521,-0.0263637143957386,0.0891647659746991,-0.104004559175941,-0.00309585588699669,0.00473230419862862,0.0270561865973639,-0.00576777785838861,-0.00558512440181032,-0.106741480187416,-0.0270561865973639,0.0281548683145801,0.025114533418541,-0.0875338968586777,0.1117640058138
"ZEB1",-0.0214285621112007,-0.0253273869789469,0.0914000006096657,-0.10152668936187,-0.00200994231722882,0.00625877983576054,0.025489445268846,-0.00558512440181032,-0.0056798201596963,-0.105549222918966,-0.025489445268846,0.025114533418541,-0.0729996861280096,-0.0847499790619156,0.112676433258841
"miR200c",-0.0150619579421352,-0.0155880911863845,0.122249260526565,-0.00419876048403115,-0.0724030678620758,0.076240415126842,0.0173776055495704,-0.0873160750848458,-0.0872766565676988,-0.0627028082613931,-0.0173776055495704,0.0205293586823049,0.0193445245590821,-0.147345178601425,-0.11646590611773
"miR200a",-0.0150619579421352,-0.0155880911863845,0.122249260526565,-0.00419876048403115,-0.0724030678620758,0.076240415126842,0.0173776055495704,-0.0873160750848458,-0.0872766565676988,-0.0627028082613931,-0.0173776055495704,0.0205293586823049,0.0193445245590821,-0.147345178601425,-0.11646590611773
"TGFbeta",0.097536871922713,-0.132719324007737,-0.0849629640035444,-0.0502668046254524,0.0749946946227931,-0.117789061915496,-0.0122345667497629,0.000462896888979445,-0.0996000185140018,0.0517676925397563,0.0122345667497629,0.0765191031615956,0.0778315857083702,0.126117326171391,0.189694199681349
"miR34a",0.11135747517353,0.00334186249144237,-0.0670109810092738,0.120297017180423,-0.053593961665076,0.0323710021324365,-0.13064689419137,0.0369939245061922,0.0368646902645788,0.134225269530903,0.13064689419137,-0.0761397995316712,-0.0745690942005208,0.037965684125409,-0.146893917032076
"miR101",0.113369093420902,-0.0311152714186929,-0.0398314049055444,0.0255167015625403,-0.0188245113048164,-0.015310555821069,-0.0624987352011993,0.00931223655045053,0.00916972876530301,0.128521466222256,0.0624987352011993,-0.0116596165235323,-0.0102380935265022,0.0392347916292964,0.0920356826531814
"TWIST1",0.119354665192118,-0.0623109244688284,-0.0529183486086207,0.0831037199496865,-0.0770856937067833,0.113070382404359,-0.0483676187483024,0.0254789400675858,0.0253466012802903,0.227573459931462,0.0483676187483024,0.000921662563505186,0.00231010851523238,0.0383120180250551,-0.0783918621616703
"GSC",0.144234949859966,-0.0940116711586868,-0.108081724344091,0.087065925294025,-0.102836609997109,0.0294560586995629,-0.0284692609863873,0.0173568925518295,0.0173941200497,0.0340612514040174,0.0284692609863873,0.0830732627086647,0.081927926355168,0.191507114916033,0.029847767269355
