"","ZEB2","SNAI1","SNAI2","ZEB1","GSC","miR101","TWIST2","TGFbeta","miR141","TWIST1","miR200c","miR200a","miR200b","miR34a","FOXC2"
"ZEB2",-0.0894933336466811,-0.0382441889859294,-0.0364611864602612,-0.00520695946983882,-0.00479723987777131,0.000762443906406379,0.00412994942587681,0.00480485138637232,0.00522238765165247,0.00693753210237893,0.00863125459793039,0.00863125459793039,0.0138840311479103,0.0279568773802419,0.0314762010372142
"miR34a",-0.0740309280199073,-0.1207511278799,-0.0912973908390738,0.0712073387402281,-0.0105181998576544,0.0167794991293512,-0.0121873502576364,0.0105442893993886,-0.0712167752396643,0.0402107850462763,-0.111322352565696,-0.111322352565696,0.0661947023777721,0.0235813900406879,0.105512003699236
"TGFbeta",-0.073579655442091,-0.149306412519006,-0.137288059784271,0.00135790912903054,-0.193391679457116,0.00484459524617951,0.0837938500613928,0.0934061983962654,-0.00133688681714101,0.0607349342165465,-0.0392756918528503,-0.0392756918528503,0.0845412527168063,0.11506589350108,0.11991826740034
"SNAI2",-0.0432664363808861,0.174269454951306,0.0457159590479626,-0.0477900543467933,0.0177143100401283,-0.0107730588791004,-0.111926579530614,-0.0177613559826296,0.0477180461211095,-0.194688785487268,0.00313885967799552,0.00313885967799552,-0.0705728531058912,-0.0365628072091303,-0.0636771215177411
"miR141",-0.0319188086575406,-0.143668116103633,-0.136453490827442,0.00215465917066846,-0.107577921365053,0.00325546199311383,0.0189506456759615,0.107552836854142,-0.00209449181284856,0.0311351123565779,-0.0166718658232578,-0.0166718658232578,-0.00957264899923132,0.106776304626227,0.118010071636058
"FOXC2",-0.0315678934413917,-0.0921192875328816,-0.0858107960583797,-0.00454135150268339,0.00222209191135927,0.00416658001111535,-0.0131910564656495,-0.00235493078887075,0.0046214446242861,0.00696840054561693,-0.00927100092798087,-0.00927100092798087,-0.00965239139650208,0.0136504375535484,0.0937115126063084
"miR101",-0.0252080648397492,0.259660990718018,0.146488932417345,-0.106868012338039,0.0133948515255499,-0.104684084715637,-0.0423649642179925,-0.0134652257404376,0.106850622634789,-0.247788404312402,0.0425460874680471,0.0425460874680471,-0.101036430341172,-0.0461269714458058,-0.115536538071699
"miR200b",-0.0125208109435104,-0.156911148936745,-0.148299458235669,-0.00603962922592812,-0.114841810872781,0.00358093927844222,0.020331519502478,0.114847783375379,0.00608406050554897,0.0339792880271631,-0.00296239742644835,-0.00296239742644835,0.0318514971651983,0.119568796912723,0.130702729702231
"miR200c",-0.00548021776078559,-0.0824293948735767,-0.0815055566204273,0.00556449207711408,-0.109728690622853,3.62988551478115e-05,0.0514785383316767,0.109818278161823,-0.00557374859370176,0.0251469259713205,-0.00578084129093792,-0.00578084129093792,0.0322401846620008,-0.00693679830904815,0.0834366802314724
"miR200a",0.00548021776078559,0.0824293948735767,0.0815055566204273,-0.00556449207711408,0.109728690622853,-3.62988551478115e-05,-0.0514785383316767,-0.109818278161823,0.00557374859370176,-0.0251469259713205,0.00578084129093792,0.00578084129093792,-0.0322401846620008,0.00693679830904815,-0.0834366802314724
"ZEB1",0.0315575278315236,0.0921157600715955,0.0858102571171836,-0.0954370938563017,-0.00235493078887075,-0.00417250509436277,0.0131989793495793,0.00230758290992776,-0.00454135150268339,-0.00697437461814217,0.00936186845239067,0.00936186845239067,0.00964408789426936,-0.0136168632311901,-0.093793258576849
"TWIST1",0.0342742836110811,-0.284295903710194,-0.169597349931185,0.140579834639148,-0.0231074218466439,0.0387896850667174,0.133847621309626,0.023160892063733,-0.140544313239449,0.255506476897208,-0.0488897162372605,-0.0488897162372605,0.114193223505383,0.0194053148943723,0.0274205011010197
"GSC",0.0884823664326891,-0.278602195614152,-0.147069529380318,0.154731668359023,-0.0233045524078885,0.112065089595539,0.0684257586796681,0.0233733286327678,-0.154685972828832,0.368439408599038,-0.0359032020882065,-0.0359032020882065,0.151897424642935,0.0181218123800503,-0.0506335310408789
"SNAI1",0.0924105156169345,0.209374648351128,0.180977947578751,-0.116011530537703,0.0079141412592935,-0.111387353890164,-0.0399410069131374,-0.00798432281938596,0.11598989060151,-0.282916413555171,0.105575549164339,0.105575549164339,-0.0637127022049734,-0.126179741022247,-0.135846344577313
"TWIST2",0.0928567571406205,-0.304196807792598,-0.204307815428013,0.149137355711655,-0.0326552180144111,0.0318011752661711,0.147606898759184,0.0327508565573097,-0.149093379951095,0.373687245168456,-0.0302574822030308,-0.0302574822030308,0.141687462459628,0.0392384143652681,0.0629730919195632
