"","SNAI1","ZEB2","SNAI2","miR101","TWIST2","GSC","TGFbeta","miR200c","miR200b","ZEB1","miR141","miR200a","FOXC2","miR34a","TWIST1"
"ZEB2",-0.0988604071560992,-0.0793533524942676,-0.0487290169513494,-0.0250961224359702,-0.0176183778896261,-0.0125085767297569,-0.0114049079826112,-0.00661513355448069,0.0048729155385652,0.0103882233046638,0.0112646435683364,0.0123017057401872,0.0403746625769432,0.0726648215112307,0.0869138244035836
"GSC",0.163322166387526,-0.0643353537606914,-0.0661067895534785,0.16092861111922,0.079939588057474,0.0249838422757221,0.0256003044014754,0.00125469924692599,0.0160867020579996,-0.0717245765363567,-0.0710877872124049,-0.0683496163710789,-0.0936758066795165,-0.097609211945708,-0.277410430209298
"TGFbeta",0.150482884136524,-0.0618513296110242,0.00669226458854929,0.0719427826115194,0.0170755994451503,0.212743241070294,0.113173969598396,-0.00628192360965423,-0.0634306357180251,-0.0826115234362874,-0.0821424434918867,-0.073189757344951,-0.0961419761294175,-0.159999736012673,-0.139689599048385
"SNAI1",-0.0344787661358235,-0.0359364158220794,-0.0672961101017072,0.119097131831274,0.087000803266611,0.0116407039441859,0.010828263172268,-0.0154690351408284,0.0335721231278695,-0.0860226971541374,-0.0867219762351202,-0.0672415561223792,-0.166857032573999,-0.124737946813523,-0.0709998860246149
"TWIST2",-0.0301348300463807,-0.0204481551911009,0.0657203547157847,-0.0538265387386441,-0.0832042918810317,0.0162961337730693,0.0156221367044755,6.33186657474707e-05,-0.0226450391022837,-0.0162879568322415,-0.0166687869186979,-0.0185718324130367,-0.0127404110509858,0.0148014129607873,-0.0245217086587637
"miR200c",0.13188666677305,-0.0142342945403219,0.0543517320921946,0.0385064194451187,0.0278541196267727,0.112462655822244,0.110550260490352,0.00642843393507716,-0.00167152763386889,0.00088036408099435,-4.99158360672613e-05,-0.00738883665895255,-0.0659435762147779,-0.102557329047467,-0.120415524717468
"TWIST1",-0.0276573221061008,-0.0107933833530121,0.0953532085128248,-0.0792839381373686,-0.112821063341642,0.0242526039072649,0.02367646231813,0.0179309581584056,-0.0460799784159558,-0.0119860291158104,-0.0122517914128263,-0.0117024412522766,0.233878430028155,0.0472970841941116,0.11602884081523
"miR141",-0.112289862950608,-0.00645008855265156,-0.0179178900545531,-0.0466002110781425,-0.0035866163490265,-0.112273106275928,-0.113769815426996,0.0110149472164057,0.0456695352188646,0.0186253664384223,0.0182763957630668,0.00638172547715558,0.0466815117541231,0.0321060656777841,0.0917823632120474
"miR101",0.061568312958581,-0.000497736951072249,-0.061839059334155,0.114289411996843,0.0618248099371745,-0.00846326978299222,-0.00880810343594178,-0.0456034401347831,0.0707940692918122,-0.0914825931132582,-0.0912326587508636,-0.0442110597886706,-0.162868622801356,-0.069479953223504,-0.0667115184412492
"SNAI2",0.00056583822873128,0.00633242004519585,-0.0784410556363685,-0.0118027397392158,-0.014553161198102,0.00053442209432127,0.000485665390274464,0.000638195279379932,-0.00862249482303631,0.00670439861217637,0.00664377773380999,0.00652095084254519,0.0284012345419248,0.00452650534842141,0.0653169430971949
"miR200b",-0.13188666677305,0.0142342945403219,-0.0543517320921946,-0.0385064194451187,-0.0278541196267727,-0.112462655822244,-0.110550260490352,-0.00642843393507716,0.00167152763386889,-0.00088036408099435,4.99158360672613e-05,0.00738883665895255,0.0659435762147779,0.102557329047467,0.120415524717468
"miR200a",-0.13188666677305,0.0142342945403219,-0.0543517320921946,-0.0385064194451187,-0.0278541196267727,-0.112462655822244,-0.110550260490352,-0.00642843393507716,0.00167152763386889,-0.00088036408099435,4.99158360672613e-05,0.00738883665895255,0.0659435762147779,0.102557329047467,0.120415524717468
"ZEB1",-0.0781110030588934,0.0234069398922904,-0.0788359320440372,-0.00120680385233509,-0.0128374559439727,-0.00717742292273936,-0.00738089083495383,-0.00164824244007061,0.0111132300948455,-0.0858020261098693,0.0141418315693475,0.0156101219720023,0.0964398501916027,0.00689082880907139,0.0793543990807809
"FOXC2",-0.0780957173933202,0.0243750878539673,-0.0793075055906476,-0.00112977777011864,-0.0125680778903612,-0.00889325842392937,-0.00717742292273936,-0.000484327843968079,0.010299486876039,0.0141418315693475,0.0145316180944807,0.0148687124257033,0.0959540014987671,0.00729894334973735,0.0799667415146181
"miR34a",-0.0421298581902039,0.0593232687632106,-0.0697105111061711,0.00110150906672236,-0.0267081324151854,-0.0296992137779894,-0.0310067245323412,-0.0707016209217769,0.0687428535613368,-0.013759943667681,-0.0146101722668798,-0.025828600504667,0.117165735926789,0.0244685897932052,0.0394500570140535
