"","miR200c","miR200b","TGFbeta","GSC","TWIST1","miR141","FOXC2","TWIST2","miR101","SNAI2","miR34a","ZEB1","SNAI1","ZEB2","miR200a"
"miR200b",0.230590867415384,0.135580689480185,-0.00930573755088599,-0.00944549411168009,-0.00231738708747629,0.07972101911844,0.0233926632597969,-0.125881389223794,-0.0276559605094489,0.109544375820776,-0.143573498053464,-0.0790684346990087,0.0514600339274331,-0.389174465537599,-0.230590867415384
"SNAI1",0.178842083433965,0.0807644524197612,0.0788144606782666,0.0789528412685054,-0.0899950542505557,0.130055414058931,-0.0722304781115248,-0.162441718731108,0.0435979411819843,0.143169691208049,-0.199747691022314,-0.129768221191454,0.0269126785146662,-0.244148624725369,-0.178842083433965
"miR200c",0.111677040328991,0.0250172754750793,0.156865393511989,0.158708507813744,0.190093096122337,0.00351727089889872,0.0183770456177604,0.0820339362833055,-0.0532412512873638,-0.148613007207369,0.0351885088207071,-0.00271658221406459,-0.257858441314023,-0.219423099221423,-0.111677040328991
"miR141",0.111677040328991,0.0250172754750793,0.156865393511989,0.158708507813744,0.190093096122337,0.00351727089889872,0.0183770456177604,0.0820339362833055,-0.0532412512873638,-0.148613007207369,0.0351885088207071,-0.00271658221406459,-0.257858441314023,-0.219423099221423,-0.111677040328991
"SNAI2",0.080355009411243,0.055345101787414,0.0273694932695952,0.0260274008371489,0.0901454824823749,0.023813671035497,-0.0172973164429573,-0.0879382693073197,-0.0389824351643779,-0.0326009949645081,-0.012783015727769,-0.0243954305146263,-0.0156387285963489,-0.13965506891852,-0.080355009411243
"miR34a",0.110912131065035,-0.0652493440762867,0.0925589009424805,0.0927597297404807,-0.143077189755375,0.0920897059893538,-0.083048622821508,0.107735547536646,0.0904225850424404,-0.0353617643352152,-0.128884422491009,-0.0918754974521528,0.172374422061659,-0.0369290521518097,-0.110912131065035
"FOXC2",0.0147721428518685,-0.00682572763677447,0.0121544719365772,0.0142632891170721,0.158265573373165,0.00263189667079832,0.093325188023055,-0.0394294984352627,-0.0980539490547243,0.0133747732986953,0.0368377809519666,-0.00165048895409303,-0.192210440276908,-0.0307337726023053,-0.0147721428518685
"ZEB1",-0.0134785828706208,0.00714402855569539,-0.012336185417926,-0.0121544719365772,-0.158056480834781,-0.00165048895409303,-0.0933390694142788,0.03951400919718,0.0973109436154979,-0.0146051760494512,-0.037274247142624,-0.0979760643585545,0.191610771858269,0.0307228146718734,0.0134785828706208
"TWIST2",-0.0317629257203179,-0.0127000070323171,-0.0108543038988335,-0.0121225049321825,-0.278479696962086,-0.00249683898612823,-0.0214091066862681,-0.00867348809499922,0.0765412410854228,0.0239272200831083,-0.10228857183777,0.00185875070039133,0.218389677722031,0.0597156758417245,0.0317629257203179
"miR200a",-0.111677040328991,-0.0250172754750793,-0.156865393511989,-0.158708507813744,-0.190093096122337,-0.00351727089889872,-0.0183770456177604,-0.0820339362833055,0.0532412512873638,0.148613007207369,-0.0351885088207071,0.00271658221406459,0.257858441314023,0.219423099221423,0.111677040328991
"TGFbeta",-0.212557960779191,-0.158234575619513,-0.00863162484588107,0.0917845847430716,0.0625273079860602,-0.153953318092073,-0.00791122089523168,0.223007026606823,0.00224536149888087,-0.165106249181945,0.225846599950538,0.153686930886189,-0.157572407124656,0.285805523309146,0.212557960779191
"miR101",-0.179198182016367,-0.156065073001327,-0.0527513993025414,-0.0515831873354062,0.1617338015483,-0.0394004322999544,0.0911236152690222,0.100625909206988,-0.0768657552362379,-0.133606200002579,0.123299496898974,0.0395821717476438,-0.187282034744747,0.327604007820817,0.179198182016367
"TWIST1",-0.247706683979016,-0.0862290811233456,-0.119451933007184,-0.119820877505099,-0.00194649488264583,-0.172769064920105,-0.0193998728697223,0.189899265232406,0.0259266100097263,-0.127598373059848,0.14978492656506,0.172274098846931,-0.103331521281316,0.345932198475472,0.247706683979016
"GSC",-0.27210540900504,-0.0726419984026753,-0.152364197367513,-0.152074580053572,0.169745535187041,-0.198035783272652,-0.100389553818917,0.140650659940169,-0.045179882316481,-0.113804415081198,0.173336365168186,0.197828925012325,-0.101988459600792,0.366782395314525,0.27210540900504
"ZEB2",-0.425555411240287,-0.268776353270329,-0.189110080478439,-0.188447879230151,-0.137266700334989,-0.136607725748102,-0.0178761976087102,-0.00134068846938729,0.0401181707534943,0.0795219832213425,0.0798914105977008,0.136693824956288,0.164378299624746,0.410083007509027,0.425555411240287
