"","miR200c","miR200b","TGFbeta","miR141","TWIST1","SNAI1","FOXC2","miR101","TWIST2","miR34a","ZEB1","SNAI2","GSC","ZEB2","miR200a"
"miR200b",0.130767142634032,0.0883372778230536,0.12919270410721,0.0342398408113193,0.0859677326190143,0.0703555392209544,0.0541818555966855,-0.035450120136144,-0.0494814543584428,-0.0353277013721382,-0.0340380487497079,-0.140978479947266,-0.129518802749062,-0.227705622611759,-0.130767142634032
"miR141",0.130767142634032,0.0883372778230536,0.12919270410721,0.0342398408113193,0.0859677326190143,0.0703555392209544,0.0541818555966855,-0.035450120136144,-0.0494814543584428,-0.0353277013721382,-0.0340380487497079,-0.140978479947266,-0.129518802749062,-0.227705622611759,-0.130767142634032
"miR200a",0.0785830305087461,0.0830334612574135,-0.0712977115544254,-0.0129691634044458,-0.071589345010571,-0.0603451976033469,-0.0429789271885739,0.0317262212791986,0.0452628833274077,0.0224223667009171,0.0128330926106069,0.12432157523468,0.0715640851702979,-0.168279024991399,-0.0785830305087461
"TGFbeta",0.0517798964970184,-0.0587922896822694,-0.086004600449192,-0.00793406684524299,0.000818249089576438,0.0036877465644967,0.0286959003667142,-0.0364829225091984,-0.101811904649633,0.0538816776877279,0.00811636480356861,-0.0746501898765133,-0.0141196171413094,-0.114577945263283,-0.0517798964970184
"TWIST1",0.0577540396795819,0.0263622290758577,0.0110071143944895,0.0263225592262228,-0.0575076234776591,0.0248491438042748,-0.0845477223088617,-0.00973704576089669,-0.0583355848812479,-0.0139307868383149,-0.026022571930957,-0.0449119427530377,-0.0114134880443665,-0.106490409690997,-0.0577540396795819
"SNAI1",0.0809943332168094,0.0331005600115629,0.0206890319158246,0.0722754388119697,-0.0141572143533859,-0.105182651696853,0.0226257152885791,0.017908718771096,-0.0402713434590204,0.0089850060605156,-0.0721576557306901,-0.054975726425866,-0.0207623855238308,-0.0950507484687558,-0.0809943332168094
"FOXC2",0.0293282753186957,0.0141586036507575,0.0100127395866302,0.040947253001082,0.0982745655909047,0.100249875934432,0.0958265629039945,-0.0136745452042938,-5.97817769212789e-05,-0.0263276115428397,-0.040269131238179,-0.124894095189533,-0.0108319126646177,-0.00903323834815687,-0.0293282753186957
"ZEB1",-0.0288843556293816,-0.0137904817184402,-0.0104439891867326,-0.040269131238179,-0.0987495043566613,-0.100068799588412,-0.0965992936821236,0.0134102864914589,-0.000378617800524912,0.0256643321522509,-0.0593579233451899,0.124951761897518,0.0100127395866302,0.00912060563133052,0.0288843556293816
"miR34a",-0.13059829511386,-0.00832221190257774,-0.0286300275191808,-0.141237180257378,-0.0570422564304212,-0.0868949069528654,-0.0522861875813063,0.0262838734415389,0.0092658870923562,0.0300962569096579,0.141077703416906,0.133384599309666,0.0287895984372294,0.0140372615037043,0.13059829511386
"SNAI2",0.00261275999339934,-0.000839631160317711,0.00263069807602656,0.0231665680012178,0.0759802537242898,0.00043265909817862,-0.0184940531764098,-0.00433001710916835,0.0014383042876605,-0.0138219518036897,-0.0231133154064097,-0.108171158311172,-0.00266234716461834,0.0176713166676069,-0.00261275999339934
"TWIST2",0.0318034806462603,-0.0191955709429439,0.00818649720710462,0.125471084224879,0.111476301469883,0.0174050978371221,-0.0644065486673713,-0.0393871420491677,-0.0878735060692332,-0.048490305607531,-0.125469325194457,-0.109803690108349,-0.00809312229835737,0.0602401636340702,-0.0318034806462603
"ZEB2",-0.213285822171785,-0.205021128538744,-0.0727959810541876,-0.039695350484483,-0.0360631366314555,-0.0308767048300244,-0.0283472733685519,0.00993459150451622,0.012192667698724,0.028073699369317,0.0397535794287474,0.0507204259781718,0.0726868827642399,0.0930284951577154,0.213285822171785
"GSC",-0.0364745589363614,-0.0281152339360183,-0.000988989647641993,0.0614085888939476,-0.0194521284492294,0.0713133736465195,-0.0510678076789351,0.0848981848315183,-0.00992178581203945,0.0172330326996645,-0.0611029693264337,-0.0032858486353109,0.000590844712790115,0.134364402948701,0.0364745589363614
"miR101",-0.159518017876131,-0.127862256690276,-0.0544578784651914,-0.117896974690688,-0.00621045465499525,-0.00872407417906732,-0.0239736364760854,-0.00400640865303426,0.0137276651195928,0.0431073534663982,0.117693412870293,0.0977053964794036,0.0546338140024105,0.199065837880845,0.159518017876131
"miR200c",-0.130767142634032,-0.0883372778230536,-0.12919270410721,-0.0342398408113193,-0.0859677326190143,-0.0703555392209544,-0.0541818555966855,0.035450120136144,0.0494814543584428,0.0353277013721382,0.0340380487497079,0.140978479947266,0.129518802749062,0.227705622611759,0.130767142634032
