"","SNAI2","ZEB2","TWIST2","miR200a","GSC","TGFbeta","TWIST1","FOXC2","miR200c","miR101","miR200b","miR141","ZEB1","miR34a","SNAI1"
"GSC",-0.108831824017456,-0.0889315919142749,-0.0679549229777975,0.099409175219382,-0.0169253221324198,-0.0168578078566208,0.0412711448652941,0.0443651220888915,-0.00872569578393091,-0.0194046852974107,0.017607688457087,-0.106685466448935,-0.106671217305112,-0.0271909140852482,0.0518157393888755
"ZEB2",-0.10727567929346,-0.0869356904052714,-0.027495094864898,-0.0204210436791453,-0.00871572748062382,-0.00863961239461377,-0.00351493424696284,0.00541880270773257,0.00655830930417852,0.0218511266856744,0.027292829961192,0.0317396090658862,0.0317401067491705,0.0564137803538379,0.0632689483043875
"TGFbeta",-0.215907019426671,-0.0807805385541019,-0.142684797508386,0.0346925216892865,-0.0489652226268635,-0.148755504616926,-0.0457150014412894,0.0130331698163351,0.0484942656490259,0.0637027581675835,0.170322507134722,0.0123225705829838,0.0122858599786394,0.104312257610916,0.0874203474982206
"miR101",0.0113513805578693,-0.0612444819530556,-0.0981985270876118,0.125532523876751,0.0311359039994139,0.0313611014870544,-0.0302456408986094,0.0263778712781241,-0.0708532143218714,0.0426131310729487,-0.0610138444282427,-0.196531251075112,-0.196629792726861,-0.128038715737427,0.00692808447542799
"SNAI1",-0.0302825758585812,-0.0408506880675139,0.047964230749361,-0.0231030100031216,-0.0498143762298539,-0.0498853508019248,0.00683208540854404,-0.033705000503996,0.0749942355676267,-0.0399772375170073,0.0633885229682298,0.0981797141064069,0.0981766226869507,0.106038220963895,-0.0939860424665695
"miR200a",0.118291049587717,-0.036562356502872,-0.0252016672319264,0.117223791950658,-0.0526787815229058,-0.0525557479693862,-0.0304145438386836,-0.0194987941572294,-0.0829829137311021,-0.0304090767187578,-0.0876363371199671,-0.200488173587885,-0.200509463576037,-0.191643309108519,-0.0563249236985626
"miR200c",0.0849316248636375,-0.0303658415775133,-0.0352084328896546,0.105263645219067,-0.0475196160406598,-0.0473703034757088,-0.0317712171729704,-0.0171919827378033,-0.0767011981926014,-0.0227168643576596,-0.107141731962036,-0.183058933138473,-0.183103364418093,-0.169822174606431,-0.0371920544143924
"miR141",0.0849316248636375,-0.0303658415775133,-0.0352084328896546,0.105263645219067,-0.0475196160406598,-0.0473703034757088,-0.0317712171729704,-0.0171919827378033,-0.0767011981926014,-0.0227168643576596,-0.107141731962036,-0.183058933138473,-0.183103364418093,-0.169822174606431,-0.0371920544143924
"SNAI2",0.187549637190776,0.0271128265765699,0.275715776863868,0.0253912629008772,0.239928946957005,0.239803205983411,0.155465828382271,-0.0449765576664609,-0.0537833326289554,-0.253538146113844,-0.263006819757448,-0.0782714369210512,-0.0782228732339621,-0.0420815602854336,0.0209713724203001
"TWIST1",-0.219309536761282,0.0408720149582659,-0.231627823232734,0.0746744207785804,0.0452520773677314,0.0456464202187634,-0.0437945305489183,-0.069954851070721,-0.122142789104094,0.11837136192283,-0.0232033992574769,-0.178807093832827,-0.178943734545536,-0.127553367233461,0.0216695370750855
"miR34a",0.153362172811119,0.0505541256072813,0.168544512900116,0.156025621474631,0.118141995399797,0.118180219612106,0.121752705207809,0.0411887904377741,-0.192050175916728,-0.0467695101802283,-0.183897541730141,-0.224966127968157,-0.224983113667142,-0.169237834001583,-0.0750616906594582
"miR200b",0.230096457702521,0.0618589080332173,0.172259461294751,-0.124351941567628,-0.102505046938692,-0.102718862531702,0.0794143860831506,0.0101448636855786,0.0654819424131694,-0.0481685113233151,-0.0151177263852467,0.190919935771601,0.191017129195771,0.087944138072344,-0.134953699301015
"TWIST2",0.0632189385155452,0.0848921543582081,0.0187367993124769,0.0606475032037173,0.0971388207936318,0.0972944456415439,0.200170398537322,-0.043436268696133,-0.150189873684787,0.00030812291272889,-0.127977300256451,-0.209712452261919,-0.209755988264875,-0.156175289372302,-0.0646054290656886
"FOXC2",0.192673057516317,0.116920678737069,0.230402016635333,-0.229735837217665,-0.0419372777063857,-0.0423579341518387,0.135339746373483,0.0856416155564615,0.135107919659112,-0.0304117372369954,0.113696175368729,0.168548272518023,0.168711662486092,0.151344417547338,-0.140196803056762
"ZEB1",0.192754437636932,0.116983760877124,0.230391452790093,-0.229804711328524,-0.0423579341518387,-0.0426663352011701,0.135052990892271,0.0856740054693172,0.135216150404746,-0.0303015306885934,0.113802275675036,0.168711662486092,0.0688033950280861,0.151421265440736,-0.140310857638346
