"","miR200b","miR200a","miR141","TGFbeta","GSC","TWIST2","miR101","FOXC2","SNAI1","TWIST1","SNAI2","miR34a","ZEB1","miR200c","ZEB2"
"miR200b",0.217059764118828,-0.013204122069519,0.325870090837408,0.211806755181185,0.210314824032195,0.192980203479774,0.0756992024228068,-0.0331785693025643,-0.0430362554450182,-0.115919615195613,-0.192040624663979,-0.195580553649623,-0.327473319510393,0.013204122069519,-0.317008747305015
"miR141",0.217059764118828,-0.013204122069519,0.325870090837408,0.211806755181185,0.210314824032195,0.192980203479774,0.0756992024228068,-0.0331785693025643,-0.0430362554450182,-0.115919615195613,-0.192040624663979,-0.195580553649623,-0.327473319510393,0.013204122069519,-0.317008747305015
"miR101",0.20632525788418,0.0354673497385148,0.172831378741069,0.0878932418700965,0.0870188422501172,0.0168223019146564,-0.0805711568239037,-0.00210657919409439,0.00701639995521931,-0.0199087304238824,0.0712540141694909,-0.0866294716048421,-0.173755760809898,-0.0354673497385148,-0.256941441144455
"GSC",0.128092616129229,0.0208204599041975,0.146874851675477,0.0584114697579956,0.0578631528825816,0.125374669085636,0.128177628323133,-0.028366832812254,0.00513488242683335,-0.158020375841971,-0.149091854622255,-0.100476734707125,-0.147493952407097,-0.0208204599041975,-0.209346131439747
"FOXC2",0.313039872695973,-0.264351784255997,0.412276469760951,0.166297487497749,0.16378461873149,0.323835214918622,0.131049169449375,-0.0741183936603173,0.0495087469280546,-0.150393145351468,-0.205257518331773,-0.352668133356148,-0.414987888904275,0.264351784255997,-0.131983350969011
"TGFbeta",-0.0632952746494187,0.0483075328643198,0.00530175192063926,-0.085699864590009,0.0142372200070098,0.0781293197206865,0.0305751633482276,-0.00433178632186893,-0.0389108183870212,-0.0643735683325774,-0.100866475611463,0.0626945120757719,-0.00538427233895189,-0.0483075328643198,-0.102526431371228
"miR34a",-0.0380311145289108,0.213630267893728,-0.26433997503645,-0.0558425933697225,-0.055132108407613,-0.301412824365025,-0.0880783903499275,-0.00408096220336164,0.0155537489672673,0.0955052774622003,0.163147818641728,0.159111005782726,0.265133584639031,-0.213630267893728,-0.0501101042924394
"SNAI2",0.187415151695077,0.0239283106462779,-0.0196100150885525,0.192969535347722,0.19292248940522,-0.151189240978128,-0.12197151320788,-0.0876326213760278,0.085744928996671,0.0473192433519507,0.034511666042267,-0.0243600032030241,0.0195480545222664,-0.0239283106462779,-0.0290501696926312
"SNAI1",-0.0166709058713878,-0.0948546544505221,0.130256524288222,0.0097657445782247,0.00952347941880946,0.135517836198988,0.113456457743747,0.00130839198461262,-0.115188466024894,-0.0370651893216513,-0.14186828465589,-0.116882672737266,-0.130525477780908,0.0948546544505221,0.0456293643030668
"TWIST2",0.0491198041339728,-0.0703135228607097,0.0770877607494641,0.0279391266873608,0.0278174563517205,-0.116256223409442,-0.0975886146740538,0.0283992116088675,-0.0599157217336325,0.0108215525963716,0.126378057864229,0.00206851572328699,-0.0771924230595987,0.0703135228607097,0.0619853199634361
"ZEB1",-0.314647061683684,0.264816539810781,-0.414987888904275,-0.167803661917097,-0.166297487497749,-0.326072109148122,-0.131718703856333,0.073857731980669,-0.0491583524403008,0.151564063566415,0.206353185783497,0.354393853525362,0.31662904924574,-0.264816539810781,0.13333413801496
"TWIST1",0.0278709160217523,-0.168391733730854,0.163785387977853,0.0320501561128599,0.0317106202343443,-0.000439676502232259,0.0107798123484705,-0.137180855045339,0.0240344591271732,-0.0518401631545639,0.0378505891924924,-0.12706467227485,-0.164157455193675,0.168391733730854,0.181046127577522
"ZEB2",-0.302360721740177,-0.220469244800209,-0.115638717128821,-0.113282743539671,-0.112260264217603,-0.0752256089037478,-0.0228424467018349,0.00782622149004728,0.0283651428698242,0.0338310488763387,0.0735068736920924,0.0797765978184056,0.116733122671022,0.220469244800209,0.245155084023507
"miR200c",-0.217059764118828,0.013204122069519,-0.325870090837408,-0.211806755181185,-0.210314824032195,-0.192980203479774,-0.0756992024228068,0.0331785693025643,0.0430362554450182,0.115919615195613,0.192040624663979,0.195580553649623,0.327473319510393,-0.013204122069519,0.317008747305015
"miR200a",-0.217059764118828,0.013204122069519,-0.325870090837408,-0.211806755181185,-0.210314824032195,-0.192980203479774,-0.0756992024228068,0.0331785693025643,0.0430362554450182,0.115919615195613,0.192040624663979,0.195580553649623,0.327473319510393,-0.013204122069519,0.317008747305015
