"","ZEB2","SNAI2","TWIST2","miR34a","SNAI1","miR200c","TWIST1","TGFbeta","miR141","FOXC2","ZEB1","GSC","miR200a","miR200b","miR101"
"SNAI2",-0.142721400322163,0.138500021996471,0.239378813308318,0.0409981387836141,0.141556057546241,0.0576834375864188,-0.0340976831667144,0.221288262000677,-0.0243767317748826,-0.0614465527383394,0.0242799393226844,-0.221070139903626,-0.0576834375864188,-0.271314850908774,-0.289600115792587
"SNAI1",-0.123585780568178,0.089294300699567,0.0845539846068583,0.0785460723933025,-0.0689670038954974,0.0778896622885048,-0.00601830984097313,0.0268916401562148,0.0467481993114787,-0.0922335157804547,-0.0466910080515397,-0.0268856925663765,-0.0778896622885048,-0.0617917050955287,-0.108276265953736
"TGFbeta",-0.0750744595584693,0.230570233752761,0.220773958437682,0.102515213173968,0.135940501273523,0.0259935154743125,0.0610029912821023,0.123441835182128,-0.0123952910691441,-0.0554419310706142,0.0125211111746322,-0.223499910938726,-0.0259935154743125,-0.170952346747668,-0.181862572465024
"TWIST2",-0.0709621579752945,-0.125609155743687,-0.110834301384202,0.0127793114518518,0.0711081562468965,0.00255340770182642,0.0202685901965613,-0.0073656256814559,-0.0656113972203108,-0.0193933637227348,0.0656694452242511,0.00723490080920975,-0.00255340770182642,-0.00269086863268889,0.0295324510105582
"ZEB2",-0.0658385152568493,-0.0383291185688396,-0.0336674646800593,-0.0271779291826335,-0.0265649908140238,-0.021603217381439,-0.018152704284189,-0.00933394422704317,-0.00594390585875738,0.00557003741730684,0.00626889304341281,0.00885695635471354,0.021603217381439,0.0311872024376242,0.0326204810651416
"miR200c",-0.0479726948467069,0.144135821172538,0.127595736305283,0.103516598014838,0.0929749305989596,0.0224347955850982,0.0547928449792863,0.12251665899587,-0.000295481293880457,-0.0256187555282102,0.000363979516629272,-0.122534576503664,-0.0224347955850982,-0.0592815821154073,-0.11825774384359
"TWIST1",-0.0350943544475765,0.100964926230846,0.0907980778364464,-0.0288836964247639,0.0220348538282254,0.0264147665174351,-0.0815700061417892,0.0193930732921693,0.0193905892968196,-0.0162383923237423,-0.0192658754774394,-0.0194933299492113,-0.0264147665174351,-0.0524619568837819,-0.0448276306343066
"GSC",-0.0156126306188916,-0.107004082797642,-0.0612664099798467,-0.0158978900787235,-0.0392712951839083,0.0266427625040344,-0.101186083013085,-0.00293609124539985,0.0349400868399728,-0.0296120959094457,-0.0348221628910929,0.00276131129777074,-0.0266427625040344,0.0235910294943359,0.122189116907334
"ZEB1",-0.00725688727543306,0.118878829976464,0.0124455105238699,0.00482872647979622,0.0750408845282029,0.00439107638149518,0.0684682737138364,0.00544208917745072,0.00164938913286178,-0.0932310007462809,-0.101670442503155,-0.00540497867773864,-0.00439107638149518,-0.0166241395506425,-0.0988095710111624
"miR200a",-0.00122780072778589,0.131421833062079,0.115077510675961,0.0909346843617271,0.0836110843464612,-0.00551880829357268,0.0474949424497126,0.11146352475915,-0.00940497220189175,-0.0232683880646258,0.00920040318530407,-0.111139815118336,0.00551880829357268,-0.00477711497359658,-0.107368542844417
"miR141",-0.00122780072778589,0.131421833062079,0.115077510675961,0.0909346843617271,0.0836110843464612,-0.00551880829357268,0.0474949424497126,0.11146352475915,-0.00940497220189175,-0.0232683880646258,0.00920040318530407,-0.111139815118336,0.00551880829357268,-0.00477711497359658,-0.107368542844417
"FOXC2",0.00714523484913995,-0.118789904679104,-0.0123715636071922,-0.00472054255219738,-0.0751467083667863,-0.00441827876141404,-0.0681994404502006,-0.00540497867773864,-0.00157143182783514,0.0931153224860819,0.00164938913286178,0.00541604858419793,0.00441827876141404,0.0167034841275329,0.0986993644627604
"miR34a",0.0405721010391832,-0.197144307853842,-0.0895765308198229,-0.0752836152135957,-0.0423080551286411,-0.122370833203696,0.00200546486732049,-0.0385614240907516,-0.105765806623273,0.0978318516849142,0.105656343229814,0.0385863001654284,0.122370833203696,0.0497151809072563,0.138050796621537
"miR200b",0.0479726948467069,-0.144135821172538,-0.127595736305283,-0.103516598014838,-0.0929749305989596,-0.0224347955850982,-0.0547928449792863,-0.12251665899587,0.000295481293880457,0.0256187555282102,-0.000363979516629272,0.122534576503664,0.0224347955850982,0.0592815821154073,0.11825774384359
"miR101",0.137679141991302,-0.125571843614849,-0.0597640142670176,-0.0302064066229357,-0.0323737455264058,-0.0584470112208425,-0.00589989773000767,-0.0267541532282064,0.0152589497616701,0.104590392601089,-0.0153493080236546,0.0268456397075604,0.0584470112208425,0.105921002919211,0.128701838818484
