"","ZEB2","ZEB1","miR200c","SNAI1","SNAI2","GSC","miR101","TWIST1","miR200b","TWIST2","miR200a","TGFbeta","FOXC2","miR34a","miR141"
"ZEB2",-0.0811816713545331,-0.0436269392536106,-0.0293620393612016,-0.0209471883060515,-0.0207482229611842,-0.0119223856447189,-2.69237439588117e-05,0.00305098935204023,0.00554080443176858,0.00661233245448461,0.00967157830983732,0.0122978867357018,0.0245436355239707,0.0321856606663124,0.0434114423915037
"ZEB1",-0.0747706807708649,0.248823723896594,0.316320338070885,-0.0938104007250432,-0.0757283534281176,0.153140165906609,-0.0101918369582256,0.00278997313088517,-0.246536691831502,-0.242067976968956,-0.253890389125999,-0.153896452297293,0.0705887371589891,-0.323989712552183,-0.348343506545609
"FOXC2",-0.0743723451916494,0.348343506545609,0.316244518671537,-0.093529379642583,-0.0755370293034928,0.152940907590342,-0.0101432512755968,0.00266451760785512,-0.246492406486261,-0.241801239876654,-0.253666403572199,-0.153140165906609,0.0713954002267766,-0.323982997687711,-0.348066918299008
"SNAI1",-0.0541265399937712,0.0522668113715898,0.0527350074132124,-0.0783426631484657,0.0587095290594312,0.0107222212750908,0.0306669756988027,-0.0018821682718636,0.0280653018929031,0.0530416220535825,0.0110218314035319,-0.0103546602230811,-0.0397589787361067,0.0325303790649474,-0.0524912484241068
"GSC",-0.0447646616559825,-0.152804399082977,-0.0537196518073674,0.114891682196862,0.0806821788029668,-0.0422593072207906,0.067301831275305,-0.0278268046669865,0.124268989147043,0.108243573956296,0.106121060087345,0.0423268214965896,-0.175754034473642,0.143521111123855,0.152810295280422
"miR200c",-0.0408858710753724,0.271514107716029,0.157588556756,0.0827275768575891,0.081988758628499,0.168477771461956,4.26104834422275e-06,-0.0168669570012027,-0.0483125283001742,-0.034199635134038,-0.118259530409964,-0.168201841841927,-0.104913954494067,-0.154835883524508,-0.271604821578589
"miR200a",-0.0309404074174499,0.248697169239392,0.140889272738573,0.0759173941579539,0.0753982007831586,0.157815967717092,-3.70858064417601e-05,-0.015704137817219,-0.0767362749643531,-0.0317345030683441,-0.110836975742975,-0.157695323164611,-0.0951360299235678,-0.140020027919887,-0.248712905317592
"TWIST1",-0.00174013878756195,-0.148181676069918,-0.0670894436716044,-0.0121399719136117,-0.0713012937199806,-0.0250135085135505,0.0131755181695679,-0.0140162644693428,0.0300905818062024,-0.0598969876899358,0.0886328818187141,0.0252608082675875,0.131367851536216,0.0564657945693437,0.147911246727686
"SNAI2",0.00429061617453294,0.0648793202115386,0.0306835584652001,0.039365197706594,-0.0840958387926799,0.0135160234590561,0.012704034591752,-0.0375892616956988,-0.0187371134700938,0.000575725484290951,-0.0344498788950025,-0.0133988362931892,-0.0380072386624571,-0.0233026721873298,-0.0651328561503417
"miR34a",0.022882573306927,-0.0909043022293286,-0.103804358614679,0.120049945445531,0.0795301859508881,-0.0565896540738261,0.0230863587703621,-0.0248592311886293,0.0809210079860524,0.232470872562569,0.083519762047908,0.0562128725525025,-0.117296102215384,0.103444351097495,0.0910972786427983
"miR141",0.0309404074174499,-0.248697169239392,-0.140889272738573,-0.0759173941579539,-0.0753982007831586,-0.157815967717092,3.70858064417601e-05,0.015704137817219,0.0767362749643531,0.0317345030683441,0.110836975742975,0.157695323164611,0.0951360299235678,0.140020027919887,0.248712905317592
"miR200b",0.0408858710753724,-0.271514107716029,-0.157588556756,-0.0827275768575891,-0.081988758628499,-0.168477771461956,-4.26104834422275e-06,0.0168669570012027,0.0483125283001742,0.034199635134038,0.118259530409964,0.168201841841927,0.104913954494067,0.154835883524508,0.271604821578589
"TWIST2",0.0492981314229435,0.215804930533516,0.0829140134163805,0.0698980588181219,-0.0351394196219581,0.0503398459203678,0.0443239747810809,-0.00175219780258165,-0.0963312537986468,-0.0914061880088717,-0.133938287444406,-0.0504739662438412,-0.0476212030804568,-0.0783627192807417,-0.215617154035922
"TGFbeta",0.06095829229063,0.0262540892178325,-0.0181009647715861,-0.123552054240626,-0.10445856228935,-0.000238517181534668,-0.00959017088495562,0.0260103404998643,-0.132735677557178,-0.147028298091658,-0.0477341774302051,-0.0995727366095217,0.121116066200422,-0.125797832151451,-0.0263874397036989
"miR101",0.114238515952207,-0.245141563646845,-0.180979485027432,0.00274428613475149,-0.0566443787768137,-0.0789662089747269,-0.0192257460329903,0.00998321752420544,0.0404764789475608,0.0455245186600263,0.0680215962042806,0.0792389090574166,0.0236549938635968,0.13091097021292,0.24479001886154
