"","ZEB2","TWIST2","miR141","miR200b","TGFbeta","FOXC2","miR101","GSC","miR200c","miR200a","TWIST1","ZEB1","SNAI1","SNAI2","miR34a"
"TWIST1",-0.102648967000231,0.0808130821958871,0.065374308920517,0.026256622432435,0.0171676904226008,0.0417588771651859,-0.0486850314543545,-0.0171877417540092,0.0211324446069706,0.0211324446069706,0.0472950999709208,-0.0646584360404574,0.0414282645739983,-0.0481558889854302,0.0102932169842783
"miR34a",-0.097177218292828,-0.1972962620919,0.0647832657633671,-0.0693022064996434,-0.0135827593682388,-0.0219344530219205,0.0354975893419833,0.0135566698265047,-0.0405822237296781,-0.0405822237296781,0.0812601722053101,-0.0643128562664741,0.019188250020212,0.108572452164783,-0.0116898594430466
"ZEB2",-0.0895655111593151,-0.0398534823547918,-0.030306441927558,-0.00581330004312052,-0.00499585633465333,-0.000444639810338305,0.00252365912928596,0.00502122802999001,0.00560271692600233,0.00560271692600233,0.0140409080451105,0.0302283056519211,0.0334696691848995,0.0377032204623167,0.0420774364537376
"SNAI1",-0.0800429010926565,-0.095695111357123,-0.0728392456340389,0.0233219970022251,0.000531242761706406,-0.0376829314522427,-0.0256884267748172,-0.000488816620859549,0.0774537217511377,0.0774537217511377,0.0592844417268777,0.0720107452197887,-0.0507333508997211,0.0905892288522576,0.10906395195334
"GSC",-0.071727008235301,-0.0262516134223501,0.0532404950583727,-0.00354995176351129,0.00605525574020422,0.0464748084332027,-0.0462506181133954,-0.00607733984911043,0.0139365175117602,0.0139365175117602,-0.0582286763591153,-0.0525987922365509,0.0392390194230622,0.0536704034402726,0.00636218658236734
"FOXC2",-0.0212609961750172,-0.191119605775354,-0.148105750095533,0.167769846464691,-0.00180069567174896,-0.0747750789562003,0.0131664934989953,0.00175088109268216,0.178489356481739,0.178489356481739,0.105564729476709,0.1483139922117,0.0836199987499913,0.111436917464067,0.168280237174325
"ZEB1",-0.0209941557609851,-0.191602901695068,-0.1483139922117,0.16786210760061,-0.00179301763732578,-0.0738912970482802,0.0139924501036856,0.00180069567174896,0.178788582660847,0.178788582660847,0.104749268577014,0.0482147406088865,0.0842337770137748,0.110906060385883,0.16814220940463
"miR200c",-0.0144402884079252,-0.169771167148707,-0.185126618876433,0.0222875849629973,-0.115744462800895,-0.00422673020230905,0.00995846253098035,0.115719378289983,0.0985847884868443,0.0985847884868443,0.0704126057853786,0.18526454097359,0.13299173811417,0.153725943934916,0.19626521847609
"SNAI2",-0.0122490552672593,-0.0760117965320824,-0.0047551290558151,-0.00300036559843377,-0.00190865537368939,0.0625433975298953,0.0539844363954122,0.00186503095427909,0.00709082863572881,0.00709082863572881,0.041706844235038,0.00583525244107251,-0.0495319367013651,-0.0325958888617637,-0.00700287860508894
"miR141",-0.00139158757493,-0.00326974530443162,-0.16359768392519,0.115787795521675,0.113938229576648,-0.0137028498348727,0.000312888382750928,-0.113956147084442,0.0813590295681395,0.0813590295681395,0.0143399629217352,0.163640263901493,-0.0793446860347161,-0.0777700274853769,0.0756873895278972
"miR101",-0.00123301898058297,0.114261907656332,0.178046110468,-0.0434404846376874,0.00958895826744858,0.067536922051442,0.034134821072491,-0.00953089954016626,-0.0867111007973327,-0.0867111007973327,-0.0906798313991173,-0.178784320419684,-0.072697509254083,-0.111269271768712,-0.13336584481099
"miR200b",0.0144402884079252,0.169771167148707,0.185126618876433,-0.0222875849629973,0.115744462800895,0.00422673020230905,-0.00995846253098035,-0.115719378289983,-0.0985847884868443,-0.0985847884868443,-0.0704126057853786,-0.18526454097359,-0.13299173811417,-0.153725943934916,-0.19626521847609
"miR200a",0.0144402884079252,0.169771167148707,0.185126618876433,-0.0222875849629973,0.115744462800895,0.00422673020230905,-0.00995846253098035,-0.115719378289983,-0.0985847884868443,-0.0985847884868443,-0.0704126057853786,-0.18526454097359,-0.13299173811417,-0.153725943934916,-0.19626521847609
"TWIST2",0.080152196368747,0.0766991832057071,0.0633978085367197,-0.0409425166544071,-0.0076283526987443,-0.0578512740659105,-0.0503475325646169,0.00759496409501043,-0.0717850509193573,-0.0717850509193573,-0.0532452660160767,-0.062536323387334,0.0453369953113813,-0.0465788886223746,-0.00646927496066758
"TGFbeta",0.0926324754427976,0.150252464921693,0.00549432678910046,0.0722791562315052,0.0902765000323563,-0.0140992565678874,-0.0104419937640688,-0.190268433955051,-0.0501141825324824,-0.0501141825324824,-0.0471071776167322,-0.00543753517041382,-0.101830995071411,-0.122204820749272,-0.103675827348686
