"","ZEB2","miR141","SNAI1","FOXC2","miR200b","miR200c","GSC","TGFbeta","miR200a","SNAI2","TWIST1","miR101","TWIST2","ZEB1","miR34a"
"ZEB2",-0.0953974077708457,-0.0463232277739051,-0.0451070379615707,-0.0378116697660999,-0.0272843028848393,-0.0241413533963768,-0.0096474138625228,-0.00953070406397406,0.0179774374635342,0.0220267191054914,0.024434434884641,0.0339157764873015,0.0368261370885545,0.0462172212343467,0.056200304920526
"miR34a",-0.0925870485461355,-0.144788443446671,-0.106160913143392,-0.167073865999012,-0.0952842328305661,-0.0896467043129788,-0.0422671589929768,-0.0420287127161971,0.163280500009716,0.12185851223416,0.16260324079072,0.111831783629554,0.268318002300346,0.14470728955152,0.130006412637127
"ZEB1",-0.0692796254373757,-0.242879415791037,-0.0587066047079099,-0.073905479586498,-0.204582730584039,-0.197256942900132,-0.119699370487177,-0.119437037644385,0.254155860052303,0.0998465676502106,0.118571335876888,0.0798394227258222,0.21864685505904,0.14275109048639,0.235686982153397
"TGFbeta",-0.0272474985929974,-0.191096984839566,-0.236115912989658,-0.207489124169433,-0.140701362789402,-0.0889906736572702,0.136469744954356,0.0365100753408821,0.113065792876681,0.0462598059749365,0.147206862957706,0.140725818899687,0.158979912936619,0.190637945402336,0.270315865621725
"miR200b",-0.015268272211136,-0.181000545550183,0.156497618762013,0.144237022024952,-0.0609953781649393,-0.0821611582167485,-0.158803464768766,-0.158451087115482,0.0969427642688052,-0.0150300362985589,-0.0228790035432123,-0.0854172604218871,0.0408274856863054,0.180997768595206,0.0744174703543515
"GSC",-0.00810287327663384,-0.255995099051709,-0.142043407139794,-0.167616185533756,-0.123742203337383,-0.142102901793191,-0.0770890169707121,-0.0767312544064315,0.135769484196327,-0.0318440059248333,0.0597029836721081,0.106498983701873,0.0906565924075099,0.255632482908904,0.218824887287397
"TWIST2",0.00521813464305156,0.255016499883766,0.154105117891978,0.0695237704694324,0.0499426714860973,0.127642751699221,0.0820192822895457,0.0816950166973507,-0.132758772611554,0.103495958688424,-0.034499848302179,-0.0213569974886399,0.0153090483105449,-0.254712187620685,-0.214501376982229
"SNAI2",0.0142958348436565,0.082850559079971,0.0926081317896034,0.0479464689106613,0.00248741337360771,0.034659115162704,0.0324772909405925,0.0325927673449138,-0.0494776502434297,-0.0105035844207929,0.0035248103026633,-0.00227601885516674,0.0568745039163685,-0.082601042204927,-0.0855621157951021
"miR141",0.015268272211136,0.181000545550183,-0.156497618762013,-0.144237022024952,0.0609953781649393,0.0821611582167485,0.158803464768766,0.158451087115482,-0.0969427642688052,0.0150300362985589,0.0228790035432123,0.0854172604218871,-0.0408274856863054,-0.180997768595206,-0.0744174703543515
"TWIST1",0.0160867039170593,0.0312492986298626,-0.222054351271324,-0.339175462159925,-0.0215191545893425,-0.00654598299117163,0.0147510570577684,0.014513114591722,-0.027591682638326,0.0510461183049449,0.20543365060641,0.102512121148604,0.113744255044434,-0.0314336469158903,0.0828362129872655
"miR200c",0.017945816662031,0.156937724583732,-0.171860851428462,-0.159406249435955,0.0140308267865821,0.0682893392336862,0.156597995648628,0.156071220919481,-0.0854120432118616,0.0220979220375088,0.0326446567217912,0.09639273907147,-0.0268035277562658,-0.157054356692736,-0.050916632936737
"miR200a",0.036410453751143,0.286841983690692,0.203455181093915,0.176730188194293,0.157439831236783,0.129056481326401,-0.0310906177199651,-0.0314525513774062,-0.163392983744397,-0.0893903832107961,-0.129388004180402,-0.146878826365076,-0.16942776304395,-0.286389340029554,-0.285286366289248
"FOXC2",0.0694582100873883,0.243267066499595,0.0585290558231755,0.0742062430630153,0.204651003824619,0.197338550039888,0.120728871787891,0.119699370487177,-0.254494442866186,-0.0999656736545545,-0.119294198652442,-0.0800088801066984,-0.219090536559106,-0.242879415791037,-0.236059284083548
"miR101",0.0779458278950988,-0.0660999956430919,0.251260625894634,0.260285803059822,-0.0928268334288497,-0.0717408038932529,-0.00183398193548842,-0.00165452768752488,-0.00878835871150842,0.0768573723309066,-0.227415069250352,-0.136480410423933,-0.0100007193230792,0.0662230874641348,-0.07208123563265
"SNAI1",0.0799382670207744,0.223500551573879,0.195672639551538,0.310526571059633,0.0403368112841944,0.0783052620571001,0.0798250572336877,0.0795169720800615,-0.165032593470073,0.0394692645793246,-0.310798886032247,-0.176438486275344,-0.121435842450893,-0.223196355899393,-0.313412589534814
