"","GSC","miR200c","miR200a","FOXC2","miR141","miR101","miR34a","SNAI1","TWIST2","SNAI2","TWIST1","ZEB1","ZEB2","TGFbeta","miR200b"
"miR101",0.111930755471081,0.103125265962956,0.103125265962956,0.155989282397129,0.0448956017839289,0.0221426979731357,-0.0133762343351889,0.0550470947389143,0.0372998592925672,0.112056119884343,-0.037436637811645,-0.0449184470803551,-0.262253495252443,-0.112159471669466,-0.165093777520302
"miR200c",0.186537300944658,0.101734589456211,0.101734589456211,0.124235927766585,0.0411410467189832,0.0638625700051699,0.0334850567899315,0.0450012335205962,-0.0174533989298906,-0.0868953581346104,-0.0820888525676294,-0.0415325973706419,-0.249396933936901,-0.186084585247727,-0.104147580770613
"miR141",0.165306219623993,0.0909275049378123,0.0909275049378123,0.177412423704151,0.018038738058842,0.130058008199,-0.0961496111572968,0.115625414480109,-0.126496132224988,-0.147601698245117,-0.164896652025015,-0.018270150973534,-0.200211085636873,-0.165116294041375,-0.0339399161308018
"TWIST2",0.0727117465079373,0.00945361821834823,0.00945361821834823,-0.192403532267441,0.152093672995017,-0.104246763552918,0.151050816995392,-0.166872066381499,0.132356438336044,0.0509698475190114,0.276240814066981,-0.152264738703599,-0.176887600564793,-0.0725017944403904,-0.131462589173974
"SNAI1",0.0578093962332873,0.0879346902951327,0.0879346902951327,0.163664943602832,-0.0657286561953012,0.0247063166619614,-0.109266561605135,-0.0349818025034438,0.00443362150699871,0.115935520330439,-0.0468419401233983,0.0655394613245843,-0.118820391677944,-0.0575560289061738,-0.0581403552751935
"TWIST1",0.0190019389935976,0.0242173164021875,0.0242173164021875,-0.185049060114251,0.0721572633772246,0.1095967793994,0.0541344156971732,-0.00690290645042045,-0.133353975795115,-0.229737085912963,-0.00492396178340195,-0.0723348703757181,-0.116388400397845,-0.0186757706693542,0.00678451772254241
"SNAI2",0.229637815644919,-0.00891670554217728,-0.00891670554217728,-0.160221323532271,0.0773660121884437,-0.309486428368004,0.1020320128316,-0.154381284602128,0.324951974940007,0.170453477698106,0.245147244440698,-0.077235727538253,-0.0619922219555163,-0.229960294196246,-0.269734299251398
"FOXC2",0.0223879257971923,0.00918821458329006,0.00918821458329006,-0.115141795303945,0.0279889848215325,-0.0990785275889162,0.032484301276608,-0.102771641405399,0.11022469726996,0.0932930750948264,0.102810313236533,-0.0281737329553627,-0.060516290420358,-0.0220835033695618,-0.0416734576811168
"TGFbeta",0.0144907892613108,0.0141208082206182,0.0141208082206182,-0.160020642798862,0.00782359064235235,-0.0841500825406649,0.0856952348042003,-0.0685455086661268,0.132270397783515,0.0952986507955905,0.124605168659087,-0.0081131965210693,-0.0418291710933408,-0.113985852822,-0.117518375528747
"miR34a",0.0394510758440396,-0.110495761478276,-0.110495761478276,-0.244776262523514,0.149286654729264,-0.166141476789676,0.161285880242572,-0.191923836836478,0.28772859569617,0.136730438258921,0.217841180132283,-0.14941357564668,-0.0411893016538425,-0.0392720894530726,-0.147174268841361
"ZEB1",-0.0220835033695618,-0.00903483946247098,-0.00903483946247098,0.114415335829896,-0.0281737329553627,0.0980771885201023,-0.0321299056517152,0.103699363723647,-0.11020621054079,-0.0935566173397321,-0.101726019073202,-0.0718829106361417,0.060649858707515,0.0223266411262961,0.0416199462222838
"GSC",-0.078219655951293,-0.136089240518185,-0.136089240518185,0.0522124752986539,0.0762153711270708,-0.125412309082634,0.0722623043879341,-0.0978749691980146,0.0668649239859724,0.0547520974908816,-0.00503518832411961,-0.0763357518248858,0.215735165117909,0.0786089672425824,0.0403306143946412
"miR200a",-0.00152390802515092,-0.103120021865902,-0.103120021865902,0.0644234506139498,-0.0220514052682182,0.0325611441677243,-0.00465092845831339,0.016674753793741,-0.0127690676303456,-0.0508335329337261,-0.0356021203196407,0.0219181114293556,0.231982118148784,0.0019551227127293,0.114295820958246
"ZEB2",-0.251298597946078,-0.216622287041051,-0.216622287041051,-0.146477009082762,-0.12047589452026,-0.0955634121710712,-0.0821804286546878,-0.0788302096714263,0.0132759170155531,0.109667406423,0.115530804690004,0.120268360590702,0.231997735630829,0.25199885673737,0.293713047265315
"miR200b",-0.186537300944658,-0.101734589456211,-0.101734589456211,-0.124235927766585,-0.0411410467189832,-0.0638625700051699,-0.0334850567899315,-0.0450012335205962,0.0174533989298906,0.0868953581346104,0.0820888525676294,0.0415325973706419,0.249396933936901,0.186084585247727,0.104147580770613
