"","ZEB2","miR141","miR200b","SNAI1","miR200c","TWIST2","miR200a","GSC","TGFbeta","FOXC2","miR101","TWIST1","ZEB1","miR34a","SNAI2"
"ZEB2",-0.0942048736095944,-0.0338362101539568,-0.0264875128666377,-0.0208603607543687,-0.010967065890406,0.0077000531211332,0.010967065890406,0.0125217033251148,0.0125445378509178,0.0130826566075285,0.0164548651264667,0.0256607661485026,0.0338297402712608,0.0425993641853748,0.0537004817306689
"ZEB1",-0.0705485111868854,-0.25779225391734,-0.234753199237804,0.0694774250727655,-0.262754747580098,-0.062305319058217,0.262754747580098,0.120495338218637,0.120403201805559,0.105626532122799,0.137648951322879,-0.0509212851602736,0.157717063309148,0.242365829795868,0.198303965163854
"GSC",-0.0555981260286538,0.186162208884742,0.132596422844334,-0.124448951464048,0.0683798669109634,-0.000376824661396148,-0.0683798669109634,-0.0665241349840046,-0.0663581886799379,0.104859241271204,-0.134919902728755,0.205508948954793,-0.186012838549494,-0.054869511109209,-0.0446886608048101
"miR34a",-0.0451375327090823,0.14964361193611,0.0169209009129144,0.0465145888053107,0.112928693143603,0.0567111913153369,-0.112928693143603,-0.033773645803164,-0.0339611264635328,0.0548133397348352,0.0934688164153678,-0.0130698745785194,-0.149637950036448,-0.106881639734521,0.116756361997573
"SNAI1",-0.0158584983115674,0.106097158922278,0.086051829473744,-0.0805127276502205,0.036555635791802,-0.010312525168288,-0.036555635791802,-0.0459265113428581,-0.0456913832912489,0.0263299614871955,-0.00525089936338585,-0.0203737789041616,-0.106009980893615,-0.115719474632786,-0.130296736286981
"TGFbeta",-0.0113994090546475,0.0455710503118863,-0.107369419202215,-0.102271543055861,0.020596940937623,0.137367764951537,-0.020596940937623,0.197160630666079,0.0971283663568581,0.0636340269772161,0.0409261011036287,0.14711006669533,-0.0454571533086639,0.0705652586628667,0.185069469791089
"TWIST1",-0.00264630598040783,0.144336995454144,0.0970421237601423,-0.042690383845459,0.0651829395027889,-0.0986781151451993,-0.0651829395027889,-0.0554101470777825,-0.0550839787535391,0.0329183346693604,-0.102525182027528,0.0193143708183001,-0.144196724817378,-0.048355807712772,-0.125736771667999
"SNAI2",0.0183459312125539,0.108277092197574,-0.149185876504738,0.059018515637223,0.0633388663469774,0.197001876215442,-0.0633388663469774,0.167609563895044,0.167774652384185,0.0845163670701867,0.194032175588579,0.103114264472427,-0.108083172371198,-0.0910441574089764,0.030976082878505
"miR200c",0.0213512364859908,0.254747972373748,0.0897469132358784,-0.119353319976344,0.139276652705543,0.103533049737357,-0.139276652705543,0.0414703253979541,0.0415790249452384,0.0196087796998841,-0.0225311037569654,0.138389796156554,-0.25453599814389,-0.138304095071558,0.0768627129264014
"miR200a",0.0213512364859908,0.254747972373748,0.0897469132358784,-0.119353319976344,0.139276652705543,0.103533049737357,-0.139276652705543,0.0414703253979541,0.0415790249452384,0.0196087796998841,-0.0225311037569654,0.138389796156554,-0.25453599814389,-0.138304095071558,0.0768627129264014
"miR200b",0.0337428822387011,0.202063145920903,0.106822888788168,0.0752340876515041,0.116730730371888,-0.0368642183158638,-0.116730730371888,-0.166989366625749,-0.166677601990132,-0.0653684133288446,-0.0771773422933927,-0.100868149150675,-0.201952067721851,-0.198435797013128,-0.22791759343779
"miR141",0.0337428822387011,0.202063145920903,0.106822888788168,0.0752340876515041,0.116730730371888,-0.0368642183158638,-0.116730730371888,-0.166989366625749,-0.166677601990132,-0.0653684133288446,-0.0771773422933927,-0.100868149150675,-0.201952067721851,-0.198435797013128,-0.22791759343779
"TWIST2",0.0389827709401126,0.204993242950041,0.127465398933615,-0.00659285938820029,0.120282746063175,-0.130547571922735,-0.120282746063175,-0.0740032391812931,-0.0739958823703009,-0.00691774218557143,-0.118938438633076,0.0179246482871764,-0.204982249009901,-0.121136147668224,-0.230316191573844
"miR101",0.046662657494633,0.217714162579558,0.102007240266683,0.0119933207499019,0.130580124108404,0.0164721915827928,-0.130580124108404,-0.0645576178912904,-0.0645699333788957,0.0195186960580001,-0.0254879942636557,-0.00819530838034289,-0.217655855927485,-0.1480984260154,-0.161549414669775
"FOXC2",0.0706951105264479,0.258164953909864,0.235041976593231,-0.0692987003676025,0.262925485922142,0.0622340131028493,-0.262925485922142,-0.120982414102846,-0.120495338218637,-0.105976651657002,-0.13812888306592,0.0512289498953235,-0.25779225391734,-0.24249042783662,-0.198496367170871
