"","ZEB1","TWIST2","FOXC2","TWIST1","miR101","GSC","TGFbeta","SNAI1","SNAI2","miR200c","ZEB2","miR34a","miR141","miR200b","miR200a"
"miR200c",-0.189579089790914,-0.105694073688585,-0.122400067392692,-0.0543578409365045,-0.00108022537592759,-0.0111533328571531,-0.0111115253389668,0.111007966732896,0.114642271506452,-0.191454986576385,-0.193309295248797,0.0919180281070407,0.189642034103711,-0.0355267386126658,-0.00235789134671672
"miR34a",0.183479971627792,-0.171842103473467,-0.0585968234535121,0.0491404120306209,-0.0464610578816663,-0.0224234267461702,-0.0226545922206055,0.0570614974966797,0.144620675155989,0.0845371885541492,-0.152261842044852,-0.140289573467797,-0.183236038117367,-0.19155652470355,-0.210397901063137
"TWIST1",0.329657174844646,-0.164900618035235,0.353533994116444,0.240705232034489,-0.27539731878782,-0.0441107672339512,-0.0447684509041469,-0.239799036575738,0.309711136316808,0.109210509798614,-0.148210117475497,-0.130160898912106,-0.329026345899631,-0.266564989256696,-0.252747333022253
"miR200a",-0.171460124654932,-0.0606056840728949,0.148285049689089,0.112492627777011,-0.0178072180727767,0.155397333922136,0.155276689369656,-0.086920397318025,-0.0509537288070817,-0.158582122284713,-0.144476767295192,0.179935705003447,0.171680429749719,0.0357992921726088,0.0110236045036084
"miR101",0.326662910014705,-0.0412866837638306,0.239272835767314,0.226132490870537,-0.264012697489936,-0.0606634638274383,-0.0612651633647279,-0.233739432937282,0.192445359275912,0.103632085645851,-0.13474407670307,-0.115334189379425,-0.326190660230371,-0.245597705484751,-0.235123369565769
"SNAI1",-0.228941785111901,0.187716901733754,-0.253581251359132,-0.274617047296838,0.311937437033364,0.045120560793218,0.0455571138873525,0.12656253202973,-0.292430010464425,-0.172544827000523,-0.10155952672141,-0.0243861948763187,0.228411297533224,0.139735085234874,0.0756926858975668
"SNAI2",0.126076217949793,-0.330346702641088,0.120321204734838,0.220481226326725,-0.329487565063216,0.194199498963425,0.193668307503546,-0.0656510249718483,0.291735762954306,0.0220648170031158,-0.0881223479106936,-0.058535039197453,-0.125322978416942,-0.328817132688081,-0.108045959148142
"FOXC2",0.275821326763714,0.236391856071381,0.0463669726411284,-0.0616898618353198,0.0250803611586288,-0.11816571846413,-0.118331767061019,-0.0738180365522064,-0.125520311565519,0.209711479325143,-0.0813794315128183,-0.251741047949394,-0.276097915010315,-0.251372740597746,-0.27765828666274
"ZEB1",0.175582721900385,0.236935894101223,0.0458564459194502,-0.0622006450362278,0.0256669444001233,-0.118331767061019,-0.118429022163713,-0.0736816413824767,-0.125961704405146,0.209615981608406,-0.0813193109755835,-0.251644801558634,-0.275821326763714,-0.251041523119796,-0.277453979426328
"GSC",-0.136429836488931,-0.00191437733260118,0.0724479979436595,0.00483210026649956,0.109280654140851,0.0265450059864852,0.0266642601745788,0.0987318507864878,-0.0182806733475423,-0.0307505425079819,0.0759103624731744,0.0274744117498667,0.136387089057462,0.112493198986392,0.110576738898478
"ZEB2",-0.24279891195917,-0.124381415444012,-0.0468029872210938,-0.0120280425837973,-0.00698714707167329,-0.00147870595897856,-0.00132140144789113,0.0597905280427539,0.0746423539521197,0.0909524449529977,0.106954201674282,0.180857122271401,0.242783483777356,0.288698234584824,0.313776704024815
"TGFbeta",0.0222190755040713,0.0460975375244197,0.137412766126676,0.076160358015994,-0.0208138982507352,-0.0164646226987551,-0.116585613858334,-0.0973402264899955,-0.0571154761278819,0.0673918427619496,0.111595583897731,0.0856197297928587,-0.0220976481204706,0.117332235086991,0.0424287136610782
"TWIST2",-0.345967183483564,0.199229916375773,-0.273291194756921,-0.361189149164635,0.29637257086085,0.0345934547622849,0.0353874244409054,0.252660052293601,-0.33499229768146,-0.0920358721665425,0.17914866547203,0.107447648111876,0.345160668034879,0.284728883007784,0.266751428193723
"miR200b",-0.300695857604894,-0.151101090707667,-0.14111551496169,-0.058508155148434,-0.00376682534192137,-0.0320441055573201,-0.0317801209424868,0.131943328783749,0.139945172446493,-0.0495271842343856,0.209197418227065,0.165713060863326,0.300715296289728,0.175702145375456,0.257945661766098
"miR141",-0.282576892468911,-0.106012701091977,0.129569602120091,0.108342313565081,-0.0204938180387705,0.134506561221969,0.134608093766136,-0.0659850352671724,-0.0256508278670404,-0.016654319942713,0.25802994618067,0.253730737759732,0.282753691935736,0.247028176160731,0.271327157616423
