"","ZEB2","SNAI1","TWIST2","FOXC2","miR34a","ZEB1","miR101","miR200a","TWIST1","miR200b","TGFbeta","GSC","miR200c","miR141","SNAI2"
"SNAI1",-0.0912020227673595,-0.103632966323651,-0.0405752249762556,0.0150117293066986,-0.0777637229189288,-0.0648694839596243,-0.032205906505502,-0.0751970689998065,0.0132779961341896,-0.0596911887316054,-0.00165748313487306,-0.00158492253884526,-0.0171683975135347,0.0649452237363002,-0.0295221665637441
"miR34a",-0.0892004348291407,0.119936798524552,0.221385032990652,0.129449064692072,-0.0196880388995996,0.0769724031820813,0.0178993944238731,0.0504892183416246,-0.0349504985176652,-0.0451543207896309,-0.0676185721577816,-0.0675172476584884,-0.121142656863878,-0.0769455091586882,-0.146909532026272
"ZEB2",-0.081797238941096,-0.0528039544306325,-0.0501338810806188,-0.0461303380052971,-0.0324591140112583,-0.0172727126912548,-0.0012435027476703,0.00564103404972506,0.00596980394559833,0.0108003924643578,0.0115485170156475,0.0117388047306726,0.0164015695913839,0.0175250381164007,0.0548904004182173
"TWIST2",-0.0759905525856884,0.106549025459249,0.102306596081658,0.0867031878557813,-0.0472156070281697,0.019693316288558,0.015796684533412,-0.0264699359561903,-0.0389397603698294,-0.0608959192420208,-0.0319671541534524,-0.0319133928423555,-0.0483464379997689,-0.019601406948986,-0.131376902161788
"GSC",-0.0747712445235477,-0.0463346356768908,0.0584988348723983,-0.122241905067211,0.125571432499054,0.157645047155844,0.0706068099453997,0.0437833162340667,0.00871723107473156,0.0413036388304388,-0.0548657253887844,-0.0548032589093069,-0.122362802991966,-0.157550216646953,0.0148634985293093
"SNAI2",-0.0252169356370667,-0.0249033579855841,-0.0944552888552066,-0.048880903955225,0.0115356048200289,0.000795313524417858,-0.0362821551297144,-0.0121188926993556,0.0797440267119918,0.012874899186428,0.00437665883343869,0.00456056569958015,-0.0128359878267355,-0.00066502887422712,-0.00390693360732788
"TWIST1",-0.0216208428335738,0.023943014701222,-0.0225402628887069,-0.0965746258112531,0.0933736178264512,0.133151291985382,-0.0210493266417095,0.0503974927192502,-0.0148780738734742,0.0602542540280984,-0.0302286221286168,-0.0302312956394713,-0.0894616568456024,-0.133088805435547,0.0522508765049088
"ZEB1",-0.0156169714471306,0.115360525542618,0.109886973825724,0.123693936510501,-0.00535840440732491,-0.0887829124909053,0.00434451060704082,0.000871406648718144,-0.00903130753128749,-0.0108746921167104,-0.0108387304825744,-0.0110549951188275,-0.0141817094391048,-0.0113043086145972,-0.121495762915837
"miR200b",-0.00803503214172199,-0.126699992749726,-0.0678553055048272,-0.121216231056758,0.0236762623015231,0.0212713206903077,-0.00118138594108222,0.00696936368116351,0.0190440264434859,0.00971544871439443,0.108146320567286,0.107925337971159,-0.0150329863080854,-0.0213129750149522,0.129477403986373
"miR141",-0.00803503214172199,-0.126699992749726,-0.0678553055048272,-0.121216231056758,0.0236762623015231,0.0212713206903077,-0.00118138594108222,0.00696936368116351,0.0190440264434859,0.00971544871439443,0.108146320567286,0.107925337971159,-0.0150329863080854,-0.0213129750149522,0.129477403986373
"TGFbeta",-0.00512357815476026,-0.090580984647886,-0.0452035717197364,-0.0999301707423621,0.14796970889607,0.100070915741984,0.000895584642036978,0.0477051333146362,0.0234270109067476,0.129641717031649,0.0736946019088183,0.173630073290376,-0.0522973845798831,-0.100125197233878,0.0900097043962906
"FOXC2",0.0155947594259847,-0.115338184954473,-0.110095609769208,-0.123877479350017,0.00557104178226056,-0.0113043086145972,-0.00431725522410269,-0.000736552297205518,0.00903728160381273,0.0109909411479684,0.0110549951188275,0.0106398736266041,0.0140352796067757,0.0110448069006044,0.121480133621149
"miR200c",0.0156363363155811,-0.145414401150022,-0.0867821096647014,-0.140220522788344,0.0041821270250845,-0.0047075307202078,-0.0016139400142629,0.00554760641217265,0.021582611507363,0.0446510872561197,0.12403201767414,0.123928096128934,0.00942270991943821,0.00455387254485235,0.148055936595759
"miR200a",0.0188370724718869,0.0479826744471105,-0.0421301382633373,0.0604446627220975,-0.122091445280635,-0.0397672535633284,-0.0021841317789842,-0.0112934462919112,-0.0111626163371409,-0.035688996503424,-0.0900212752225339,-0.0901586427822887,0.029177028161617,0.0395839745348924,-0.0447205536661101
"miR101",0.109341968921005,-0.0308844485368639,-0.00759540151748533,-0.0473292823415071,0.0165344049984208,-0.0319961752969285,0.029280462050386,0.0362690867499248,-0.00185011996940365,0.0455831168555432,0.0330642371549707,0.0330202532706659,0.0719565065700243,0.0319501437295024,0.0699129567627107
