"","ZEB2","SNAI2","miR101","SNAI1","miR200c","GSC","ZEB1","miR141","miR34a","miR200b","miR200a","TGFbeta","FOXC2","TWIST1","TWIST2"
"ZEB2",-0.0854607237084003,-0.0586011228536507,-0.0454277549473402,-0.0295280126851363,-0.00851022486674142,-0.00701074511308658,-0.00332576813724118,-0.00208305297631529,-0.000530107317269076,3.55387008762036e-05,0.00851022486674142,0.00893138245007344,0.0237257431489628,0.026621581200909,0.027306661051668
"GSC",-0.0566117148666694,0.110687462886685,0.176502582195333,0.142859919415008,0.00529336411072545,-0.0150524977465289,-0.0558014863082721,-0.0569595977562308,-0.0817851287972328,0.041829387331022,-0.00529336411072545,0.0132031113692692,-0.105024547721614,-0.185996125107245,-0.0956946585318722
"TWIST1",-0.0455233745139183,-0.231386832719226,-0.173194780690764,-0.0435934895438322,-0.0238011235302687,-0.0693214946663217,-0.107572260881419,-0.105922978958181,-0.0171151325432296,0.124910297818977,0.0238011235302687,0.0715979891588894,-0.0336918113618761,0.0159091485550439,0.163836858849009
"TWIST2",-0.0415132842751549,0.207850381485013,0.180371018863933,0.131387176736283,0.0117011281163315,0.0197907761589863,-0.0161953678536345,-0.0175036467303177,-0.0609997781647842,-0.0477043278515891,-0.0117011281163315,-0.0218433264258122,-0.00900628971261833,-0.15160048414339,-0.191677786439706
"miR200b",-0.018007975681467,-0.106802599125222,-0.111521213011426,-0.115499335562265,0.0135574648602099,-0.0945777392980825,0.00890961743132907,0.00951221666118689,0.107931866680185,0.0338198300832498,-0.0135574648602099,0.0959072183764059,0.0697255336816528,0.0579876913092261,0.107451083812505
"SNAI1",-0.0152198265525853,0.115645723178409,0.136962241126844,-0.042857046440292,0.0413126921684592,0.0434684106929031,0.0539953058866418,0.0568443580574365,-0.0492556948504769,-0.0410794913571723,-0.0413126921684592,-0.0391167574611811,-0.065640403171242,-0.0065365610530625,-0.10070740273266
"miR141",-0.00393729413000715,0.126687968581114,0.126937386162817,0.127474277443554,0.00158964622983086,0.107937234945429,-0.00193812187999743,-0.00173447851506852,-0.10411145471165,0.00198347569678474,-0.00158964622983086,-0.107912150434517,-0.0783420835798027,-0.0681348805300926,-0.118101712027233
"miR200a",0.000445712185672987,-0.249673116116608,-0.184005691133603,-0.121952197491958,0.000978247914420107,-0.128462092841946,0.00758863012164307,0.00544574653159567,0.0145084381070956,0.0513673175268361,-0.000978247914420107,0.124877396782604,0.0781262511448704,0.0979507750843397,0.137132636862556
"ZEB1",0.00315601525008588,0.166781031624207,0.0727014327193849,-0.0229639155669746,-0.00661482610678413,0.00232139371873881,-0.106096549006973,-0.00768407338126138,-0.0212477340972121,-0.0231472298601822,0.00661482610678413,-0.00476428833771635,0.0483043689230831,-0.0389144002206584,-0.0426755576253248
"FOXC2",0.00501560566041595,0.166436648199883,0.0704155356025304,-0.018876763756799,-0.00422391054412895,0.00644493387482449,-0.00768407338126138,-0.00544680551782549,-0.0179761029074127,-0.0233409782456123,0.00422391054412895,-0.00232139371873881,0.0537196538771973,-0.035700349202079,-0.0452108804828449
"miR34a",0.0139908119546466,0.177314032108804,0.0737728076178275,-0.0133996555128755,0.044922142241981,0.0613844015933928,0.0151535286748321,0.0175301110578313,0.0179837745000093,-0.0969924358287864,-0.044922142241981,-0.0576451028560053,0.0690940976960041,-0.0180483812713394,-0.0369197361103773
"miR200c",0.018007975681467,0.106802599125222,0.111521213011426,0.115499335562265,-0.0135574648602099,0.0945777392980825,-0.00890961743132907,-0.00951221666118689,-0.107931866680185,-0.0338198300832498,0.0135574648602099,-0.0959072183764059,-0.0697255336816528,-0.0579876913092261,-0.107451083812505
"TGFbeta",0.0277052280177704,-0.226914288155746,-0.185146543242532,-0.138346878933552,-0.00774498391565607,-0.208322146309132,0.0160187972365212,0.0176350051252221,0.127159502683784,0.123481204051128,0.00774498391565607,0.110617751910216,0.0949368692964963,0.0640291406161414,0.228165496129335
"miR101",0.0303607496450816,0.0593739491493474,0.106541736515495,0.0438350761748781,-0.0233175349379851,-0.0155241901409849,-0.0115488753495524,-0.0147250535019476,-0.0208673128508986,-0.018136764568686,0.0233175349379851,0.0105188241070997,-0.0694029746593967,0.00180720973892739,-0.0458987589108083
"SNAI2",0.0902235282660994,0.0639718543357151,0.180687327232337,0.000367692791337086,-0.0686149129832265,0.160739370516971,-0.047698413419007,-0.0473176071278325,-0.028390943110878,-0.20777360408865,0.0686149129832265,-0.160148302403,-0.04796120797939,0.122632496909725,-0.19084855811298
