"","ZEB2","miR34a","miR141","SNAI1","miR200c","miR101","TWIST1","FOXC2","SNAI2","GSC","TGFbeta","TWIST2","miR200a","miR200b","ZEB1"
"SNAI1",-0.0945621215047819,0.122433609706852,0.12638494564031,-0.0870550816476834,0.0170782552007911,0.0809750918068283,0.0254686089802491,-0.0974064040976092,-0.04959444588707,-0.0282288487533634,-0.0282736539301456,-0.0429424890538182,-0.112341692796866,-0.0954471256742917,-0.126426370661022
"miR34a",-0.0944139339986917,0.142956911201841,0.162068615044977,0.11042952624933,0.0982793220617544,0.0126260118585748,0.159260693469599,-0.176387312086669,0.0902431992839465,-0.0316256607723483,-0.0318058606303726,-0.251703190899151,-0.173549369948711,-0.0551134112288133,-0.162185627637985
"ZEB2",-0.089077521262223,-0.0600602211802941,-0.0570838757151464,-0.022471824645602,-0.0191303176861276,-0.0165213051132432,-0.00552142321769629,0.00191894412360663,0.0109647177318063,0.0131827353246749,0.013327353988094,0.0240421259195829,0.0341025987872186,0.0393264681060141,0.0571032853632346
"FOXC2",-0.0391089153613396,-0.330265930765252,-0.351829615161113,-0.110678607025991,-0.302863280120883,0.0233928909632292,-0.173214856595488,0.167249343436816,-0.154755716103183,0.143036095279436,0.143567450789482,0.288067347938935,0.271921760348473,0.236227687458949,0.352242895668583
"ZEB1",-0.0390446485801576,-0.330635248311193,-0.352242895668583,-0.110671552103419,-0.303131252501786,0.0233917059465797,-0.173722652760134,0.167701259839993,-0.154850030812505,0.143567450789482,0.14369285868506,0.288408031947914,0.27210175907517,0.236321793817586,0.252423854398965
"miR200a",-0.0307639614366677,-0.256177933544883,-0.284757928984712,-0.0761556847672377,-0.159950669983033,-0.0502936414829382,-0.0246018684636935,0.00921233077998486,0.0264768169356996,-0.00853768674411657,-0.00825459012096954,0.106792137836743,0.13026099439724,0.110341158610663,0.284972680169546
"miR101",-0.0271316353079653,-0.179975777516027,-0.25618951414187,-0.02644301370186,-0.142890765860609,-0.0729836390654216,-0.0607392402688376,0.131107017163643,0.020709920436632,0.0778158642023672,0.0780692113759628,0.114362482403194,0.11884452935164,0.101141962363135,0.256337156132206
"TWIST1",-0.0173030416224657,-0.122859267497674,-0.15520355718551,-0.0316867897636167,-0.0994335374823369,-0.0173245676130154,-0.138733912560735,0.0422951616844905,-0.0651918680617643,0.039841425342547,0.0400940721182929,0.152705458814777,0.0645346510391149,0.0305277744817592,0.155336567974163
"SNAI2",-0.0119689909091498,-0.00287376597737881,-0.0303966448555109,0.0458426934194508,-0.0219370274485893,0.00831264729525929,0.0954556833620921,-0.0596923430514516,-0.059550772110716,0.0104083393829854,0.010701734988039,-0.0663509116872054,0.00905128608511225,0.0122681049127715,0.0305711392070517
"miR141",-0.0106972516379991,-0.281255607639241,-0.313643886840861,-0.0833597276214636,-0.165372699730889,-0.0550250338340394,-0.0271444664710599,0.0100791835155796,0.0288513581641643,-0.00639026663310567,-0.00608089099852727,0.115964608352594,0.155424410847858,0.167564352768029,0.313983600999629
"miR200b",-0.00262249992064011,-0.164533199870341,-0.258912854989334,-0.00152163732617781,-0.132610308062041,0.0695045783225222,-0.120230786664987,0.0900562246949162,-0.140157200435501,0.15445453784139,0.154630129417772,0.151080914042101,0.130232073933475,0.0864537113114275,0.259056330996443
"TGFbeta",0.0142548966141636,0.123735807472577,0.125999706796272,0.0205377029143106,0.0707909450483715,0.0400327771872493,-0.0614661168394061,0.0477887443951272,-0.0621111216019444,-0.0309742766630831,-0.130967823801239,0.0328944350013866,-0.0581440419674134,-0.130426524680734,-0.126003158220612
"miR200c",0.0226892097193087,0.139455525775984,0.230026897133185,-0.00568240552804805,0.127188278314185,-0.0742359706736234,0.117688188657621,-0.0891893719593215,0.142531741663965,-0.152307117730379,-0.15245643029533,-0.141908443526251,-0.105068657482857,-0.029230517154062,-0.23004541016636
"GSC",0.142512276627822,0.0444633676009792,0.115180900113084,-0.00139005209919,0.126755807302903,-0.0889233811997999,-0.0716103439024104,0.129305090629928,0.0788997207612046,-0.0457579314250004,-0.0457118702835674,-0.0592397963596222,0.00926860763586319,0.0260741205984425,-0.115149945076503
"TWIST2",0.143854544660754,0.0800314830075453,0.165545421117604,-0.012917460259045,0.155699197351189,-0.015326198850366,-0.138164858677544,0.0526192098598765,-0.0199288788464997,-0.0613577965469013,-0.0612655534552298,0.0260295427654168,-0.013057554526662,-0.0132731384212286,-0.165500126084226
