"","ZEB2","miR200c","ZEB1","TWIST1","miR200a","GSC","miR200b","miR101","TGFbeta","SNAI2","FOXC2","miR141","SNAI1","TWIST2","miR34a"
"SNAI1",-0.114190400401613,0.0503936281201651,-0.0262291957599477,-0.191652469644686,0.0621562065904481,0.00159490379636721,0.0732711672641975,0.0984773411884469,-0.0015738889789384,0.100689088896497,0.0795631946590283,0.026079261916324,0.0969508775367804,0.0129259343525059,0.153977187132008
"GSC",-0.073758734504287,0.0629151745786145,0.05445326452509,0.309577608090083,0.0143781878158931,0.0188237057104681,-0.0111995268304274,-0.107380850938628,-0.0188066693978833,-0.0986570586906698,-0.117218702463868,-0.054614918605013,-0.213563300089218,-0.00396503874963218,-0.108027169604209
"ZEB2",-0.0713358614322666,-0.0243646410654435,-0.0227984605582061,-0.0166914352897794,-0.00992242650813702,-0.00757885638208658,-0.00583800368228839,0.00424466508775029,0.00791376276053079,0.0127857949049842,0.0183644724493604,0.0213875284471829,0.0219103591814878,0.0287012822450129,0.0617367039729378
"TWIST2",-0.0700065871640598,0.0659091422608925,0.0623649495376144,0.225017474576432,0.00376572107247188,0.00789773753093772,0.00539398319349429,-0.0759534597352891,-0.00790509434192993,0.0124015224679494,-0.0103957384296031,-0.0624647745140874,-0.177424023084056,-0.0912507868244329,-0.111254234557362
"miR200b",-0.0258914619121929,0.0199251758788685,0.0128137418734167,-0.211624491493335,0.00590324241001585,-0.108653761716722,0.0449412758482127,0.0429863714391715,0.108819797288948,0.142282258819275,0.116995636875169,-0.0133672815653598,0.229997954632522,-0.0764949982559293,0.0205143262684892
"miR200c",-0.0198433079570821,0.017513681826609,0.0148969028307752,0.133234560062536,0.00262068451774104,0.117992917586995,-0.0338456198761076,-0.0321034567525969,-0.117908108050102,-0.0900980891080851,-0.0894040946953325,-0.0154097138497325,-0.155222958743692,-0.0203675468546243,-0.132624087032025
"miR200a",-0.0198433079570821,0.017513681826609,0.0148969028307752,0.133234560062536,0.00262068451774104,0.117992917586995,-0.0338456198761076,-0.0321034567525969,-0.117908108050102,-0.0900980891080851,-0.0894040946953325,-0.0154097138497325,-0.155222958743692,-0.0203675468546243,-0.132624087032025
"miR101",-0.0135692205758268,0.045264691067409,0.079840112744947,0.172552802154014,-0.0329712522956067,0.00895236752763707,-0.0440630710176603,-0.0942152181946801,-0.00883449071770023,-0.0871578302746334,-0.0723328629621042,-0.0803560072746919,-0.175674026059622,-0.0459879613928707,-0.113510618698137
"TWIST1",-0.013017564693573,0.016199031337945,-0.0178312359652149,0.230269389932329,0.0152157898851795,0.0180500364263723,-0.0296243307691612,-0.04672249506801,-0.0179176976390769,-0.123316948040882,-0.0121935595475837,0.0172921922427797,-0.250972365983687,0.0765925653966016,-0.102150588825214
"TGFbeta",-0.010062005489124,-0.0214500091367101,-0.0571197156073112,-0.234327518890619,0.0303057628486283,-0.20214191027163,0.12840588788392,0.0594281147021226,0.102098353454182,0.140097533486279,0.10870342419317,0.0572204344448715,0.260600610357905,-0.06059423628282,0.195317219242878
"FOXC2",-0.00174022602528806,-0.000251509892982011,-0.00131111793160796,-0.105902045838141,0.00172619280703281,-0.00106122592026836,0.00603544906289748,0.0155469993157839,0.00103355115412014,0.0882455570206584,0.0939289388982381,0.00146382881679714,0.119285257740785,-0.0854146141786161,0.0209428006179685
"ZEB1",-0.00168365941143664,-0.000114340445306078,-0.101363250086621,-0.105911006946929,0.0016978328790323,-0.00103355115412014,0.00600869333348094,0.0155695146321241,0.00106042427460129,0.0882363950203243,0.0939304812750408,0.00131111793160796,0.119265268793497,-0.0853459491845583,0.0208435698429986
"SNAI2",0.00388639653444513,-0.00971201854821559,-0.016615635035225,-0.165449119268795,0.00622328269763686,-0.00658286090215677,0.020822190234173,0.0349409181468283,0.00662306379847606,-0.0470016110032704,0.0395727786820595,0.0164498486551622,0.130207991748657,-0.00446996955194533,0.0621401281670952
"miR34a",0.00822817192166665,0.100766898561648,0.105459530099428,0.199495435670186,-0.108068236095119,0.016754305754401,-0.0981134307144606,-0.0573280682667077,-0.0167172950091502,-0.0972363920982725,-0.0986297561767231,-0.105521339170735,-0.228392729552213,0.143132758953487,-0.150909757597173
"miR141",0.0258914619121929,-0.0199251758788685,-0.0128137418734167,0.211624491493335,-0.00590324241001585,0.108653761716722,-0.0449412758482127,-0.0429863714391715,-0.108819797288948,-0.142282258819275,-0.116995636875169,0.0133672815653598,-0.229997954632522,0.0764949982559293,-0.0205143262684892
