"","SNAI1","ZEB2","miR101","miR200b","SNAI2","miR200a","TWIST1","TWIST2","miR141","ZEB1","miR200c","GSC","TGFbeta","miR34a","FOXC2"
"TWIST1",0.181331163494193,-0.116402906315491,0.0646841490382442,0.0130196489893383,0.0148896684946966,0.11085442583241,-0.161641781331062,-0.0516272349357325,-0.104040786717888,-0.103978300168053,-0.11085442583241,-0.0469299981787563,-0.0465490228819966,-0.0164766331803715,-0.181256192296755
"TWIST2",-0.0357151457564566,-0.105884480301168,-0.0161807749428719,0.0104452416008981,-0.0108823408039279,0.0880007280144864,0.166019408651233,0.0209966298873128,-0.0726019604726927,-0.0726028399879039,-0.0880007280144864,-0.0390218679104687,-0.0380886847315341,0.0657442826250118,-0.0770307488394883
"SNAI1",0.0164834672253804,-0.0671536904246928,0.0448615168053294,-0.03526390055352,-0.130227865336961,0.0649317579903999,-0.102189992476775,0.119710804026072,-0.061898477860096,-0.0619327926160593,-0.0649317579903999,-0.012751616849691,-0.0120612999224538,-0.0939039129320354,-0.0497508847582105
"ZEB2",-0.0732056620764922,-0.0625352105420911,-0.0601682590287312,-0.044403286267571,-0.0422322315164061,-0.021873656665747,-0.00463703037667298,0.000872722348320128,0.00145683347679446,0.00163948324213679,0.021873656665747,0.0240055765377606,0.0274738872902851,0.0375644787106566,0.0820583167284773
"miR200b",0.132477685233904,-0.0424021252305791,0.101724770936799,0.0537702371737789,0.0735519055888149,0.0229954014806775,-0.0387180848063743,-0.0389695661363864,-0.00104801316724718,-0.00110910617672586,-0.0229954014806775,-0.137256196607909,-0.135205239215742,-0.0088073018454187,-0.126123459276326
"miR200a",0.0722550175706693,-0.028214573140359,0.0511950185444759,0.0700252674864516,0.0316239746230524,0.0202917135744036,0.0275805356126237,0.0356337266575665,-0.0114305546240921,-0.0113722385695898,-0.0202917135744036,-0.129518631413952,-0.128208264343942,-0.0830425411922648,-0.0997253709142884
"miR141",0.108341123629468,0.00552199356061528,0.0839513610856285,-0.0113042179875892,0.0583001579535133,0.000265217807200147,-0.0405506072573695,-0.0380350557852834,-0.00565322079189261,-0.00579669679900161,-0.000265217807200147,-0.10267553117739,-0.103049409840028,0.00600368061629608,-0.093679046920647
"miR34a",0.158727102139832,0.0122892048271679,0.0887715671626546,-0.00176077233859576,0.0441953518964763,0.064139004320003,-0.156526356288272,-0.145434052496147,-0.0482003178217244,-0.0482324019198074,-0.064139004320003,-0.00932760287753923,-0.00911949327719461,-0.0591828554496132,-0.0594622232506102
"FOXC2",-0.094570185756845,0.0141121078174399,-0.081056575793201,-0.0141619108419124,-0.070520694708259,-0.00337137758941619,0.0852786312232016,0.0721199180382016,-0.00102035631623643,-0.000882596147079757,0.00337137758941619,0.00542308224497566,0.00456516449438065,0.0217243712377623,0.0844045623505905
"ZEB1",-0.0942656482658107,0.014624761265486,-0.0815104371699533,-0.0138712882637673,-0.0699736693941911,-0.00300038342924626,0.0851322664463332,0.0722889395620363,-0.000882596147079757,-0.100816929682592,0.00300038342924626,0.00456516449438065,0.00514613576573518,0.0217131797969763,0.0846282069869752
"miR200c",-0.0722550175706693,0.028214573140359,-0.0511950185444759,-0.0700252674864516,-0.0316239746230524,-0.0202917135744036,-0.0275805356126237,-0.0356337266575665,0.0114305546240921,0.0113722385695898,0.0202917135744036,0.129518631413952,0.128208264343942,0.0830425411922648,0.0997253709142884
"SNAI2",-0.00978588761694638,0.0309285092464406,0.0290333623670427,0.0112967738408901,-0.0292994300672032,-0.0250593879066756,-0.0672278216908208,-0.079256042405132,0.0204355736105727,0.0203789717959654,0.0250593879066756,0.0064837403782385,0.00692426147620526,-0.00912154134347268,0.0249917437325225
"TGFbeta",-0.0793025403183361,0.0841350298221541,-0.0543771005709965,-0.0792455225558137,-0.028181557214769,-0.078657390694708,-0.00376905577849666,0.0327745747415138,0.0751881919982527,0.0750906108191834,0.078657390694708,0.221688668744892,0.122713060562663,0.057342050016721,0.0931326549559862
"GSC",0.0146298699930079,0.112129664877539,0.00570617077975038,-0.0309592680110176,-0.109749765443074,-0.103027780836423,-0.118325766977803,0.0939093634627342,0.0958742483587007,0.0958319922770187,0.103027780836423,0.0554659961230465,0.0545782149450171,-0.0755700253160122,0.185541971204108
"miR101",-0.172124952935267,0.124190062123565,-0.0801825412738504,0.000162504886095727,0.111897654876208,-0.0978879120780851,0.155603892605405,-0.0596894339584909,0.0764430068652047,0.0764208435179255,0.0978879120780851,0.0451726004870412,0.0444583022059314,0.0441296141919197,0.0811132750916407
