"","ZEB2","miR34a","miR200c","miR141","TGFbeta","GSC","FOXC2","TWIST1","ZEB1","TWIST2","miR101","miR200a","SNAI2","miR200b","SNAI1"
"GSC",-0.142494135560263,-0.0881916892241228,0.0512934915450738,-0.0416668432104314,0.0251729556500624,-0.025118060865067,-0.00500348860184016,0.123574623335857,0.0416250784785364,0.092584000543127,0.187970016565684,-0.0847242865110956,-0.0882883122049579,-0.0723405013279439,0.180477158138738
"ZEB2",-0.0755255647424073,-0.0284523091314701,-0.0171052820414006,-0.00650532426605554,-0.00242531880939294,0.00210309827861707,0.00302821889955716,0.0061424893211537,0.00682135315159336,0.00807629952697695,0.00951526557143831,0.0128884491792262,0.0155578957820766,0.0157817725725919,0.0346551093113516
"SNAI1",-0.0503432280418802,-0.0903099396419294,0.0871476810316448,0.112441044845647,-0.0446214977827776,0.0444973914081508,0.0568023432078421,0.250804018522699,-0.112397455831315,0.170529161982087,0.256430851353117,0.0268131286476115,-0.214129402229156,0.084642611881113,0.0967613565519862
"SNAI2",-0.0463456685662876,-0.0179570277469512,0.00249192215206693,-0.0413871572806648,0.214864177846803,-0.21474527991939,0.0418154985309653,-0.12455726854289,0.0413754350113674,-0.180759024479394,-0.199631893668584,-0.0436473426987192,0.0796102379602328,-0.227236491666301,-0.0219150241657585
"miR200c",-0.039847884720021,-0.0953158696262704,0.023134645245402,0.00673092577330512,-0.0820285184486428,0.081969987923182,0.0127255756065032,0.0250163802215283,-0.00661336801264161,0.032135027322713,0.0375025076775855,-0.0162223278359545,0.0419658264091855,-0.0717132199757592,0.115985110349699
"TWIST2",-0.0327051662099037,0.108110284551739,0.0418207954727477,0.055047848163166,0.0113504710778188,-0.011501568657428,-0.0908763941823739,-0.124807352549807,-0.0548882161523303,-0.202777273822324,-0.188359660952232,0.0121095730344092,0.197948689849775,-0.052210573254227,-0.18765758614434
"miR34a",-0.00756229635519099,-0.0659987090519356,0.0879378828152507,0.075185514943985,-0.0223226236306903,0.0223669151782855,0.153218581455517,0.0801755612396019,-0.0751685292449999,-0.113372020872445,0.11389754088566,0.081414627259767,-0.0035979618646449,0.0173714512079778,0.235697859140953
"miR141",-0.00212323877332143,0.108545152718574,0.00287993897366531,0.00255519295823307,0.0883564224440814,-0.0885487370277382,-0.0139173754210178,-0.0275735872792541,-0.00242745302932312,-0.035251791627116,-0.0410806868610746,-0.000457056610992246,-0.0463366869834509,0.0233541551217003,-0.12774215192215
"miR200b",0.00212323877332143,-0.108545152718574,-0.00287993897366531,-0.00255519295823307,-0.0883564224440814,0.0885487370277382,0.0139173754210178,0.0275735872792541,0.00242745302932312,0.035251791627116,0.0410806868610746,0.000457056610992246,0.0463366869834509,-0.0233541551217003,0.12774215192215
"miR200a",0.00212323877332143,-0.108545152718574,-0.00287993897366531,-0.00255519295823307,-0.0883564224440814,0.0885487370277382,0.0139173754210178,0.0275735872792541,0.00242745302932312,0.035251791627116,0.0410806868610746,0.000457056610992246,0.0463366869834509,-0.0233541551217003,0.12774215192215
"FOXC2",0.00544732194991324,0.0243099402974183,-0.00767708179006936,-0.00897373035524525,0.000955368872964702,-0.000877879527749669,-0.109063820111161,-0.0213354659159332,0.00886373580157752,0.0728925465795363,-0.0360575735102931,-0.00241868674377051,-0.072466704118327,0.00235227174277742,-0.146679296255384
"ZEB1",0.00562235267654249,0.0244599056039519,-0.00751560383267871,-0.00886373580157752,0.000884986890752149,-0.000955368872964702,-0.109244278197072,-0.0213384529521958,-0.0911076917673096,0.0729400838831148,-0.0361203793927157,-0.00246093724875086,-0.072424127763833,0.00233935518374874,-0.146798054118683
"miR101",0.033295606247257,-0.0404760438162253,0.0382078527170672,0.10600740609489,-0.0457860706488424,0.0459233003678733,0.0924023048168804,0.24127247874073,-0.106158457830962,0.0948056464097845,0.256357874109817,0.0682793826980097,-0.174481413413851,0.10799455105991,0.238687712329487
"TGFbeta",0.106304254643206,0.145795782995332,-0.061219489874322,-0.0153584080486667,-0.101839062061924,0.00168741980858444,-0.041281174262318,-0.0775904999957212,0.0154327705549028,-0.00123867931339733,-0.10059643215319,0.0440387500875138,-0.0149314909674453,0.108439180721057,-0.212953612386126
"TWIST1",0.11192011245175,0.0841054847331823,-0.0279936457721343,0.0616167180135433,-0.0353891673327142,0.0353463911590429,-0.177063382416053,-0.109657112537312,-0.0616029761581854,0.00834203964472048,-0.0528016762812119,0.0823555189619007,-0.0220673634601465,0.073898104505641,-0.158751513620298
