"","miR200c","TGFbeta","SNAI1","FOXC2","miR101","TWIST1","miR34a","TWIST2","miR141","ZEB1","SNAI2","GSC","ZEB2","miR200a","miR200b"
"miR200c",0.179485818600699,-0.0546959266773952,-0.0887928143849574,-0.00813502882076753,-0.0811038282927233,0.0575700496819721,-0.13761120695681,0.203764002807843,-0.0449912205963031,-0.044608926461232,0.24834000811671,0.055153420376405,-0.319751997500698,-0.132504052536869,-0.224057837412798
"GSC",0.192383386150814,-0.00337390951117085,-0.024700840768718,0.129147225260594,-0.0147792370656223,-0.0373972761006782,-0.109315405558925,0.132001831363183,-0.154142893573773,-0.154279980164346,0.150355387421366,0.00329377574456833,-0.242793931143113,-0.0313514738634815,-0.205249900339701
"miR200a",0.106325471254382,-0.0589188392987517,-0.110739292416003,-0.0215593246891726,-0.0137974416579165,0.0284129031008964,-0.00668742467004886,0.0659895463859019,-0.0118807523677735,-0.0120955035526076,0.138732720870341,0.0589272008023889,-0.200825795017586,-0.0937077712013946,-0.10980824896605
"miR101",0.0454800789240041,0.0402989374028659,0.0241980332636234,0.0965497463271811,0.0206882331672539,-0.048990711299308,0.0679609238005753,-0.122445368744866,0.0908667111502933,0.090829544921779,-0.160513743955699,-0.0402250444772338,-0.178078795816534,-0.135126486047114,-0.00511994698221435
"FOXC2",0.0774332827048792,0.0139673252179379,0.0407609040128246,0.0694817740086905,-0.0992062805561003,0.03343357834791,-0.0338404255483815,0.142916132455614,-0.0272475686444801,-0.0265587677986968,0.150133571379335,-0.0134470396143512,-0.147524421535047,-0.045262074158777,-0.0895030886240119
"TWIST2",0.0844363250699674,0.0145339498939626,-0.117265957961527,-0.165169975089076,-0.0380866300728747,0.275741833653686,-0.0884349237500864,0.187185813996357,-0.0706454252730877,-0.0705130582337997,0.182887217489373,-0.0144813203999415,-0.101288989695347,-0.0133759415822607,-0.113065888303846
"SNAI1",0.0250626893112569,0.00777921755058426,-0.0683203144236142,0.117095607814737,0.00132004418663069,-0.0556811319631886,0.083429126577544,-0.108949464364165,0.0532137054571486,0.0530059620696948,-0.129366267928573,-0.00790253091323261,-0.0913395495897302,-0.0675403599685631,0.0227043721166064
"SNAI2",0.0348268214419896,0.209295893856052,-0.111220217645719,-0.168576550570187,-0.231128284893285,0.265874941140261,-0.0653046240087363,0.367339603312806,-0.0377419264377099,-0.0376866643110223,0.268428830939384,-0.209204368113368,-0.0331256572176002,0.00240521785098862,-0.268155611012222
"TGFbeta",-0.0771516607820017,-0.100866091622864,0.124915076791312,0.0478644298928758,0.087384662044308,-0.104476933048464,0.160031706274891,-0.279955972139937,0.10281969035765,0.10290283830766,-0.295227180616324,0.000859638761019797,0.0580982228290295,-0.0257990648248139,0.210232398137838
"miR34a",-0.155316552607247,-0.00622359911216445,0.0194753280462859,-0.00140118757892045,0.105208846061394,-0.136683484553311,0.0442870828697149,-0.278056872203337,0.0937008400245605,0.0934814414126696,-0.198196927778521,0.0059669508295237,0.145090775381598,-0.0351714605124681,0.167082981245325
"ZEB1",-0.0770553432562193,-0.0137715353401466,-0.0409443319997025,-0.0692858921547536,0.0989088413770799,-0.0336516319950813,0.0334800611550695,-0.142995361294912,0.0265587677986968,-0.0730908439671296,-0.150162135262729,0.0139673252179379,0.147852863287724,0.0456307532227836,0.089160799809752
"miR200b",-0.0690438077742601,-0.111225016014619,-0.106846598781907,-0.0110050061319319,-0.0836779653746859,0.0615902724799475,-0.128054061090421,0.212326814160528,-0.0252279600856402,-0.0248799150619435,0.270334693869215,0.111594116675178,0.161964914878078,0.0952757766105991,-0.0215097261065727
"ZEB2",-0.287011509381206,-0.0734626030811048,-0.0516425079737347,-0.00695437703261492,-0.00613552064297856,0.0097850521421497,0.0205384201194512,0.0226075783594018,0.0366572125993338,0.0367552562063432,0.0633428137386789,0.0734752889287732,0.233506691566598,0.254990847300101,0.268031622247395
"TWIST1",-0.171190430748035,-0.0228380535852988,0.0132256500309617,-0.159586165493811,0.0890802786645172,-0.0230063259462878,0.0270482548507073,-0.147636821534872,0.098117933092808,0.0978952113238941,-0.157013010828327,0.0225399571250272,0.274950051791906,0.0759351114047743,0.166896228929586
"miR141",-0.179485818600699,0.0546959266773952,0.0887928143849574,0.00813502882076753,0.0811038282927233,-0.0575700496819721,0.13761120695681,-0.203764002807843,0.0449912205963031,0.044608926461232,-0.24834000811671,-0.055153420376405,0.319751997500698,0.132504052536869,0.224057837412798
