"","miR200a","miR141","ZEB1","TWIST1","miR34a","SNAI1","TWIST2","FOXC2","miR101","SNAI2","GSC","TGFbeta","ZEB2","miR200b","miR200c"
"GSC",0.13549895489816,-0.087988678997806,-0.087872720448074,-0.211365258503692,0.0144570584091714,-0.125030214600769,-0.00236305849747666,0.0591125859669284,0.103117757699943,-0.0153171597259045,-0.0261747501049981,-0.0260845207457527,-0.198679292793055,-0.124612704231851,-0.13549895489816
"miR34a",-0.0915467464448252,0.191376541703414,0.191904513846868,-0.0564676561232941,0.131201010372825,-0.0484129402237712,0.0627888109016177,0.134557734019932,0.00919435767642588,-0.0655006768632165,-0.0267826510417587,-0.0263536904369667,-0.15312915944881,0.0688510624164095,0.0915467464448252
"TWIST2",0.0366850716760939,0.0749761660594354,0.0746107274891753,-0.061643055942043,0.0178099643986932,0.0342348932016121,0.0796691993927819,0.0270090070649961,-0.011329510072784,0.0463497487303842,-0.0162198461730611,-0.0165022345334543,-0.151015752731927,-0.0325078670245045,-0.0366850716760939
"TGFbeta",0.0491256760073326,0.0363345837748736,0.0366329750973653,-0.180874748146193,0.14268799734946,-0.149233146324251,0.138950834347694,0.109553144770369,0.117297344111732,0.0840039644507094,0.180819219246058,0.0810176447477681,-0.14420299995047,-0.128368471052592,-0.0491256760073326
"ZEB1",-0.154968043910348,0.211016264669971,0.110860870746375,-0.099094438523325,0.218055258664112,-0.0936825834875334,0.111142176736624,0.113732889305954,0.00133916438320069,-0.0930099868906739,-0.0147404086753222,-0.0148619775536893,-0.121031777012417,0.168336146643967,0.154968043910348
"miR200b",0.161715886480644,-0.203085526684347,-0.202968894575342,0.18526861762387,-0.21750219818644,0.159956207204529,-0.130015984199441,-0.0896320369292187,-0.115181017302925,-0.0707710812548001,-0.12777111402767,-0.127614634459601,-0.114041861150298,-0.104581341285047,-0.161715886480644
"miR141",0.161715886480644,-0.203085526684347,-0.202968894575342,0.18526861762387,-0.21750219818644,0.159956207204529,-0.130015984199441,-0.0896320369292187,-0.115181017302925,-0.0707710812548001,-0.12777111402767,-0.127614634459601,-0.114041861150298,-0.104581341285047,-0.161715886480644
"SNAI2",-0.0459810969504348,0.0935179606187276,0.0936000165038092,-0.127032143964533,0.0720004338588185,-0.039215504695672,0.111731946946844,0.0561884402685756,0.0508892683771773,-0.03159808163972,0.00472630093762247,0.00477847916476028,-0.00406604191867799,0.0195099535922118,0.0459810969504348
"miR101",-0.127013587239078,0.204927538070704,0.205400469804185,-0.0931492235690606,0.156018822629277,-0.0855567858767659,0.0751047672913783,0.17711449617944,0.110647872841891,0.0320442361876994,0.0118897839365622,0.0122522111432337,0.0429519336837262,0.108745257904798,0.127013587239078
"ZEB2",-0.163610424426937,-0.0654640461837077,-0.0653530628113062,-0.042888560770109,-0.0415994185239222,-0.0397307366161571,0.00421106955438029,0.0107081511965911,0.0433926380916804,0.0473620671108381,0.0672467445564997,0.0672594304041681,0.0863591438589275,0.159746484516582,0.163610424426937
"FOXC2",0.15488527922251,-0.210808022553804,-0.211016264669971,0.0999935364383737,-0.218163442591711,0.0932816287213453,-0.110505705060934,-0.113897923623838,-0.00115074673593275,0.0923724194556567,0.0149230621319005,0.0147404086753222,0.121113221089952,-0.168500371465903,-0.15488527922251
"SNAI1",-0.00322158058967892,-0.120974707063455,-0.120482862227981,0.0626026688743196,-0.144672198718601,-0.0359789986805333,-0.0782675996274502,-0.166444343081313,-0.109636849998107,-0.0449463260455519,0.0104236623492923,0.0108062906288924,0.133827334100231,0.0174041976275192,0.00322158058967892
"TWIST1",-0.152529855828983,0.138630587829716,0.138271484628382,0.0145876136811568,0.0517339137685574,0.0155744416956435,0.104556157175199,-0.20217839160432,-0.0174811987862507,0.0505849843524951,0.0245023976352656,0.0242149952184118,0.176722083589159,0.092184081616779,0.152529855828983
"miR200c",-0.000773575528548313,-0.205711775801029,-0.206008909983493,-0.104915282355744,-0.100202723583296,-0.0976826392279875,0.0195941320927164,0.0374285484156971,0.114591295986949,0.131314148791823,0.141178174801231,0.140864021164575,0.208206825943902,-0.0359622200368684,0.000773575528548313
"miR200a",-0.0189322430778977,-0.233272369765688,-0.233217756317821,0.168080182510901,-0.234611750063644,0.145890017512539,-0.128442028374998,-0.0849925487747728,-0.100558537834945,-0.055763069436596,-0.073857670859796,-0.0737752503239431,0.278659616774387,0.0429276831770923,0.0189322430778977
