"","SNAI2","ZEB2","TWIST1","miR200c","miR200a","miR200b","TGFbeta","GSC","miR34a","miR141","ZEB1","miR101","FOXC2","TWIST2","SNAI1"
"TWIST2",-0.103219059192739,-0.115174219461689,0.0699175314909551,0.0927051988317099,0.0927051988317099,0.104279731803156,0.01785234504111,0.0185206830243251,0.0747697109337684,-0.0735373419476134,-0.0730540483390505,0.177526610065303,-0.167748230457756,0.129926179525346,-0.270449473352938
"ZEB2",-0.0726895128746977,-0.0674937529922536,-0.0531387131323023,-0.0202177996604693,-0.0202177996604693,-0.0192298480650204,-0.0135770454952665,-0.0117655064482273,0.00331336020140653,0.0061700657635809,0.00738192456087948,0.0135677019806236,0.0268009292759503,0.0437251539825699,0.0463529051274013
"miR200c",0.291712905357327,-0.0339812776370495,0.21509748861342,0.0179444292997188,0.0179444292997188,-0.0135214148079029,0.133558015877905,0.134887494956228,0.00901509503207163,-0.00148354227439923,-0.000578254952124349,-0.0580734001566041,-0.0956415992212774,-0.168486600865408,-0.176870333680204
"miR200a",0.291712905357327,-0.0339812776370495,0.21509748861342,0.0179444292997188,0.0179444292997188,-0.0135214148079029,0.133558015877905,0.134887494956228,0.00901509503207163,-0.00148354227439923,-0.000578254952124349,-0.0580734001566041,-0.0956415992212774,-0.168486600865408,-0.176870333680204
"miR141",-0.128082859182623,-0.0300027568677432,-0.0902302293974972,0.025739236233245,0.025739236233245,0.0955845661979637,-0.098781228631958,-0.0975616436014385,-0.111950103674593,-0.0192451030843383,-0.0183990574682245,0.0154409014296871,0.0543881887020194,0.0123941917757157,0.0961823077831825
"miR34a",-0.280922639084504,-0.0122357002250139,-0.120009537033888,-0.0367090838287231,-0.0367090838287231,0.0966053196418988,-0.0514781893893918,-0.0520661141787035,-0.0308756862735352,0.00349706230231291,0.00312715152441508,0.142538984381139,-0.00712146126624172,0.3041615927918,0.0153236711355712
"miR200b",-0.265530386719316,-0.0118601179365803,-0.193483007501118,0.0107156315558,0.0107156315558,0.0696209445423534,-0.11922133638545,-0.119267921905715,-0.0134516204074618,-0.008627013817462,-0.00864645250229612,0.0524977243709606,0.085076761485859,0.152071704207034,0.16103722241146
"TGFbeta",0.305283679541787,-0.00328633827735997,0.179055146837617,-0.0109817479002495,-0.0109817479002495,-0.167611695963564,0.115379758612661,0.215405570060038,0.13782784639194,0.0215481493892551,0.0215352849894421,-0.091390254142959,-0.0297401392131038,-0.188795428522671,-0.12115686001215
"TWIST1",0.075642725444721,0.00657719036345908,-0.129404352261123,-0.023688123733474,-0.023688123733474,-0.0459198339692782,-0.0026744686910353,-0.00258891634369277,-0.0625597364960916,0.0677606821030424,0.0677962035027412,-0.145317820032942,0.230634128825009,-0.108834343161782,0.249295711871547
"miR101",0.178133129104666,0.0122566843337734,0.215246374591372,-0.00553862438251727,-0.00553862438251727,-0.0379571330423653,0.0104911671335929,0.0104841297121041,0.0965868324161432,0.000141594682028521,0.000140571758307943,0.0578552249969863,-0.0834413607595529,-0.0447513838619183,-0.193531935889871
"FOXC2",-0.182748400775606,0.0179658965781031,-0.126611898873372,-0.00863522855567481,-0.00863522855567481,0.0140000347295547,-0.0120146841839981,-0.0134814467898541,-0.00653904437811348,0.000585057264529442,-0.000413436984784427,0.0436557160602748,0.0897126891929025,0.143883362320444,0.0995993735410184
"ZEB1",-0.182607737123417,0.0191306949669912,-0.126504365567917,-0.00711478915042301,-0.00711478915042301,0.0152815419074711,-0.0128311151776637,-0.0120146841839981,-0.0071217453950424,-0.000413436984784427,-0.0998439934454121,0.0440171461383674,0.0897759266418112,0.144591139951501,0.0996170108474489
"GSC",0.158750682993436,0.024336849388011,0.21200166784226,0.00500738370746295,0.00500738370746295,-0.0294543217734704,0.0194176684528788,0.0192643416396157,0.0236659907071255,-0.0519623670595709,-0.0520665332144149,0.00550167063443137,-0.0499641632059818,-0.0708663712991695,-0.0725095605654953
"SNAI2",0.254592032601893,0.0710543056242555,0.0471264791503026,-0.0468909501749921,-0.0468909501749921,-0.275331164732227,0.197972546819025,0.198349769739808,-0.064723522605465,0.0250555318000686,0.0252574897539632,-0.382090556033224,0.142791728323839,-0.357973655703341,0.212992703586573
"SNAI1",-0.151734322643039,0.0997896662783827,-0.178016383980645,0.00060359720169677,0.00060359720169677,0.0485090883799449,-0.00485805643533912,-0.00485924595330679,-0.189519006600845,-0.100758707350627,-0.100756543357007,-0.0564802286450785,0.0611704608748613,0.00525029124123454,0.0622194787766386
