"","miR200c","ZEB1","miR34a","SNAI2","TWIST1","SNAI1","FOXC2","miR101","TWIST2","TGFbeta","GSC","miR141","ZEB2","miR200a","miR200b"
"TWIST2",0.235462675615666,0.233064149049522,0.213527571212901,-0.0281780377792608,-0.231449367398292,0.166315462672411,0.00180054621945036,-0.0788664454029712,-0.0228819125072144,-0.0279124962892033,-0.0279356985392557,-0.233007860076004,-0.239010161108966,-0.235462675615666,-0.157008491214394
"GSC",0.0810597772588354,-0.0612764370236366,0.06756520447664,0.123684692109331,-0.277720557642945,0.224847360477376,-0.127879863261273,-0.098614103254125,-0.0932534640783571,-0.038509499300296,-0.0386451588264341,0.0612587484313046,-0.238683938220701,-0.0810597772588354,-0.0913349370782909
"miR200b",0.0186786450474695,-0.184306930361968,-0.168642592857979,-0.0518196067297424,-0.0792299388786012,-0.0239233013037943,-0.0262848352361853,-0.0129321060359894,0.0979925244493867,0.0807099399374674,0.0805391263631635,0.184134759153437,-0.221410105849857,-0.0186786450474695,0.0119651868472607
"SNAI1",0.150472224559183,0.129474497678929,0.204260386643986,0.099405328263933,-0.122849154845766,0.0557892957094315,-0.0696935214538899,-0.0795954730305745,-0.134873700887223,-0.032973888964784,-0.0329354278838294,-0.129403085889491,-0.183829723968028,-0.150472224559183,-0.135166256084846
"TGFbeta",-0.024917746722078,-0.0893906920838896,-0.124276423862296,-0.0856713983396022,-0.0798397081146553,-0.0480056844999742,-0.0158126550900805,-0.0173106658985975,0.130881903187376,0.093920140694652,0.193813668474222,0.0892460460274556,-0.0434012956603268,0.024917746722078,0.110652760240891
"FOXC2",0.166069971174177,0.164740032728814,0.145273334346635,-0.111960883494253,0.118106777957538,-0.149673343766092,0.105652351388827,0.0170410952683331,-0.0694693310722073,0.00717628851057908,0.00741982645268347,-0.16455742041156,0.0317585320515275,-0.166069971174177,-0.162814972905999
"ZEB1",0.16627543595867,0.0647846458230081,0.145393455811073,-0.111988369495255,0.118247168661881,-0.149777991784247,0.105693995562499,0.0171394516502403,-0.0697624777776081,0.00705855864942354,0.00717628851057908,-0.164740032728814,0.031771859264215,-0.16627543595867,-0.163012411736865
"miR101",-0.0768435685373203,-0.0894476730510229,0.0431849326356327,0.119874109426284,-0.188779974657274,0.21061181900211,-0.098253492286396,-0.0956021545788115,-0.0627597218881098,0.00202451679198234,0.00198229226304974,0.0894255097037437,0.0610532720200248,0.0768435685373203,0.057715844820519
"ZEB2",-0.217916742635885,-0.0691238272788372,-0.0640072943856009,-0.0282653063580369,-0.0249994460702936,-0.0181709866826988,-0.00827611453262896,-0.00482963765488087,0.0435037962008116,0.0649396523643824,0.0650081559417914,0.0690247883052592,0.0749992142342372,0.217916742635885,0.222697077678673
"SNAI2",-0.0841290676194347,-0.0525426501346396,-0.031945450051629,-0.0258283345047892,0.084521820982905,0.00180043407739812,-0.0247162457471193,0.0347881628957215,-0.072545275943511,0.00969366934199927,0.00979032736932013,0.0525577216237362,0.115397819186998,0.0841290676194347,0.0473712937749397
"miR34a",-0.222939469804872,-0.220791467080018,-0.206743115116107,-0.091831986546356,0.093274538122003,-0.176545870462052,0.0849819246754962,0.0358198999308994,0.0743092557479344,0.0296885030711125,0.0297327946187077,0.220705123110177,0.126227777607809,0.222939469804872,0.173391424155001
"TWIST1",-0.196362039697703,-0.205175816484766,-0.189607995168658,-0.103675478007532,0.0390381184792488,-0.151297212969885,-0.0224620679564781,0.00837179915328992,0.185268664235034,0.0332124960631576,0.0331857609546131,0.20504695418075,0.186001066150526,0.196362039697703,0.169064283431081
"miR200c",-0.191106900498434,-0.186285454546777,-0.0838273072591441,0.128869605975488,-0.0165786396390012,0.130100298019787,-0.018569384471329,-0.000707293935923225,-0.0242840648049951,-0.0870348011254361,-0.0870742196425832,0.186299339321659,0.196396313562491,0.191106900498434,0.123071233010004
"miR200a",-0.191106900498434,-0.186285454546777,-0.0838273072591441,0.128869605975488,-0.0165786396390012,0.130100298019787,-0.018569384471329,-0.000707293935923225,-0.0242840648049951,-0.0870348011254361,-0.0870742196425832,0.186299339321659,0.196396313562491,0.191106900498434,0.123071233010004
"miR141",-0.0186786450474695,0.184306930361968,0.168642592857979,0.0518196067297424,0.0792299388786012,0.0239233013037943,0.0262848352361853,0.0129321060359894,-0.0979925244493867,-0.0807099399374674,-0.0805391263631635,-0.184134759153437,0.221410105849857,0.0186786450474695,-0.0119651868472607
