"","ZEB2","ZEB1","miR200c","SNAI1","miR101","SNAI2","TWIST2","TGFbeta","miR200b","GSC","FOXC2","TWIST1","miR34a","miR200a","miR141"
"TWIST1",-0.128147088704121,-0.212438678542659,-0.0540414334740772,-0.00491315018864578,-0.067442292544076,-0.0983090936627615,0.0626821471500206,-0.0859962657043466,-0.156946775748459,0.0861646968881772,-0.0849704746665185,0.000937060259546415,0.107537626872249,0.0540414334740772,0.212197288592882
"miR34a",-0.090145490152443,0.0533115699713756,0.108413439401791,-0.0278406350329381,0.0805523709966606,0.187887628082196,-0.231205074791477,0.0514161496021472,0.0943102437330091,-0.0515174741014403,0.0233478832810912,0.0991744513998109,-0.0398824551550815,-0.108413439401791,-0.0533799845922878
"GSC",-0.0768798258165146,0.135849068570705,0.110439196658716,-0.0104995241879391,-0.0344549782147934,0.0449968292333458,0.0274904969642821,0.031829968256814,0.0362395686673332,-0.0316148059386135,-0.0645173524559972,-0.0966599229400404,-0.0964825530495521,-0.110439196658716,-0.135839732924752
"ZEB2",-0.0739504829829139,-0.0544763785665138,-0.0405084300071932,-0.0211870858670489,-0.0179123459405114,-0.0141424714716733,-0.013735497424995,-0.0095361379953086,-0.00209949316114336,0.0100867037841146,0.0133895441750941,0.0249462692548915,0.0403296189166164,0.0405084300071932,0.0540339381267609
"TGFbeta",-0.0149095603134298,-0.0927427529838857,-0.0391669476247405,-0.019763114046405,-0.0897370346406598,-0.160471614404375,0.147176437757401,-0.130194008001337,-0.151522269478507,0.0304376035359566,0.0363256469766463,-0.00458498507127042,-0.0125513891986007,0.0391669476247405,0.09264391674142
"miR200c",-0.00639831212597214,0.272071372891213,0.14242229693208,0.0702332027451891,0.0536850639730057,0.0386061698082148,0.0612960734129312,-0.019513584024278,0.11688856194948,0.0199113526973074,-0.0342362654252521,-0.0873332093540841,-0.160068725844639,-0.14242229693208,-0.271953815130549
"miR141",-0.00639831212597214,0.272071372891213,0.14242229693208,0.0702332027451891,0.0536850639730057,0.0386061698082148,0.0612960734129312,-0.019513584024278,0.11688856194948,0.0199113526973074,-0.0342362654252521,-0.0873332093540841,-0.160068725844639,-0.14242229693208,-0.271953815130549
"miR101",0.0141828745211341,-0.244786775901503,-0.130904765391531,-0.022112858976645,0.00662624533682783,0.132703669957445,-0.0991304659687755,-0.0561791332946864,-0.066169242592541,0.0559081925673689,0.0187064863566526,0.0355043098829462,0.126325561707668,0.130904765391531,0.244571620945608
"miR200a",0.0198861874778718,-0.242065576927339,-0.132557953283462,0.0155621105716094,0.115336415199878,0.213554435082784,-0.211357740611489,-0.14059722694487,-0.0185561789678604,0.140242460290546,-0.0329554867250387,0.0101204787210746,0.213495519109882,0.132557953283462,0.241759186228287
"FOXC2",0.0219802805074778,0.293465238897157,0.243467331912573,0.0734223216484605,-0.0807714057650723,-0.230963696553304,0.298974783670011,0.117113974448198,0.211174400441485,-0.116842761739946,-0.0492428530971799,-0.107665361980996,-0.264474752624766,-0.243467331912573,-0.292802067850287
"ZEB1",0.0221268798470404,0.193779535639399,0.243875367611356,0.0735728266633346,-0.0812181570419277,-0.231467606571682,0.299841018979664,0.117392943032241,0.211239905847987,-0.117113974448198,-0.0489791066639263,-0.108038741513823,-0.264924648544367,-0.243875367611356,-0.293465238897157
"miR200b",0.0229416714972873,0.214309025145671,0.0958041598793876,-0.0224375070954576,-0.12060415188051,-0.217484107573583,0.205996886394095,0.141745039476242,0.0597023070386234,-0.141908686047428,0.0381053028612326,-0.000149004094351549,-0.195042216660476,-0.0958041598793876,-0.213851753226239
"SNAI2",0.0235984696585726,-0.107168211490745,-0.066652856212094,-0.037575940142948,0.25626978617087,0.245671126169445,-0.34895462916837,0.186540813885606,0.20202031917556,-0.186591281351198,-0.0288403436784649,0.206789353492965,0.0537766074870855,0.066652856212094,0.106820897397563
"TWIST2",0.089154458300646,0.176785871572846,0.0469293840702873,-0.00466583070293571,-0.0870539550953488,-0.152002907921721,0.179212178454107,0.0429067960452468,0.0548113537518859,-0.0428202120389539,0.0392271072121681,-0.114524171219901,-0.112413324498426,-0.0469293840702873,-0.176580504771027
"SNAI1",0.102142495937816,0.106259245579206,0.00251795997898065,-0.0840765519703575,0.021018909913668,-0.0709164150725442,0.0121053711100673,0.0306156440193966,0.0467448713981157,-0.0305946292019678,-0.0243099387674329,-0.0108467656023119,5.67224312029647e-05,-0.00251795997898065,-0.10623575079134
