"","SNAI2","ZEB2","TWIST2","SNAI1","miR34a","ZEB1","miR200b","GSC","TWIST1","TGFbeta","miR200a","miR141","miR200c","miR101","FOXC2"
"ZEB2",-0.11944158101793,-0.0897130491801121,-0.0622885367144025,-0.0528300234293102,-0.00878938937072985,-0.00652684648191373,-0.00588589259992668,-0.00236051914882318,-0.00130501330536957,0.00229962708001514,0.00479370346369789,0.00631234498637546,0.00922831870474839,0.0333207264841415,0.062051406141194
"TWIST1",0.194050629320663,-0.0873147458975143,0.164224166749268,0.0153457431042904,0.00529411970485009,-0.00166506317505961,0.020869393880492,0.0152714144326877,-0.132995963951147,-0.0161336216832491,-0.0347909645507896,0.00103060430598838,-0.0540663414635629,-0.0904503886398207,-0.0994705351341666
"SNAI1",0.076180011389633,-0.044646406255803,0.0558684876825792,-0.0874307956184154,0.00811452217603884,0.0855912642474885,-0.0157792798283589,0.030798297284775,-0.0235299618290176,-0.0311198636420348,0.0140466924502304,-0.0853915585506208,-0.069302208631886,0.0158346127373259,-0.0179282066010246
"miR101",-0.0689227821023095,-0.0345610885261463,-0.00783384730797774,0.00405612951335816,0.0227833203536287,-0.0855422997219337,0.00571559060902593,-0.00396785947850221,0.00454077213934837,0.00449038802404313,-0.0572608665920643,0.0859218044222682,0.0269768081092291,-0.0125913432059079,0.00528461404635372
"TGFbeta",-0.183854060707787,-0.0201030288823775,-0.177828247129835,-0.0383464761833396,-0.0576819342421861,-0.00837175367979963,-0.132773364255842,0.0160855580220509,0.0178873286926727,-0.115357997849114,-0.0135443747977368,0.0086958738019173,-0.00373168502374474,0.0737972320237439,0.0652386318886942
"miR200b",-0.153706255499576,-0.0143706731052937,-0.12589458947702,-0.0182721363200249,-0.0810037622504353,-0.000471075671151438,-0.0725890100591791,-0.0730605435947704,0.0038673346965525,0.0729518440474861,-0.00664511698351489,0.000744142910487931,-0.00618567713144977,0.067000578948974,0.0349852460320765
"miR141",-0.153706255499576,-0.0143706731052937,-0.12589458947702,-0.0182721363200249,-0.0810037622504353,-0.000471075671151438,-0.0725890100591791,-0.0730605435947704,0.0038673346965525,0.0729518440474861,-0.00664511698351489,0.000744142910487931,-0.00618567713144977,0.067000578948974,0.0349852460320765
"FOXC2",0.0494018124364587,-0.00158496082257776,0.0677139192199361,-0.0746800455180144,-0.00837820438560585,-0.00969505803538926,-0.0071010863719572,-0.000490995963804303,-0.0121547712814689,6.48045651216222e-05,-0.00383808087980253,0.00908741821949665,0.00466145339878602,-0.0606654678337679,0.0977365321642257
"miR200c",-0.16782335881267,-0.000276435087854009,-0.0778383406016184,-0.0806099978354382,0.00386001220438028,-0.00683905882799082,-0.0104890961898331,-0.0943213261442378,-0.00627016048422324,0.0940191175127771,-0.00403724563931602,0.00670113673083442,0.00360376467938586,0.0441491744892159,0.097953478732579
"miR200a",-0.16782335881267,-0.000276435087854009,-0.0778383406016184,-0.0806099978354382,0.00386001220438028,-0.00683905882799082,-0.0104890961898331,-0.0943213261442378,-0.00627016048422324,0.0940191175127771,-0.00403724563931602,0.00670113673083442,0.00360376467938586,0.0441491744892159,0.097953478732579
"ZEB1",-0.04862950970241,0.00142769971286518,-0.0664304120233166,0.0727528758353683,0.00834910663956202,-0.0899916477638117,0.00666469119905983,6.48045651216222e-05,0.0125042545241955,0.000717075273639655,0.00380624830755706,-0.00969505803538926,-0.0053519308294923,0.0610008275455718,-0.0982964149435887
"SNAI2",0.0520490492972173,0.0331477671137896,0.169230504167647,0.0547568920974879,-0.0073060787411096,0.0542691381692272,0.182754952806477,-0.195289605895,-0.176450026244017,0.195767763746968,0.0427231288620027,-0.0541314852354781,-0.0103838654641903,-0.145022769822357,0.0315609560038007
"GSC",0.0274082909172871,0.0569595825375295,0.0218040759273907,-0.018798449328865,0.0162651900533198,-0.0838572313900217,0.0824542591768578,-0.0533432441065414,0.0969000035517175,0.0540253275844731,-0.00902241425764015,0.0842149340349576,0.0726987816973409,-0.0729599697753412,-0.154645807085783
"TWIST2",-0.162745513953043,0.0760015908656363,-0.126598720784356,-0.0259079490656142,0.0129207216000386,-0.0285829956542344,-0.013376612164867,-0.0183475127883081,-0.0824792949219611,0.0174912931705227,0.0218809620691804,0.0279026906383592,0.0525554970340081,0.0826341084183122,0.0948346246939271
"miR34a",0.0495755070457277,0.0921535484068357,0.154618258834122,-0.0072146258345241,-0.0139127933588718,0.0197037756132374,0.0357132433169706,-0.0219766762840351,-0.0825053125540409,0.0230220781539878,0.0874740556349732,-0.0189073350608248,-0.013772791626905,-0.0330656959172279,0.0722596446893077
