"","miR200b","miR200a","miR34a","SNAI2","ZEB1","SNAI1","FOXC2","TWIST1","ZEB2","miR101","miR141","TWIST2","miR200c","GSC","TGFbeta"
"miR141",0.140814819101423,0.107761465662713,0.0231334492718996,0.170157953934029,0.0233342664044492,0.0955486283117057,0.0245911975543587,-0.00385650278313902,-0.241856398104144,-0.133275687310971,-0.0232426268902312,-0.0910560524926219,-0.107761465662713,-0.209972080332389,-0.210018665852653
"SNAI1",-0.013569738159676,0.0956172727591768,0.0262029382418797,-0.142392810487373,-0.0582945481234111,-0.0983741074946108,-0.0209191801635463,-0.0226176614706634,-0.15084638985296,0.0203094970613518,0.0583047498076164,0.0511319888130123,-0.0956172727591768,-0.0482091948811681,-0.0482968227047864
"TWIST1",0.0131379820967409,1.24016536584381e-05,0.000795405890696063,-0.109071548349224,0.079286439153466,-0.0332093183063495,0.121693421299955,-0.121725007436526,-0.0711095628337733,0.0880175207567746,-0.0793048480540397,0.106012984651786,-1.24016536584381e-05,0.00441490268076135,0.00441089241447967
"FOXC2",0.034766101423562,0.0283613018399412,0.011712721915252,0.107427554715122,-0.000411827547602936,0.0916723522263139,-0.0816387196131026,-0.000310833363341472,-0.0683218580872863,-0.100137480673513,0.000521822101270667,-0.010169665635874,-0.0283613018399412,-0.0255283041291372,-0.0256722129131079
"TWIST2",0.016355931653231,-0.0145772855982575,0.0161399614250753,-0.0748800549692742,0.0747288498941633,-0.0378685408317625,-0.0667682903999185,-0.180791630657979,-0.0442653542141114,0.0621639990405707,-0.0747499582592325,0.0801405644546481,0.0145772855982575,0.0107905513593861,0.0108228081460443
"SNAI2",0.213655066694723,0.0229795426696163,0.0161944283875231,0.217862652647847,-0.0452031637604166,0.111827118192472,0.00958227927773151,0.218661769369788,-0.00272289074359997,-0.315144771782452,0.0451505810095684,-0.317288432250759,-0.0229795426696163,-0.22251167619685,-0.222492002439077
"GSC",-0.0892944381911245,-4.11506261104911e-05,-0.00374780553559328,-0.125149092179557,-0.0574467463119907,0.0137629835179565,-0.0432269175054705,0.0865106177346485,0.0433157433252875,0.00726667340220523,0.0574786840481457,0.0653225053046396,4.11506261104911e-05,0.0167899142083847,0.0167930690810856
"ZEB1",-0.0348417555550157,-0.0283595655178187,-0.011771663503392,-0.107489532952676,-0.0995290225072862,-0.0917699453218963,0.0816186687146681,0.000301872254553612,0.0683470317112516,0.100062824624596,-0.000411827547602936,0.0100904367965765,0.0283595655178187,0.0256722129131079,0.025661975533877
"ZEB2",-0.248863739971516,-0.15185037997491,-0.116665660769657,-0.107338944053335,-0.0886111776382282,-0.0615671307323635,-0.0317608756368101,0.000344633135493005,0.0782444144360563,0.0842763312406101,0.0885290598963168,0.111354187345475,0.15185037997491,0.175587665524277,0.175907348885519
"miR34a",-0.096334879745625,0.0497876602534325,-0.0519837346179069,-0.0688999253748079,-0.0705336001825832,-0.0279041382706006,0.0734486442795833,0.0124695926622739,0.0825720020109531,0.0544456315576709,0.0705350156574986,0.00636485140341765,-0.0497876602534325,0.00641685717655705,0.00645629485592265
"TGFbeta",-0.142257414512287,-0.0520907061102491,-0.0677680603520855,-0.139904244133588,0.00276773018325404,-0.0501580061989062,-0.0257081219054788,-0.00964093098704216,0.100998061270671,0.0955910891950747,-0.00279502781212552,0.149551665175195,0.0520907061102491,0.241815597539992,0.141910777252194
"miR200c",-0.142821949563056,-0.0826956044773582,-0.110294205889425,-0.0968861185475666,-0.0230337050162559,-0.0346562483977233,-0.0488947270716393,0.00386068944358995,0.188438335279158,0.0659444735040002,0.023037407622891,0.101700031338089,0.0826956044773582,0.179659679810726,0.179582037276951
"miR200b",-0.0510097717511278,-0.0865807582008708,0.062813352143906,0.062232427190545,-0.0263390161429795,0.0153842007397677,0.0364235784863296,-0.00444347951608629,0.200659780008289,-0.0384944133198095,0.0262270122922686,-0.0615573745720796,0.0865807582008708,-0.0343876272017349,-0.0341451435962545
"miR200a",-0.0510097717511278,-0.0865807582008708,0.062813352143906,0.062232427190545,-0.0263390161429795,0.0153842007397677,0.0364235784863296,-0.00444347951608629,0.200659780008289,-0.0384944133198095,0.0262270122922686,-0.0615573745720796,0.0865807582008708,-0.0343876272017349,-0.0341451435962545
"miR101",-0.0511007461912878,-0.145406683352144,-0.00134175534014237,0.0999701920636867,0.0638603949965204,-0.0271311938180824,0.02216666163613,0.0111496771564232,0.23472935329351,0.0140149770730057,-0.0639637102922988,-0.031642476912949,0.145406683352144,0.106738594457014,0.106814246738018
