"","miR200c","TGFbeta","miR141","ZEB1","TWIST1","SNAI1","TWIST2","miR101","FOXC2","miR34a","SNAI2","GSC","miR200b","miR200a","ZEB2"
"miR200c",0.0543949347321559,-0.0319827657831002,0.159440892629134,0.159727844643352,0.00817657289055374,0.00347981130493866,-0.0874138968245767,0.0267774807675119,0.06897759268268,-0.145338893587019,0.0496982608136163,0.0317187811682669,-0.0192934030822491,-0.21141406845109,-0.271629898612711
"GSC",0.159768843704855,-0.00573588779473359,-0.11240070859846,-0.112367788162731,-0.0515802526577348,0.0442149817965952,0.0377265510624995,0.0846118716914697,0.134985059145352,0.0928369019101327,0.0193630748066821,0.00634856407324575,-0.143696139151452,-0.0450643221609966,-0.221392618986129
"SNAI1",0.112732197073126,0.010419001571206,-0.0737210454305835,-0.0740243136792326,-0.0297828696326944,-0.114815537638885,0.0603803013037992,0.0103469511483189,0.0163773961164995,0.0715256368581014,-0.0607298377093176,-0.0100165479921447,-0.0965381344095538,-0.0424007317578738,-0.166859374250025
"TWIST1",0.0839529008307431,0.0125700127719237,-0.0452829963042924,-0.0455949104928877,-0.0770962516923443,0.0111331328129321,0.0697474307213463,-0.0139238700646095,-0.0975994435194811,-0.0129309829773849,-0.0395926710518192,-0.0122505282248165,-0.0663267071187369,-0.0480379315208101,-0.135800758271193
"miR101",-0.0168230909326456,0.0575109577149791,0.158926127421664,0.159131053140353,0.0664417028155798,0.0481238895408552,-0.052604061496854,-0.00988135556508518,0.00166316638300442,-0.0919009711540209,0.0317602078990713,-0.0580405236820088,0.0222482753376773,-0.137768267865412,-0.123404245130414
"FOXC2",0.162954975959076,-0.0629816003481102,-0.0895006238321578,-0.0902043753939737,-0.0993845947053992,-0.100394706425146,0.0484814405466839,0.00729978595378932,-0.0661020534915648,0.0977968999885956,0.113602044196822,0.0645978066911666,-0.156655040375652,0.106334336026123,-0.0687933041104693
"SNAI2",0.0173569028775112,0.00803015454592116,0.0220097027479678,0.0219095610759703,0.0704264711000939,-0.00999906298153671,-0.0924401407753627,0.0301833013630003,-0.02150180499875,-0.0200071044385564,-0.0283805912962196,-0.00790270281078126,0.0023200721093471,-0.039342107895968,-0.057970570617714
"TGFbeta",-0.0169575950729232,0.1004100575456,0.0107347690574131,0.0104225720375611,0.00365852912024738,0.00953046540179527,0.115065177388772,-0.0478297640620228,-0.0699450715799284,0.043638189662865,-0.102040284592308,-0.200145490209987,-0.0872263620066853,0.00477628574421224,0.0245924686602621
"ZEB1",-0.163160440743569,0.062217635923003,0.0902043753939737,-0.00863869178131572,0.0973026304303529,0.100069004166395,-0.0481698071121137,-0.00791006952827355,0.0649221352375353,-0.0989108213948375,-0.112975255585727,-0.0629816003481102,0.156965960403699,-0.106891695427439,0.0688054466820291
"miR34a",-0.171966675954033,0.00804738362149091,0.102380835169736,0.102429904966804,-0.0347400681623599,-0.0627805813310824,-0.0192585493510494,0.00181914760793345,-0.037439226275961,-0.0858805702757531,0.0747007094971266,-0.00858555626144916,0.135999635059163,-0.033605276832187,0.165997722426564
"miR200b",-0.0432155218883174,-0.193308830689454,-0.167256077772745,-0.167602271493124,-0.0896563598621586,-0.0730511045723356,-0.038605589629652,0.039132587926061,0.0694353892122246,0.0803665376682791,0.151290105340696,0.193644485335464,0.077330335037139,0.208663906297491,0.256289039873351
"TWIST2",-0.0938435533142719,-0.0493665727405041,-0.0721754656951213,-0.0723003568551139,-0.165536438395712,-0.0153779212620529,0.0683334546845087,-0.0236875558813504,0.0881475063237838,0.0188753175744525,-0.0308380043442378,0.049092107099641,0.0610837208293954,0.16639156744116,0.266800256111593
"miR141",-0.0543949347321559,0.0319827657831002,-0.159440892629134,-0.159727844643352,-0.00817657289055374,-0.00347981130493866,0.0874138968245767,-0.0267774807675119,-0.06897759268268,0.145338893587019,-0.0496982608136163,-0.0317187811682669,0.0192934030822491,0.21141406845109,0.271629898612711
"miR200a",-0.211870170325011,-0.119039644584944,0.125509661868511,0.12577347259126,-0.0117796492425925,-0.0109658942030989,-0.0928709246223862,0.032192210242698,0.0790855800823261,-0.125667931115783,0.0737187936752541,0.117980122624052,0.207046615032533,0.0909682983093738,0.310041905571547
"ZEB2",-0.327695134888386,-0.133812344301921,-0.0739587983354102,-0.0738995740245772,-0.049573614470535,-0.0410567382741074,-0.0138097706549453,0.0138826843413383,0.0237341473984207,0.0473374074978596,0.0683901763091472,0.133018210237883,0.324606723420259,0.394782782665232,0.407183002089861
