"","miR200c","miR200a","GSC","miR200b","TWIST1","TWIST2","SNAI1","miR141","ZEB1","miR34a","FOXC2","miR101","SNAI2","TGFbeta","ZEB2"
"miR200b",0.137535868511303,0.137535868511303,0.198658605654051,0.0657021302140217,0.146604497648635,0.0979186390445946,0.0808497151793411,-0.00616112263716197,0.00583807020825201,-0.096041939453709,-0.0547188673356441,-0.0910875512537066,-0.100858689394958,-0.199409946480885,-0.288566486187366
"miR200a",0.137535868511303,0.137535868511303,0.198658605654051,0.0657021302140217,0.146604497648635,0.0979186390445946,0.0808497151793411,-0.00616112263716197,0.00583807020825201,-0.096041939453709,-0.0547188673356441,-0.0910875512537066,-0.100858689394958,-0.199409946480885,-0.288566486187366
"miR200c",0.134379495064074,0.134379495064074,0.190860671028116,0.0795790322952175,0.0907859998905764,0.0827852652762677,0.0292005248383117,-0.000124690047532934,-0.000299258412182706,0.00166101656977305,-0.0282639388057704,-0.101932155779949,-0.173679111671578,-0.191540341823773,-0.276095612622274
"SNAI1",0.0794836354120123,0.0794836354120123,0.0624802068440883,0.0713461803637098,0.0360332603064423,-0.00889476284839668,-0.0510053070930663,0.0424047122096507,-0.0423901825382068,-0.0899617537646043,-0.0539281873358103,-0.0203068839983013,0.107576543286068,-0.0627335741712018,-0.135271718196277
"TWIST2",-0.00237081676821627,-0.00237081676821627,0.0387390993345963,0.0733062155240016,0.0334717818889883,-0.0875496497138726,-0.0126579321407354,-0.0942731045166434,0.0941086351721461,0.0533051065682615,0.0134887268279697,0.0341010120997706,0.0447843929758447,-0.0389501832192189,-0.0870785313701101
"TGFbeta",0.00274927734528978,0.00274927734528978,0.011160707094891,0.11946244608582,-0.0780264504013199,-0.132801571032388,-0.00594247585728453,-0.0287951731067144,0.0286310735676364,0.0623431868238239,0.00537512320429089,0.0656594481840548,0.12462345511603,-0.111602728131221,-0.0279855994836123
"FOXC2",0.00895328612588145,0.00895328612588145,0.00959522114245588,0.0206417776701086,0.0717273268261911,-0.00412535394544602,0.0777252667670335,0.00440303957789505,-0.0042866375744991,-0.000333040671976277,-0.0837177565009897,0.0149217002009951,0.107817176139735,-0.00967824544090056,-0.0174926318386935
"ZEB1",-0.00883695254367528,-0.00883695254367528,-0.00967824544090056,-0.0205679687613733,-0.0720947322864934,0.00371072301978908,-0.0776170912875927,-0.0042866375744991,-0.0957399297737287,0.000377060339068218,0.084169672904167,-0.0145128694569232,-0.107959995556709,0.00975886480234403,0.0175959917770921
"SNAI2",0.0406568712818463,0.0406568712818463,0.193814439915198,0.162788671515378,-0.0374162649180728,-0.182104537123274,0.114457588288736,0.106770641763889,-0.107136041643987,-0.104628593510912,-0.105162233040883,0.165312343067291,0.142207119829099,-0.194006900589067,0.023501701387888
"miR34a",0.0316179850443163,0.0316179850443163,-0.0627296547292624,-0.141969181198041,-0.0273678165757643,0.0428598179880276,-0.059691530292596,0.0542832731672518,-0.0546796061435709,0.00819773617510132,0.0684328978973537,-0.0623254696746456,-0.182057586517778,0.0625676568770991,0.103171900009874
"TWIST1",-0.0789973368673889,-0.0789973368673889,-0.0632806640245926,-0.0719225773884864,0.0765685854200423,0.105182138248534,-0.0207057064872637,-0.0384340673138185,0.0384141027315061,-0.0160529454815034,0.12029070660939,-0.0571771019460336,-0.102353236115877,0.0635560356426014,0.138908677333636
"miR101",-0.0355851620455475,-0.0355851620455475,-0.0497674835409134,-0.0749357725275623,0.0139132756511442,-0.0138616663253323,0.0366434067336036,0.0750993949974828,-0.0748767386009703,-0.052824022870066,-0.0414645478441653,0.00598030376351608,0.147888580641543,0.050149263656679,0.148264471418228
"GSC",-0.122936137403046,-0.122936137403046,-0.107715613294941,-0.141913172932808,0.064382310600319,0.020902157985594,-0.0562401345577087,0.0169082587290532,-0.0170478020685612,0.0342880757291572,-0.028926246427078,0.0394958044187996,-0.0749262546184267,0.107985039423597,0.275423030446391
"miR141",-0.137535868511303,-0.137535868511303,-0.198658605654051,-0.0657021302140217,-0.146604497648635,-0.0979186390445946,-0.0808497151793411,0.00616112263716197,-0.00583807020825201,0.096041939453709,0.0547188673356441,0.0910875512537066,0.100858689394958,0.199409946480885,0.288566486187366
"ZEB2",-0.38021292781333,-0.38021292781333,-0.324897335426062,-0.299288516931913,-0.165384096872686,-0.116582905412509,-0.100717553173567,-0.0369006342791443,0.0365557397631164,0.0726019603502222,0.0915888108388397,0.129314175194733,0.158460354013128,0.326031450207611,0.413544406697507
