"","miR200a","TGFbeta","miR141","ZEB1","TWIST2","miR101","FOXC2","SNAI1","miR34a","TWIST1","SNAI2","ZEB2","GSC","miR200b","miR200c"
"miR200b",-0.0143324655597116,0.00930157554382571,-0.256739325241729,-0.256639354862582,0.224408975281234,0.0602941184422476,0.0583552505473591,-0.0954532504449027,0.234851968795072,-0.146415300523363,-0.216460146302565,-0.234642027503416,-0.00935771706824728,-0.154135711232075,0.0143324655597116
"miR101",-0.00634189713072972,-0.0876047781497274,-0.226911943347115,-0.226806582203896,0.13822916298513,0.0170782038646423,0.106090126563858,0.00353596556011228,0.150282175568846,-0.032468689679031,-0.130969225090866,-0.218463244178351,0.087766638843969,-0.172662390093153,0.00634189713072972
"miR200a",0.211508612865485,0.258597260237369,0.211074240001481,0.21082709100859,0.0438441094048909,0.0409449638878763,0.0259936055153634,-0.0987189415226771,-0.104213510804046,-0.133016021053788,-0.178064630506172,-0.212566417068021,-0.259078643946771,0.0470347421970057,-0.211508612865485
"miR34a",-0.12052752871323,-0.114346454205958,-0.255501849564638,-0.255393329821122,0.346539282551684,0.123097981544414,0.111907408158386,0.00474444547337568,0.156723213253465,-0.101623342598974,-0.239248994475626,-0.1678792003705,0.114439284435849,-0.0630653591361295,0.12052752871323
"miR200c",0.227583374450074,0.0625813996126682,0.28760514901581,0.287359851326237,-0.219705738913468,-0.0560913777634715,-0.0556182810370386,0.081600361742122,-0.252442593909426,0.125734293098386,0.195163258802422,-0.158634321074551,-0.0626566531454035,0.00799994649368268,-0.227583374450074
"TWIST2",0.0364079948024377,-0.0115866071830348,-0.0765816433189686,-0.0765605349538995,0.0818536536581356,0.0770789881915863,-0.0114404663205146,0.0866670808116872,-0.00971671300697733,-0.032104992226338,-0.0729029280167643,-0.15252006371003,0.0115113413474991,-0.0548000495550221,-0.0364079948024377
"TGFbeta",-0.0462833929083607,0.0437073159761991,-0.154641002911483,-0.154614960346008,0.259117317378005,0.0872411026623056,0.0531931048045286,-0.0775805582705627,0.177811311499619,-0.159657676637477,-0.24976342146603,-0.077518014990777,-0.143710542407121,0.0620392624512027,0.0462833929083607
"GSC",0.088547398262479,0.0731955400311613,0.106063843602343,0.105932653209214,-0.0199575897930083,0.0716924326894227,0.0348727607185963,0.0114904538588497,-0.072921291736203,0.108576901271888,-0.0316251803015848,-0.0650340793384079,-0.0733677960806297,0.0205211125851995,-0.088547398262479
"FOXC2",-0.229241636118914,-0.240143847271851,-0.272082142296629,-0.271681676688615,0.199415784850837,0.0246097410633378,0.0915489471321037,-0.0123192362988222,0.2386029463843,-0.0237135918480787,-0.0675846064429136,-0.0282723113453061,0.24063645810929,-0.241068929280387,0.229241636118914
"ZEB1",0.229177392200382,0.240001803635022,0.271681676688615,0.171590445417342,-0.19899323104125,-0.0243502224171009,-0.0912882854524553,0.0124920819018418,-0.238351512014639,0.0236807344491899,0.0675495752651654,0.0281186041589769,-0.240143847271851,0.240857651279132,-0.229177392200382
"TWIST1",-0.126277084165142,-0.0838325767782314,-0.19197841323466,-0.191854736536438,0.251070213684995,0.132756863203496,0.0165416409658495,0.0100688791263644,0.137777767875173,-0.131412496726874,-0.255960494283101,0.042394274422345,0.0838405973107947,0.0110789483677836,0.126277084165142
"ZEB2",-0.222761106238694,-0.101794778881075,-0.0666639931331368,-0.066558981960147,-0.0121251231442784,-0.0112714246933426,-0.00670893348817829,0.0395559972278098,0.0426495143999981,0.0504450406802572,0.0616580779394246,0.0878677983964042,0.10195715773123,0.1566853315516,0.222761106238694
"SNAI1",0.00262876148761488,0.0345139002520248,0.124008451278945,0.123983719923296,-0.120765924945698,-0.0133859207852451,-0.0959936853009205,-0.100024443435075,-0.116835309341202,0.0357265741466396,0.124315601859061,0.124320669559086,-0.034448476763803,0.0472648022875278,-0.00262876148761488
"miR141",-0.00174229602487686,0.186714285080875,0.180208416227399,0.180106594544935,0.0391408730371242,0.0367422232091002,0.0232566360050429,-0.0848660528198964,-0.0866228856896915,-0.112335013628811,-0.156767743006029,0.180709931509946,-0.187064273733121,0.193170506935398,0.00174229602487686
"SNAI2",-0.0092867440556625,-0.141307121826873,0.194401651890412,0.194390599465074,-0.403786469218629,-0.297395195174946,-0.0564105100037508,0.00193706333098373,-0.120961593508103,0.194663580659748,0.291310039509081,0.219481871828001,0.141412333661922,-0.0912537632483513,0.0092867440556625
