"","miR200b","TGFbeta","miR200c","miR101","TWIST1","miR141","miR34a","ZEB2","ZEB1","FOXC2","TWIST2","SNAI1","miR200a","GSC","SNAI2"
"miR101",0.0822528840543361,0.0690281605414109,0.102361464178096,0.141136975842842,0.006879669878009,0.0314959184309909,-0.0170771813515717,-0.166552536431139,-0.0314239727959769,-0.0470155041776838,-0.0590360628685159,-0.029286240281547,-0.0673176989554221,-0.0695700419960459,-0.151448623637289
"miR200a",0.00435801412108006,-0.0584848358687083,0.0797903176485579,-0.101242733024071,-0.0707007407510455,0.00638287839960141,0.100430134795993,-0.151267430629074,-0.00652542875505164,0.039920394095901,0.0223207294358637,0.0648822735778695,-0.0738643529251068,0.0583904703276593,0.138255762685636
"TWIST2",0.0301165612501525,0.0471847358091245,0.0270823669260455,-0.0215363595990952,0.189345934374847,-0.060189926515763,-0.0408215241400027,-0.111321122790744,0.0599133189818356,0.0790578481248425,0.111575726323345,-0.0173935682777154,-0.0864354518191273,-0.0471196563272704,0.0853725399305784
"TGFbeta",0.189624379610248,0.158635010792972,0.0260337385958161,0.19554978522016,0.0492289696440113,-0.0406347014841446,-0.111688284024075,-0.0835063469002687,0.0406751772786782,-0.0752277161163296,-0.188771402951107,-0.103061020867307,-0.059013840292684,-0.259243193021791,-0.28773816093363
"SNAI2",-0.199301786240893,-0.178097165235201,-0.0287760041079691,-0.321489206294637,0.141591818131855,-0.0932895366620978,-0.0412131112672116,-0.0357127255784479,0.0935310154096235,0.080511736975891,0.376308848126179,0.041495901728273,-0.0649069374743907,0.177483857221138,0.29854869580806
"ZEB1",-9.27539306502735e-05,0.00346489944972957,-0.00314736151514122,-0.071402522103691,0.0350519913829859,-0.0104594071246817,-0.0119699492854867,-0.00553304608103682,-0.0894323183995221,0.0758085075145457,0.0968356034285346,0.0507962462416516,-0.00845143096959318,-0.00303237017722333,0.088228013847522
"FOXC2",-0.000364861303508489,-0.00303237017722333,0.00343848485767706,0.0710387219922994,-0.0352670579938945,0.0111631586864976,0.0125586190708349,0.00573650819473276,-0.0104594071246817,-0.0759087620067181,-0.0967431697826875,-0.0511619263949785,0.00892313181286696,0.002429060275192,-0.0880539358411732
"ZEB2",-0.175385703158562,-0.159921994685444,-0.158594624096742,-0.15758445315022,-0.0858149721404159,-0.0266172837991202,0.00721853968258447,0.00817194955380775,0.0273493759103424,0.088897926098257,0.107180456502866,0.111895906943969,0.136224655860928,0.158351486744104,0.20140610250806
"miR34a",0.117027221627831,0.0555138855647334,-0.0708621687202142,0.151201617080597,-0.0935606199910314,-0.0416811900630853,-0.0338904414119372,0.0115653882801273,0.0413377014836087,-0.0999089003270188,-0.260547875440759,-0.0317863163330139,-0.0608571087946867,-0.0551674407198449,-0.230436498367689
"SNAI1",-0.0734874303412583,-0.0536489966919826,-0.030509922649937,-0.117532554081834,-0.0105490842311283,0.0402815302212497,0.0706085394985601,0.0870086469523026,-0.0400311252453009,0.0354473290869364,0.0227179323529325,-0.0809827766612631,0.0582794572471504,0.0533726320174942,0.116446230776831
"GSC",-0.112909326834095,-0.0714916173752353,-0.0160687449738509,-0.123737662795994,-0.118676170998671,0.0730547751698875,0.0541156535920261,0.100571559639488,-0.0726656261385836,0.0497138827609684,0.0327428392455797,0.0284098303153067,0.0845611323120097,0.07140138801599,0.119191176805139
"miR200c",-0.0375682390547947,0.0489310851364198,-0.0770222439563318,0.144749248983841,0.0408826207709004,0.00338380486068898,0.00670793457396847,0.156424630598862,-0.00263125006211078,-0.0598106275952646,-0.119144816467767,-0.0961117386203696,0.0815776168533737,-0.0493575218219198,-0.194533082482093
"miR200b",-0.0375682390547947,0.0489310851364198,-0.0770222439563318,0.144749248983841,0.0408826207709004,0.00338380486068898,0.00670793457396847,0.156424630598862,-0.00263125006211078,-0.0598106275952646,-0.119144816467767,-0.0961117386203696,0.0815776168533737,-0.0493575218219198,-0.194533082482093
"miR141",-0.112890165224768,-0.186149824482961,-0.100775855352805,-0.198493779227813,-0.0750051112202378,-0.0175500128103483,-0.0050303003745043,0.180948251551042,0.0171871573601113,0.0952611139963854,0.158488263629933,0.132762854600044,0.0814412266363632,0.187099452396049,0.263288754020292
"TWIST1",-0.0599837731739044,-0.0793509292729972,-0.0183052717573281,0.0475642194862022,-0.13886818836822,0.12402277702457,0.0963704729912319,0.184592929423413,-0.123848281389554,0.104850339314778,-0.170805264540576,0.00837261119007998,0.147680459476815,0.0795968922716069,-0.135895800735117
