"","ZEB2","ZEB1","SNAI2","miR141","FOXC2","miR200a","TWIST1","miR200b","miR101","miR200c","GSC","TGFbeta","miR34a","TWIST2","SNAI1"
"miR101",-0.116651807863702,0.241901098068625,-0.196965245811135,0.241953267178374,-0.0109429893150827,0.180709699469019,-0.142729243997435,-0.088383778880946,-0.00235218896974966,-0.0657135645097127,-0.0723232763642598,-0.0722599395708609,-0.20334674675006,-0.0124890590216337,0.0996020714971756
"TWIST1",-0.0851532358700534,-0.0646027447437498,0.0495331407067365,-0.0645869286460737,-0.183746224091495,0.0146965195944135,-0.0878213324465407,0.0699562953767056,-0.0946635143130241,0.0722704310333411,-0.00597161695518514,-0.00598765802031187,-0.0437781059438706,-0.0843180077839364,0.17298419731811
"miR34a",-0.0844375088266776,0.218903123727866,0.113286795470019,0.218935207825949,-0.0108758945561178,0.204010894519441,-0.00869626611161168,-0.0186984938794139,-0.0746573384178182,-0.137362803019235,-0.104795036279528,-0.104761665935449,-0.148289928221167,-0.0601545052386077,0.0266162583429538
"ZEB2",-0.0801168865338686,-0.0399492671007696,-0.0399298759652432,-0.0399029825553286,-0.031482320170514,-0.0293361171753857,-0.0125429964571347,-0.00585440830636222,0.00226865912093943,0.00593808231260671,0.0163981891980442,0.0166138486084061,0.0266121918693875,0.034298342724862,0.03556662783563
"SNAI1",-0.0601597167347387,0.13796064037662,-0.221208910004011,0.137947347272959,-0.0247685081945415,0.107089446005334,-0.158348171447856,-0.0935772660184174,0.00546144004618117,-0.0380216675135791,-0.0209978901477707,-0.0209443618392256,-0.191497977184357,0.0486132741346822,0.00936709565416293
"ZEB1",-0.0453136434805014,0.148791296107091,-0.0704877079892544,0.248751194449388,0.127890442859374,0.24683504713295,0.105461957357165,-0.210719385973101,0.103904961227774,-0.210218783181697,-0.119361187901723,-0.119450764969993,-0.210373517265537,-0.122700536529352,-0.140965604972065
"miR200b",-0.0318262189286311,0.230866144142524,0.16448089785242,0.230920757590392,0.130375680686115,0.1317211546083,0.0621042846596489,-0.0222005884503146,-0.0109931008521303,-0.10078039332529,-0.184635368406872,-0.184478888838803,-0.113089628797133,-0.143456627168221,-0.143732783394864
"miR200a",-0.0318262189286311,0.230866144142524,0.16448089785242,0.230920757590392,0.130375680686115,0.1317211546083,0.0621042846596489,-0.0222005884503146,-0.0109931008521303,-0.10078039332529,-0.184635368406872,-0.184478888838803,-0.113089628797133,-0.143456627168221,-0.143732783394864
"miR141",-0.0318262189286311,0.230866144142524,0.16448089785242,0.230920757590392,0.130375680686115,0.1317211546083,0.0621042846596489,-0.0222005884503146,-0.0109931008521303,-0.10078039332529,-0.184635368406872,-0.184478888838803,-0.113089628797133,-0.143456627168221,-0.143732783394864
"TWIST2",-0.0277046119327674,0.124354511929367,0.197502448919152,0.124365505869507,0.107645025025548,0.0741757862646223,0.102189436488677,0.0269961221523479,-0.0184434392983343,-0.0493085225064931,-0.0550613940400951,-0.0549521736922877,0.0233841547290829,-0.150361910448724,-0.190341385040658
"TGFbeta",0.00106590690800501,0.0116336751836571,-0.227504401930377,0.011623948442335,-0.0786686798126648,0.00606231397477379,-0.0259948608976864,-0.145623948439482,0.0767723861980294,-0.00695814489280405,0.211682245046477,0.111695150770165,-0.0977366178722521,0.152458832295213,0.0741541905354051
"SNAI2",0.0286689194283638,-0.0760870891507957,0.127605236744742,-0.0760874240727756,-0.0384362247363551,-0.0524744188824325,0.112012975723942,0.224206651945558,-0.222449221196762,0.0243539616007006,-0.178688477133022,-0.178579843774882,0.0418831195106087,-0.199799020319866,0.0164333039770722
"miR200c",0.0318262189286311,-0.230866144142524,-0.16448089785242,-0.230920757590392,-0.130375680686115,-0.1317211546083,-0.0621042846596489,0.0222005884503146,0.0109931008521303,0.10078039332529,0.184635368406872,0.184478888838803,0.113089628797133,0.143456627168221,0.143732783394864
"FOXC2",0.0451931062457499,-0.248751194449388,0.0705809448161842,-0.248814201038382,-0.127864222453729,-0.246934017493932,-0.105614296206559,0.210770129597856,-0.10412181927463,0.210188108157533,0.119477421919545,0.119361187901723,0.210402615011581,0.122520951160278,0.141085538655793
"GSC",0.0825593604562373,-0.167389920667377,0.156983751497305,-0.167415962206088,-0.193565710356148,-0.131116016139915,0.161787351378432,0.0677655654459793,-0.0199949677332441,0.0459350096080115,0.0506238560585505,0.0505336266993051,0.125496548189216,-0.0182429185152512,-0.0161838531614664
