"","TWIST1","miR101","ZEB2","miR141","ZEB1","miR200a","SNAI2","FOXC2","miR200b","miR200c","TGFbeta","GSC","TWIST2","miR34a","SNAI1"
"miR101",-0.192833541291537,-0.101605114973422,-0.140779675197835,0.241972698303171,0.24197167537945,0.191356147225334,0.0765063744604086,-0.0878128393963369,-0.0270570847020617,-0.0548127039910634,-0.0631639656402615,-0.0633926818386464,-0.0470854994998816,-0.0713247970384972,0.177425807864348
"SNAI1",-0.242022448187477,-0.126355475522838,-0.134261376972304,0.117493297938616,0.117484641964139,0.124834050485309,0.116250860397396,-0.127966121737173,0.0409710343530761,0.0053578033243476,-0.0629716915415948,-0.0631203812875534,-0.00315389316016308,0.113959999258235,0.171736332795007
"miR34a",-0.126489435247107,-0.0300635381996641,-0.103492172676613,-0.148047319082555,-0.148052037332273,-0.0864987837833173,0.173353045919277,-0.169598607605661,0.166724431195778,0.169962267728069,-0.0577550465685141,-0.0576476547339339,0.0280207874318204,0.191242240614242,0.266258934569947
"ZEB2",-0.112769366364638,-0.0931292549431986,-0.0896291705685002,-0.0387677724410417,-0.0387165110627576,-0.0244127940964154,-0.0200000940378182,-0.0165988522415328,-0.00383840773903325,0.00963749895847171,0.0112631682526419,0.0112910771175123,0.0450887148780552,0.0894975315931936,0.166806983707173
"TWIST2",-0.0383417388241992,0.00879037647292013,-0.0760295507300793,-0.152701845209551,-0.152709321088847,-0.0397876237801001,0.144739405685419,-0.0887823706044593,0.125815482256976,0.114853293132974,-0.0459300539724848,-0.0458774244784637,-0.0681402330092507,0.144259668654324,0.136488830810323
"TGFbeta",-0.200969504345311,-0.134901133672738,-0.0370517926975617,0.0174684445908056,0.0175126855755283,0.0260768467437559,0.0192076680175825,-0.0364125560139493,-0.0576093937685754,0.00660888705247582,0.0734698177130382,0.173618233535455,0.081131238801128,0.170216242238964,0.293121746774312
"FOXC2",0.0487625045084322,0.0182540131591857,-0.0301620866885322,0.270720761833466,0.270717558108602,0.252324750409153,-0.147311470667925,0.138707708318719,-0.241755212751575,-0.229238937866736,-0.00363615723414068,-0.0041398379780384,-0.115504846903833,-0.297229028749658,-0.191487316705578
"ZEB1",0.0491209488599466,0.0184637611061444,-0.0301286205766724,0.270717558108602,0.17070903650634,0.252184108317232,-0.147538364911494,0.139020810809658,-0.241883455730502,-0.229376107314412,-0.00350946966615808,-0.00363615723414068,-0.115639535930638,-0.297389439400926,-0.191587261442018
"SNAI2",-0.0485866024236143,0.0126303957209125,-0.0270516462067577,0.0528247352300737,0.0528264098399734,0.0400841075714374,-0.0974186615727489,0.0245565249678886,-0.00793768817957112,-0.013391331828289,-0.0113822958100523,-0.011348935959915,-0.017632822692382,-0.0394479045810069,-0.0229541050160646
"miR200a",0.188917866312062,0.1379226493063,-0.010138127211848,0.237855750594086,0.237790029326313,0.125533323563971,-0.0252719943559744,0.053615752038767,-0.0606661770743801,-0.11448402884201,-0.117785712546704,-0.118322043280008,-0.100962635243628,-0.284611466941257,-0.306275667010876
"GSC",-0.346894441370554,-0.171730495036635,-0.00171504381189762,-0.0337537614951072,-0.0337129794627863,-0.0181660418777656,0.047230295983848,0.0326236995507356,0.01291713265007,0.00654720296422464,0.00575481577393944,0.00597881173570238,0.0304902608536622,0.11432495089083,0.301105658537525
"miR200c",0.14279084122613,0.106859237420864,0.0105256254841458,0.217006541478833,0.216993582355611,0.104215033745831,-0.0295473500829344,0.0463752846473425,-0.0976457120492354,-0.113893755389253,-0.0970705370157661,-0.0971457905485014,-0.0834786636053239,-0.248402490821147,-0.245472807603696
"miR200b",0.146042076076778,0.122282696240845,0.0154180958640607,-0.229789094984238,-0.229852039297035,-0.12303391382797,0.0818431043439686,-0.0202587927660431,0.141052813664415,0.108910466966002,-0.112608439422669,-0.112709971966836,0.0127675399657019,0.10358438427967,-0.163325598903143
"miR141",0.146042076076778,0.122282696240845,0.0154180958640607,-0.229789094984238,-0.229852039297035,-0.12303391382797,0.0818431043439686,-0.0202587927660431,0.141052813664415,0.108910466966002,-0.112608439422669,-0.112709971966836,0.0127675399657019,0.10358438427967,-0.163325598903143
"TWIST1",0.103045528776125,0.0685056560164854,0.129827018552668,-0.234383892103663,-0.234394522595543,-0.192258574241437,0.0238367757655695,-0.00513221882522862,0.0563089886173062,0.0655980954261879,0.0443169076476955,0.0444225113264464,-0.0331054347338294,0.0816469162259001,-0.177451604467408
