"","ZEB2","miR141","FOXC2","SNAI1","TWIST1","miR200a","SNAI2","miR200b","TWIST2","GSC","TGFbeta","miR200c","miR101","ZEB1","miR34a"
"GSC",-0.130922667273524,-0.407405494778515,-0.386591572858953,-0.268167733909187,-0.269013831571057,-0.158809536915683,0.0102528824494208,-0.253131580512492,-0.160484303523323,0.208868240574919,0.216480948402158,0.158809536915683,0.173413779855067,0.414903492528133,0.360528474477088
"TGFbeta",-0.102666263010281,-0.241277834819572,-0.245856786030117,-0.20223429459994,-0.166797407271345,-0.0771368682213458,-0.0256513485126074,-0.0567525616182697,-0.0547535115391094,0.120978976671483,0.0260622185892731,0.0771368682213458,0.111348641811747,0.246249454698521,0.279769405125947
"ZEB2",-0.0943246479363658,-0.0773834448413669,-0.0608547067367052,-0.0576201192182283,-0.0435654598852786,-0.041200822578603,-0.0276345766672673,-0.0244611967367368,-0.0235700735470974,0.0367442780865305,0.0390099704800962,0.041200822578603,0.0417323549172303,0.0795229852806222,0.0836824535259404
"TWIST2",-0.0738729120150534,-0.222266752856502,-0.0629495659405507,-0.0134985729725712,-0.0521982098284145,-0.0786921834783466,0.0476895053894516,-0.126186812543739,-0.119332776437032,0.110451427017902,0.113217022042434,0.0786921834783466,-0.025320739911778,0.225145406142811,0.128237179420485
"miR200c",-0.0332680562853619,-0.42122218693414,-0.279091242131538,-0.254412618610378,-0.191659877642409,-0.203301241831548,-0.109640326974319,-0.171342466774127,-0.117533559499456,0.299566600255908,0.307126594044505,0.203301241831548,0.176513792552262,0.42890694700523,0.402223394722459
"ZEB1",-0.0263765798471303,-0.591227720112278,-0.33809979116812,-0.326461263310821,-0.16653503460918,-0.408095546295588,-0.194140175254971,-0.35864328583302,-0.201535892036511,0.40080850488715,0.411355564839802,0.408095546295588,0.252768948238677,0.501644125700444,0.569595212836095
"miR34a",-0.00659080117382265,-0.234236324934103,-0.18653211471859,-0.18398579568609,-0.0706588390526225,-0.172740826066536,-0.103128516245519,-0.0627343223147042,-0.0822470249398591,0.132445889897927,0.13586483333216,0.172740826066536,0.137261356162705,0.237666020654179,0.214972901273594
"miR101",0.0173079724011685,0.149868896220286,-0.0891762335676903,-0.00884809884047197,0.01041960657841,0.0695698527082982,0.101579076666423,0.0671387564236441,-0.00496066699892443,-0.0727769304576648,-0.0742952541438662,-0.0695698527082982,0.00581804669885532,-0.151512052690108,-0.0700515297448774
"SNAI2",0.0177114993621252,-0.0431357838943887,-0.00403820342534676,-0.0182581524321041,0.0460695386565591,-0.0314997611295883,-0.109989979638668,-0.00746065123315874,-0.00832282061315117,0.0231528707634208,0.0242571673410423,0.0314997611295883,0.0139130933996647,0.0441174402175482,0.0334073118791596
"FOXC2",0.0252982602605701,0.577407918956801,0.326647643408422,0.319364011203163,0.159384069796467,0.401106849752605,0.191799553640196,0.353105772455156,0.196655395535785,-0.38708182087763,-0.40080850488715,-0.401106849752605,-0.245441990294918,-0.591227720112278,-0.556672083112375
"miR200b",0.0301146496155835,0.457890042921357,0.303501922303111,0.275731638511989,0.20897676620533,0.224251360162173,0.119003404453897,0.15105378921961,0.126249655572169,-0.321641850179054,-0.330193279398926,-0.224251360162173,-0.190776819421645,-0.46669206454458,-0.436467833052601
"miR200a",0.0301146496155835,0.457890042921357,0.303501922303111,0.275731638511989,0.20897676620533,0.224251360162173,0.119003404453897,0.15105378921961,0.126249655572169,-0.321641850179054,-0.330193279398926,-0.224251360162173,-0.190776819421645,-0.46669206454458,-0.436467833052601
"miR141",0.0332680562853619,0.42122218693414,0.279091242131538,0.254412618610378,0.191659877642409,0.203301241831548,0.109640326974319,0.171342466774127,0.117533559499456,-0.299566600255908,-0.307126594044505,-0.203301241831548,-0.176513792552262,-0.42890694700523,-0.402223394722459
"SNAI1",0.0651084577630111,0.228511751251636,0.203603045451294,0.0226823017014498,0.0548748555064887,0.0858516352161423,-0.0410968623833564,0.131024414244173,0.116922680810974,-0.117276201228423,-0.120333658911321,-0.0858516352161423,-0.0889752282425894,-0.231655415696603,-0.233571278871212
"TWIST1",0.0976512622231201,0.370630798630671,0.322923928241629,0.146835039710818,0.0847600595572097,0.154400317251178,-0.0229917391215094,0.202775178815586,0.187402212573243,-0.193540944096658,-0.199786265452662,-0.154400317251178,-0.0750796656978153,-0.376775482217969,-0.310696383702094
