"","miR200c","miR200a","miR200b","ZEB1","TGFbeta","TWIST1","SNAI1","miR101","TWIST2","FOXC2","GSC","ZEB2","miR34a","miR141","SNAI2"
"miR141",0.0178037538436795,0.0178037538436795,-0.0274889071108207,-0.209866384574001,0.117897309080482,0.0843049748135886,-0.0158319825995612,0.0807310341921436,0.14152794739856,0.0355462544123037,-0.117900892582041,-0.250054551623047,0.133557582324035,0.20988952586547,-0.146162923655254
"miR101",-0.00534274205478017,-0.00534274205478017,0.0302698703059541,-0.234741317358128,0.0426756292602509,-0.0167956406830391,-0.0478570303390085,-0.0192568921510927,0.0101247542576947,0.13598598583066,-0.0426844260371118,-0.230883854749128,0.169639405477532,0.234699377485585,0.185797091353436
"TWIST2",0.191260077352196,0.191260077352196,0.0817847153493104,0.160717645582323,0.00936046585310423,0.0277205006835804,-0.123958539515461,0.143283923424649,0.121346349013289,0.0441597573264952,-0.00940630444467107,-0.221444382413364,-0.0328225474565134,-0.160694778186832,-0.156174745197482
"TWIST1",0.177105668983544,0.177105668983544,0.0847935839207008,0.161957102231358,0.00860882319557089,-0.0197879797318543,-0.0294650496569171,0.0961964897880653,0.0932697492655001,0.00859236905159448,-0.00863288479326098,-0.203194700539528,-0.0631408342072667,-0.16193195204325,-0.127938748854872
"miR200c",0.206685677603961,0.206685677603961,0.112731454381253,0.253744338614502,0.100111098586204,0.0902230641366769,0.0661968818327702,0.0966320824229124,0.0396815446924872,-0.0180029065150375,-0.100014344044115,-0.153649328533261,-0.232404139518706,-0.253657327358578,-0.257688063649703
"FOXC2",-0.185890316600666,-0.185890316600666,-0.168739409655447,-0.266096823321202,0.0203952214974006,-0.00676948504061281,-0.119045581705089,-0.018583792570316,0.101697633571349,0.115409881323864,-0.0205114555152231,-0.123661467224777,0.270893594840365,0.266023137649327,0.152246003905553
"miR34a",0.141592219745701,0.141592219745701,0.139958061665976,0.135443793118932,0.0305908319861847,-0.0272380430252572,-0.0729551993852513,-0.0417868853169616,-0.0425652000578093,0.0913322104303917,-0.0305283384327285,-0.0562491651309363,-0.0300777803740916,-0.13544851136865,0.150660565099114
"GSC",0.115159454218793,0.115159454218793,0.0973996305230719,0.192653808402823,-0.000259617448634154,0.00792065703678428,0.14240745662675,-0.0782518602463749,-0.0405920140484712,-0.165824607382336,0.000320821979031352,-0.0132588193542561,-0.175464524923798,-0.192601233975614,-0.0778419901951775
"TGFbeta",-0.00730504904426668,-0.00730504904426668,-0.14642506603625,0.00914462849241623,-0.119490359728184,0.0652294161917402,-0.0359888299821337,0.140474471344552,0.183878983709615,0.0277174993922492,0.0193838875077538,0.0150066278523105,-0.0451711097081961,-0.00912988149750865,-0.247901099536448
"ZEB2",-0.2211531451378,-0.2211531451378,-0.205228070612449,-0.0797099884459374,-0.0577390153954836,-0.0376564071016164,-0.0299959726787276,-0.0274314424679644,-0.0114342529769204,0.00467822225407401,0.0576324542750696,0.0700051118490956,0.0751668978475718,0.079656736334516,0.0844005882405963
"SNAI1",0.0324603372154865,0.0324603372154865,-0.0311912055128697,0.154383834491506,-0.0323267886134518,0.0242636437785945,-0.0772056660045501,0.0320503994918176,0.0339815066156122,-0.115708878291516,0.032291499580411,0.098466373110448,-0.146960039363104,-0.154357557426129,-0.186647260963747
"ZEB1",0.185911731240177,0.185911731240177,0.168780004555252,0.166132413542412,-0.020344034601246,0.00678143318566329,0.119122010032955,0.018475956055213,-0.101816476830296,-0.115436101729509,0.0203952214974006,0.123752980751897,-0.270974919310077,-0.266096823321202,-0.152254088023495
"miR200b",-0.194571434999953,-0.194571434999953,-0.198342261032107,-0.246343647485354,0.0683044231561119,0.0692088874072377,-0.0254680218573971,0.0699629527635215,0.136913190239622,0.0375293132735814,-0.0683581756794942,0.134717549636023,0.163511586073123,0.246321431845543,-0.116437164393518
"SNAI2",-0.14484049716046,-0.14484049716046,0.118902588907524,-0.0597979587580891,0.179754541045649,-0.0505815210534103,0.147137776721621,-0.324612295454996,-0.310472349682301,-0.0667790843473968,-0.179543261994779,0.231177131327996,-0.019625386051556,0.0597869063327516,0.204846021367916
"miR200a",-0.0178037538436795,-0.0178037538436795,0.0274889071108207,0.209866384574001,-0.117897309080482,-0.0843049748135886,0.0158319825995612,-0.0807310341921436,-0.14152794739856,-0.0355462544123037,0.117900892582041,0.250054551623047,-0.133557582324035,-0.20988952586547,0.146162923655254
