"","ZEB2","SNAI1","SNAI2","miR200b","miR200c","miR200a","ZEB1","TGFbeta","GSC","miR141","miR101","miR34a","TWIST2","FOXC2","TWIST1"
"miR101",-0.153000490464912,-0.215806658380805,-0.11051866770712,0.157774654027951,0.143202301126417,0.00487224890098654,0.134264618312768,0.0275525772780714,0.0278499083359718,-0.134593658776221,0.102992586286353,0.0111334847560272,0.0432888596695377,0.0948075481130037,0.192020507329807
"TWIST2",-0.144984410578001,-0.275618447479415,0.061412947483345,0.0168831284337602,0.0536988137339656,0.0903944878233726,-0.0392548265995461,0.0100381177949677,0.00991418382517591,0.0393265070892602,0.152963804584964,0.122351596475978,-0.0280255723655672,0.152627008300584,0.119280215330044
"miR34a",-0.135805859723139,-0.254465796032234,0.111169897662998,0.0372442512481051,0.161420016311753,-0.0493512953520672,0.111951650394244,-0.00936858085184216,-0.00924784087963056,-0.112123394683982,0.173969960041904,0.0470793488974459,0.00928479524831933,0.154942698788981,0.133960901657406
"ZEB2",-0.0842465345600528,-0.0576981729038836,-0.0331341724841548,-0.0116686302836601,-0.0104683742875903,-0.00871266975532102,-0.00456072519516227,-0.00143441834742952,-0.00104115706971094,0.00421184921285989,0.0120837191004459,0.0326028282196643,0.0331679593374873,0.0339440366917987,0.0339522294802803
"GSC",-0.0818333703834749,0.150373932878989,-0.0388481091473704,0.0774290046875716,0.0614918864936512,0.0223286957451063,0.0462007919406992,0.0142518546801605,0.0145111852161734,-0.0464282868920802,-0.144564226948306,-0.0774331303050211,-0.0184456352008518,-0.0995491559140567,-0.220503859955831
"miR200c",-0.0366224919813255,-0.128479688674504,-0.18571558137991,0.106154917803211,0.0317125586884649,0.00524819570291292,0.0249816978021518,-0.0777765754125695,-0.0773596947312263,-0.0253973153969386,-0.0282862171681993,-0.0150282525453813,0.0856817581189522,0.0749658968460182,0.100115658376656
"ZEB1",-0.0168625329556682,0.138010961124204,-0.0970994161769201,0.0272245471837603,0.0102348704572538,-0.00228549526888878,-0.0906346011592142,0.00443577989653798,0.0040877090026868,-0.00904007414267617,-0.116504972786263,-0.0393041985942428,-0.0206866568065972,-0.114998546658887,-0.0320101107888349
"miR141",-0.0134769545566749,-0.149273011623399,-0.196229654904104,0.059437700972715,0.015733966072732,-0.00235428274262487,0.016910724493758,-0.0836528451833464,-0.0836062596630817,-0.0169940331430471,-0.0236003383596108,0.000141720905624328,0.0979484773684636,0.088660584714327,0.113771037279558
"miR200b",-0.00749520420904657,0.248036499857371,0.132266250945745,0.00503361746767588,0.005039467547748,0.00549210218225593,3.28889164178906e-05,0.0894760259550648,0.0900840267195451,-0.000578097743432109,-0.0572401445125685,-0.141300199568601,-0.136567098153721,-0.141743508857364,-0.141451562623186
"FOXC2",0.0159743482701164,-0.137989796356487,0.0969727649958304,-0.0282357292334337,-0.0114508747170307,0.00185546615655452,-0.00904007414267617,-0.0040877090026868,-0.0048459975951482,0.00976518387025277,0.116660209967345,0.0398406416559226,0.0202192066547419,0.114793410544134,0.031678549763684
"miR200a",0.0366224919813255,0.128479688674504,0.18571558137991,-0.106154917803211,-0.0317125586884649,-0.00524819570291292,-0.0249816978021518,0.0777765754125695,0.0773596947312263,0.0253973153969386,0.0282862171681993,0.0150282525453813,-0.0856817581189522,-0.0749658968460182,-0.100115658376656
"SNAI2",0.0408263130856889,0.0022350607721651,0.0750089556419162,-0.192669515250197,0.00153162979541085,-0.0426384710891832,0.044189678405502,-0.203211063549422,-0.203205075884013,-0.0441913530154016,0.185662590335122,-0.02716519654654,-0.196298853090003,-0.0344331961919936,0.145458749485508
"TGFbeta",0.0410743147737147,0.254099491924976,0.180173453059613,-0.156630055554345,-0.0360817751489055,-0.000361598425761899,-0.0317831244471376,-0.115767259611111,-0.0157866181966434,0.0318599970801665,-0.0367391457875149,-0.147676679914004,-0.204501422422922,-0.123619811190055,-0.136315337270364
"TWIST1",0.122058621062848,0.264412326840537,0.17205431018567,-0.0838924443006359,-0.0367746947320694,-0.0833759455465518,0.054422468911665,-0.0358519845051413,-0.035767768913226,-0.05447354712875,-0.0127215615005699,-0.109498236341648,-0.187495000723185,-0.240564308197701,-0.101652404633912
"SNAI1",0.153670725937418,0.180825997858531,0.0920310232690443,-0.140095981972073,-0.154848910594673,0.00737249930135305,-0.153235760611399,-0.0306121820970663,-0.0306712614894605,0.153325102633682,-0.14354677835359,-0.0949018065553549,-0.0934231827782379,-0.132428027928331,-0.21856682744944
